Date,IG
2023-02-14 00:00:00+00:00,-0.00406812
2023-02-15 00:00:00+00:00,-0.00841400
2023-02-16 00:00:00+00:00,-0.01695967
2023-02-17 00:00:00+00:00,0.00683435
2023-02-21 00:00:00+00:00,-0.02917839
2023-02-22 00:00:00+00:00,0.00499573
2023-02-23 00:00:00+00:00,0.01518220
2023-02-24 00:00:00+00:00,-0.01567039
2023-02-27 00:00:00+00:00,0.00059425
2023-02-28 00:00:00+00:00,0.00299086
2023-03-01 00:00:00+00:00,-0.01212823
2023-03-02 00:00:00+00:00,0.00104255
2023-03-03 00:00:00+00:00,0.02359954
2023-03-06 00:00:00+00:00,-0.00702125
2023-03-07 00:00:00+00:00,-0.00531184
2023-03-08 00:00:00+00:00,-0.00419342
2023-03-09 00:00:00+00:00,-0.00131968
2023-03-10 00:00:00+00:00,0.02758447
2023-03-13 00:00:00+00:00,0.00142391
2023-03-14 00:00:00+00:00,-0.00626058
2023-03-15 00:00:00+00:00,0.01821090
2023-03-16 00:00:00+00:00,-0.00303739
2023-03-17 00:00:00+00:00,0.00970945
2023-03-20 00:00:00+00:00,-0.00627561
2023-03-21 00:00:00+00:00,0.00964276
2023-03-22 00:00:00+00:00,0.01078716
2023-03-23 00:00:00+00:00,0.00513872
2023-03-24 00:00:00+00:00,0.00575382
2023-03-27 00:00:00+00:00,-0.02411671
2023-03-28 00:00:00+00:00,-0.00441339
2023-03-29 00:00:00+00:00,0.00942787
2023-03-30 00:00:00+00:00,0.00081057
2023-03-31 00:00:00+00:00,0.01292980
2023-04-03 00:00:00+00:00,0.01132499
2023-04-04 00:00:00+00:00,0.00292157
2023-04-05 00:00:00+00:00,0.00547247
2023-04-06 00:00:00+00:00,-0.00214582
2023-04-10 00:00:00+00:00,-0.00972062
2023-04-11 00:00:00+00:00,-0.00123025
2023-04-12 00:00:00+00:00,-0.00480216
2023-04-13 00:00:00+00:00,0.00293118
2023-04-14 00:00:00+00:00,-0.00733429
2023-04-17 00:00:00+00:00,-0.01270370
2023-04-18 00:00:00+00:00,0.00624921
2023-04-19 00:00:00+00:00,-0.00988837
2023-04-20 00:00:00+00:00,0.00665562
2023-04-21 00:00:00+00:00,-0.00022430
2023-04-24 00:00:00+00:00,0.00890770
2023-04-25 00:00:00+00:00,0.00866867
2023-04-26 00:00:00+00:00,-0.00872885
2023-04-27 00:00:00+00:00,-0.00814405
2023-04-28 00:00:00+00:00,0.01520289
2023-05-01 00:00:00+00:00,-0.01284906
2023-05-02 00:00:00+00:00,0.02389951
2023-05-03 00:00:00+00:00,0.00303808
2023-05-04 00:00:00+00:00,-0.00643798
2023-05-05 00:00:00+00:00,-0.00817248
2023-05-08 00:00:00+00:00,-0.01492807
2023-05-09 00:00:00+00:00,-0.00105668
2023-05-10 00:00:00+00:00,0.01553931
2023-05-11 00:00:00+00:00,0.00704813
