Date,EU-DIV30
2010-06-07 00:00:00+00:00,-0.02065340
2010-06-08 00:00:00+00:00,-0.01917452
2010-06-09 00:00:00+00:00,0.03741385
2010-06-10 00:00:00+00:00,0.04155928
2010-06-11 00:00:00+00:00,0.02587567
2010-06-14 00:00:00+00:00,0.00529760
2010-06-15 00:00:00+00:00,0.02634842
2010-06-16 00:00:00+00:00,0.00244873
2010-06-17 00:00:00+00:00,0.00091687
2010-06-18 00:00:00+00:00,0.02015883
2010-06-21 00:00:00+00:00,0.00151286
2010-06-22 00:00:00+00:00,-0.00962406
2010-06-23 00:00:00+00:00,-0.02417649
2010-06-24 00:00:00+00:00,-0.03915571
2010-06-25 00:00:00+00:00,-0.00998440
2010-06-28 00:00:00+00:00,0.02696770
2010-06-29 00:00:00+00:00,-0.06002475
2010-06-30 00:00:00+00:00,-0.00637959
2010-07-01 00:00:00+00:00,-0.02688000
2010-07-02 00:00:00+00:00,0.00648719
2010-07-05 00:00:00+00:00,-0.00646621
2010-07-06 00:00:00+00:00,0.03762569
2010-07-07 00:00:00+00:00,0.03502069
2010-07-08 00:00:00+00:00,0.01689612
2010-07-09 00:00:00+00:00,0.00434378
2010-07-12 00:00:00+00:00,0.00433437
2010-07-13 00:00:00+00:00,0.03274637
2010-07-14 00:00:00+00:00,0.00243161
2010-07-15 00:00:00+00:00,-0.02003643
2010-07-16 00:00:00+00:00,-0.03495860
2010-07-19 00:00:00+00:00,-0.00561798
2010-07-20 00:00:00+00:00,-0.00438185
2010-07-21 00:00:00+00:00,0.01505646
2010-07-22 00:00:00+00:00,0.05666252
2010-07-23 00:00:00+00:00,0.00666061
2010-07-26 00:00:00+00:00,0.00965600
2010-07-27 00:00:00+00:00,0.02222222
2010-07-28 00:00:00+00:00,-0.00594001
2010-07-29 00:00:00+00:00,0.00714924
2010-07-30 00:00:00+00:00,-0.01068566
2010-08-02 00:00:00+00:00,0.03998806
2010-08-03 00:00:00+00:00,-0.00058514
2010-08-04 00:00:00+00:00,0.00995025
2010-08-05 00:00:00+00:00,-0.00757135
2010-08-06 00:00:00+00:00,-0.02630810
2010-08-09 00:00:00+00:00,0.03021327
2010-08-10 00:00:00+00:00,-0.01925883
2010-08-11 00:00:00+00:00,-0.04478491
2010-08-12 00:00:00+00:00,-0.00180832
2010-08-13 00:00:00+00:00,-0.00422323
2010-08-16 00:00:00+00:00,-0.00483676
2010-08-17 00:00:00+00:00,0.02969697
2010-08-18 00:00:00+00:00,-0.00298597
2010-08-19 00:00:00+00:00,-0.03169856
2010-08-20 00:00:00+00:00,-0.02430872
2010-08-23 00:00:00+00:00,0.01291910
2010-08-24 00:00:00+00:00,-0.03117359
2010-08-25 00:00:00+00:00,-0.01676498
2010-08-26 00:00:00+00:00,0.01314966
2010-08-27 00:00:00+00:00,0.02612753
2010-08-30 00:00:00+00:00,-0.00798281
2010-08-31 00:00:00+00:00,0.00308261
2010-09-01 00:00:00+00:00,0.05386273
2010-09-02 00:00:00+00:00,0.00240096
2010-09-03 00:00:00+00:00,0.01258993
2010-09-06 00:00:00+00:00,0.00469816
2010-09-07 00:00:00+00:00,-0.01991085
2010-09-08 00:00:00+00:00,0.01590159
2010-09-09 00:00:00+00:00,0.01636905
2010-09-10 00:00:00+00:00,0.00088574
2010-09-13 00:00:00+00:00,0.00354087
2010-09-14 00:00:00+00:00,-0.00029403
2010-09-15 00:00:00+00:00,-0.00529412
2010-09-16 00:00:00+00:00,-0.00825715
2010-09-17 00:00:00+00:00,-0.01125259
2010-09-20 00:00:00+00:00,0.01429422
2010-09-21 00:00:00+00:00,0.00176939
2010-09-22 00:00:00+00:00,-0.02121391
2010-09-23 00:00:00+00:00,-0.01488982
2010-09-24 00:00:00+00:00,0.02820282
2010-09-27 00:00:00+00:00,-0.00473373
2010-09-28 00:00:00+00:00,0.00593120
2010-09-29 00:00:00+00:00,-0.00946186
2010-09-30 00:00:00+00:00,-0.00653595
2010-10-01 00:00:00+00:00,-0.00715350
2010-10-04 00:00:00+00:00,-0.00897398
2010-10-05 00:00:00+00:00,0.02524038
2010-10-06 00:00:00+00:00,0.01364985
