Date,EUROSTX-LARGE
2013-08-29 00:00:00+00:00,0.01240951
2013-08-30 00:00:00+00:00,-0.01884207
2013-09-02 00:00:00+00:00,0.02802768
2013-09-03 00:00:00+00:00,-0.00545703
2013-09-04 00:00:00+00:00,0.00136799
2013-09-05 00:00:00+00:00,0.00882285
2013-09-06 00:00:00+00:00,0.01633209
2013-09-09 00:00:00+00:00,0.00337496
2013-09-10 00:00:00+00:00,0.03638814
2013-09-11 00:00:00+00:00,0.00496360
2013-09-12 00:00:00+00:00,-0.00363276
2013-09-13 00:00:00+00:00,0.00497183
2013-09-16 00:00:00+00:00,0.01785714
2013-09-17 00:00:00+00:00,-0.00065552
2013-09-18 00:00:00+00:00,0.00885246
2013-09-19 00:00:00+00:00,0.01664491
2013-09-20 00:00:00+00:00,-0.00064725
2013-09-23 00:00:00+00:00,-0.01553901
2013-09-24 00:00:00+00:00,0.01011089
2013-09-25 00:00:00+00:00,0.00064872
2013-09-26 00:00:00+00:00,-0.00389105
2013-09-27 00:00:00+00:00,-0.00194932
2013-09-30 00:00:00+00:00,-0.01528455
2013-10-01 00:00:00+00:00,0.02229508
2013-10-02 00:00:00+00:00,-0.00778210
2013-10-03 00:00:00+00:00,-0.01106771
2013-10-04 00:00:00+00:00,0.01374795
2013-10-07 00:00:00+00:00,-0.00390117
2013-10-08 00:00:00+00:00,-0.00716612
2013-10-09 00:00:00+00:00,-0.00849951
2013-10-10 00:00:00+00:00,0.04333552
2013-10-11 00:00:00+00:00,0.00642674
2013-10-14 00:00:00+00:00,0.00000000
2013-10-15 00:00:00+00:00,0.01985906
2013-10-16 00:00:00+00:00,0.00634317
2013-10-17 00:00:00+00:00,-0.00126462
2013-10-18 00:00:00+00:00,0.01486871
2013-10-21 00:00:00+00:00,0.00219849
2013-10-22 00:00:00+00:00,0.00941029
2013-10-23 00:00:00+00:00,-0.01873244
2013-10-24 00:00:00+00:00,0.01260637
2013-10-25 00:00:00+00:00,-0.00438459
2013-10-28 00:00:00+00:00,-0.00690521
2013-10-29 00:00:00+00:00,0.01574803
2013-10-30 00:00:00+00:00,-0.00312500
2013-10-31 00:00:00+00:00,0.01314554
2013-11-01 00:00:00+00:00,-0.00995025
2013-11-04 00:00:00+00:00,0.00750000
2013-11-05 00:00:00+00:00,-0.01307597
2013-11-06 00:00:00+00:00,0.01504231
2013-11-07 00:00:00+00:00,-0.00342146
2013-11-08 00:00:00+00:00,-0.01278055
2013-11-11 00:00:00+00:00,0.01938712
2013-11-12 00:00:00+00:00,-0.01118012
2013-11-13 00:00:00+00:00,-0.00999375
2013-11-14 00:00:00+00:00,0.02008788
2013-11-15 00:00:00+00:00,0.00124301
2013-11-18 00:00:00+00:00,0.01801242
2013-11-19 00:00:00+00:00,-0.01846722
2013-11-20 00:00:00+00:00,-0.00186393
2013-11-21 00:00:00+00:00,0.00062189
2013-11-22 00:00:00+00:00,0.00435188
2013-11-25 00:00:00+00:00,0.01240695
2013-11-26 00:00:00+00:00,-0.00493218
2013-11-27 00:00:00+00:00,0.01112485
2013-11-28 00:00:00+00:00,0.00645360
2013-11-29 00:00:00+00:00,-0.00306373
2013-12-02 00:00:00+00:00,-0.00613685
2013-12-03 00:00:00+00:00,-0.03847338
2013-12-04 00:00:00+00:00,-0.01568874
2013-12-05 00:00:00+00:00,-0.02030335
2013-12-06 00:00:00+00:00,0.01469649
2013-12-09 00:00:00+00:00,0.00634317
2013-12-10 00:00:00+00:00,-0.01517547
2013-12-11 00:00:00+00:00,-0.01210577
2013-12-12 00:00:00+00:00,-0.00897436
2013-12-13 00:00:00+00:00,-0.00226391
2013-12-16 00:00:00+00:00,0.03269667
2013-12-17 00:00:00+00:00,-0.01784008
2013-12-18 00:00:00+00:00,0.01735776
2013-12-19 00:00:00+00:00,0.03282345
2013-12-20 00:00:00+00:00,0.01567890
2013-12-23 00:00:00+00:00,0.01275669
2013-12-27 00:00:00+00:00,0.02844774
2013-12-30 00:00:00+00:00,-0.00121951
2014-01-02 00:00:00+00:00,-0.02440513
2014-01-03 00:00:00+00:00,0.00957381
2014-01-06 00:00:00+00:00,-0.00461396
2014-01-07 00:00:00+00:00,0.02219482
2014-01-08 00:00:00+00:00,-0.00060976
2014-01-09 00:00:00+00:00,-0.00914913
2014-01-10 00:00:00+00:00,0.00919118
2014-01-13 00:00:00+00:00,0.00548948
2014-01-14 00:00:00+00:00,0.00364964
2014-01-15 00:00:00+00:00,0.02975106
2014-01-16 00:00:00+00:00,-0.00538439
2014-01-17 00:00:00+00:00,0.00299940
2014-01-20 00:00:00+00:00,-0.00299491
2014-01-21 00:00:00+00:00,0.00000000
2014-01-22 00:00:00+00:00,0.00059988
2014-01-23 00:00:00+00:00,-0.01919040
2014-01-24 00:00:00+00:00,-0.05873448
2014-01-27 00:00:00+00:00,-0.00623830
2014-01-28 00:00:00+00:00,0.01314143
2014-01-29 00:00:00+00:00,-0.01212310
2014-01-30 00:00:00+00:00,0.00375352
2014-01-31 00:00:00+00:00,-0.00561973
2014-02-03 00:00:00+00:00,-0.03193488
2014-02-04 00:00:00+00:00,0.00063633
2014-02-05 00:00:00+00:00,0.00127226
2014-02-06 00:00:00+00:00,0.03242212
2014-02-07 00:00:00+00:00,0.01689084
2014-02-10 00:00:00+00:00,-0.00217122
2014-02-11 00:00:00+00:00,0.02795031
2014-02-12 00:00:00+00:00,0.01225115
2014-02-13 00:00:00+00:00,0.00426180
2014-02-14 00:00:00+00:00,0.01032807
2014-02-17 00:00:00+00:00,0.00302206
2014-02-18 00:00:00+00:00,-0.00060350
2014-02-19 00:00:00+00:00,0.00120736
2014-02-20 00:00:00+00:00,-0.00422323
2014-02-21 00:00:00+00:00,0.00060459
2014-02-24 00:00:00+00:00,0.01631913
2014-02-25 00:00:00+00:00,0.00479616
2014-02-26 00:00:00+00:00,-0.00179426
2014-02-27 00:00:00+00:00,-0.00838072
2014-02-28 00:00:00+00:00,0.00000000
2014-03-03 00:00:00+00:00,-0.05350165
2014-03-04 00:00:00+00:00,0.05126621
2014-03-05 00:00:00+00:00,0.00053923
2014-03-06 00:00:00+00:00,0.00541842
2014-03-07 00:00:00+00:00,-0.02761933
2014-03-10 00:00:00+00:00,-0.00547945
2014-03-11 00:00:00+00:00,-0.00122100
2014-03-12 00:00:00+00:00,-0.02840562
2014-03-13 00:00:00+00:00,-0.02766426
2014-03-14 00:00:00+00:00,-0.00573797
2014-03-17 00:00:00+00:00,0.01918159
2014-03-18 00:00:00+00:00,0.01773274
2014-03-19 00:00:00+00:00,0.00188324
2014-03-20 00:00:00+00:00,0.00156789
2014-03-21 00:00:00+00:00,0.01065497
2014-03-24 00:00:00+00:00,-0.02930175
2014-03-25 00:00:00+00:00,0.02785692
2014-03-26 00:00:00+00:00,0.02372776
2014-03-27 00:00:00+00:00,0.00308547
2014-03-28 00:00:00+00:00,0.02279729
2014-03-31 00:00:00+00:00,-0.00060920
2014-04-01 00:00:00+00:00,0.01218769
2014-04-02 00:00:00+00:00,0.00423985
2014-04-03 00:00:00+00:00,0.00785736
2014-04-04 00:00:00+00:00,0.01264299
2014-04-07 00:00:00+00:00,-0.02572540
2014-04-08 00:00:00+00:00,-0.00606061
2014-04-09 00:00:00+00:00,0.00303951
2014-04-10 00:00:00+00:00,-0.01213961
2014-04-11 00:00:00+00:00,-0.02564885
2014-04-14 00:00:00+00:00,0.00618620
2014-04-15 00:00:00+00:00,-0.02343509
2014-04-16 00:00:00+00:00,0.02995320
2014-04-17 00:00:00+00:00,0.01291116
2014-04-22 00:00:00+00:00,0.02810018
2014-04-23 00:00:00+00:00,-0.01144578
2014-04-24 00:00:00+00:00,0.00302939
2014-04-25 00:00:00+00:00,-0.02117362
2014-04-28 00:00:00+00:00,0.00489147
2014-04-29 00:00:00+00:00,0.02805733
2014-04-30 00:00:00+00:00,-0.00240602
2014-05-02 00:00:00+00:00,-0.01144234
2014-05-05 00:00:00+00:00,0.00302847
2014-05-06 00:00:00+00:00,-0.01209555
2014-05-07 00:00:00+00:00,0.00790995
2014-05-08 00:00:00+00:00,0.02727273
2014-05-09 00:00:00+00:00,-0.00956652
2014-05-12 00:00:00+00:00,0.01622109
2014-05-13 00:00:00+00:00,0.00536353
2014-05-14 00:00:00+00:00,0.00059435
2014-05-15 00:00:00+00:00,-0.03089721
2014-05-16 00:00:00+00:00,0.00362100
2014-05-19 00:00:00+00:00,0.00662651
2014-05-20 00:00:00+00:00,-0.00240168
2014-05-21 00:00:00+00:00,0.01262399
2014-05-22 00:00:00+00:00,0.00477897
2014-05-23 00:00:00+00:00,0.00715137
2014-05-26 00:00:00+00:00,0.02909739
2014-05-27 00:00:00+00:00,-0.00117062
2014-05-28 00:00:00+00:00,0.00000000
2014-05-29 00:00:00+00:00,0.00117130
2014-05-30 00:00:00+00:00,0.00175593
2014-06-02 00:00:00+00:00,0.00467836
2014-06-03 00:00:00+00:00,-0.00700117
2014-06-04 00:00:00+00:00,-0.00058548
2014-06-05 00:00:00+00:00,0.01633524
2014-06-06 00:00:00+00:00,0.01510311
2014-06-09 00:00:00+00:00,0.00807149
2014-06-10 00:00:00+00:00,0.00114844
2014-06-11 00:00:00+00:00,-0.01262554
2014-06-12 00:00:00+00:00,-0.00231014
2014-06-13 00:00:00+00:00,-0.00289436
2014-06-16 00:00:00+00:00,-0.01043478
2014-06-17 00:00:00+00:00,0.00524476
2014-06-18 00:00:00+00:00,0.00290613
2014-06-19 00:00:00+00:00,0.01799187
2014-06-20 00:00:00+00:00,-0.00460167
2014-06-23 00:00:00+00:00,-0.01297204
2014-06-24 00:00:00+00:00,0.00058038
2014-06-25 00:00:00+00:00,-0.01740644
2014-06-26 00:00:00+00:00,-0.01287679
2014-06-27 00:00:00+00:00,0.00058910
2014-06-30 00:00:00+00:00,0.00294464
2014-07-01 00:00:00+00:00,0.01234931
2014-07-02 00:00:00+00:00,0.00058445
2014-07-03 00:00:00+00:00,0.02044990
2014-07-04 00:00:00+00:00,-0.01041064
2014-07-07 00:00:00+00:00,-0.02325581
2014-07-08 00:00:00+00:00,-0.02882353
2014-07-09 00:00:00+00:00,0.00835571
2014-07-10 00:00:00+00:00,-0.02971768
2014-07-11 00:00:00+00:00,0.00060332
2014-07-14 00:00:00+00:00,0.02110977
2014-07-15 00:00:00+00:00,-0.01611459
2014-07-16 00:00:00+00:00,0.02707581
