Date,MSCIEAFA
2010-06-09 00:00:00+00:00,-0.00504894
2010-06-10 00:00:00+00:00,0.08582693
2010-06-11 00:00:00+00:00,0.00957336
2010-06-14 00:00:00+00:00,0.01737161
2010-06-15 00:00:00+00:00,0.05836840
2010-06-16 00:00:00+00:00,-0.00445510
2010-06-17 00:00:00+00:00,0.00593625
2010-06-18 00:00:00+00:00,-0.00904379
2010-06-21 00:00:00+00:00,0.00550213
2010-06-22 00:00:00+00:00,-0.02600853
2010-06-23 00:00:00+00:00,0.00613138
2010-06-24 00:00:00+00:00,-0.03347354
2010-06-25 00:00:00+00:00,0.00475569
2010-06-28 00:00:00+00:00,-0.01388676
2010-06-29 00:00:00+00:00,-0.07521170
2010-06-30 00:00:00+00:00,-0.01241433
2010-07-01 00:00:00+00:00,0.02749946
2010-07-02 00:00:00+00:00,-0.00317256
2010-07-06 00:00:00+00:00,0.04669861
2010-07-07 00:00:00+00:00,0.07044131
2010-07-08 00:00:00+00:00,0.01557619
2010-07-09 00:00:00+00:00,-0.00199211
2010-07-12 00:00:00+00:00,-0.00340250
2010-07-13 00:00:00+00:00,0.03214468
2010-07-14 00:00:00+00:00,0.00705914
2010-07-15 00:00:00+00:00,0.01063153
2010-07-16 00:00:00+00:00,-0.06085349
2010-07-19 00:00:00+00:00,0.00551362
2010-07-20 00:00:00+00:00,0.01384982
2010-07-21 00:00:00+00:00,-0.03221467
2010-07-22 00:00:00+00:00,0.06598721
2010-07-23 00:00:00+00:00,0.03012992
2010-07-26 00:00:00+00:00,0.01074210
2010-07-27 00:00:00+00:00,0.00865149
2010-07-28 00:00:00+00:00,-0.01081780
2010-07-29 00:00:00+00:00,0.00513347
2010-07-30 00:00:00+00:00,-0.00584115
2010-08-02 00:00:00+00:00,0.06756749
2010-08-03 00:00:00+00:00,-0.00146658
2010-08-04 00:00:00+00:00,-0.00067921
2010-08-05 00:00:00+00:00,0.00089780
2010-08-06 00:00:00+00:00,0.00483840
2010-08-09 00:00:00+00:00,0.00102633
2010-08-10 00:00:00+00:00,-0.02490776
2010-08-11 00:00:00+00:00,-0.08636174
2010-08-12 00:00:00+00:00,0.00053213
2010-08-13 00:00:00+00:00,-0.00805944
2010-08-16 00:00:00+00:00,0.01597764
2010-08-17 00:00:00+00:00,0.02206170
2010-08-18 00:00:00+00:00,-0.00370837
2010-08-19 00:00:00+00:00,-0.02573514
2010-08-20 00:00:00+00:00,-0.02038939
2010-08-23 00:00:00+00:00,-0.00674129
2010-08-24 00:00:00+00:00,-0.02319666
2010-08-25 00:00:00+00:00,0.00225117
2010-08-26 00:00:00+00:00,-0.00640928
2010-08-27 00:00:00+00:00,0.04440337
2010-08-30 00:00:00+00:00,-0.03052745
2010-08-31 00:00:00+00:00,0.01285025
2010-09-01 00:00:00+00:00,0.06687911
2010-09-02 00:00:00+00:00,0.00487424
2010-09-03 00:00:00+00:00,0.02439836
2010-09-07 00:00:00+00:00,-0.02749788
2010-09-08 00:00:00+00:00,0.01715752
2010-09-09 00:00:00+00:00,0.01823213
2010-09-10 00:00:00+00:00,0.00451719
2010-09-13 00:00:00+00:00,0.03548527
2010-09-14 00:00:00+00:00,0.01418307
2010-09-15 00:00:00+00:00,0.00095291
2010-09-16 00:00:00+00:00,-0.00561149
2010-09-17 00:00:00+00:00,-0.01503600
2010-09-20 00:00:00+00:00,0.03639276
2010-09-21 00:00:00+00:00,0.00153140
2010-09-22 00:00:00+00:00,-0.00274142
2010-09-23 00:00:00+00:00,-0.02102586
2010-09-24 00:00:00+00:00,0.05697477
2010-09-27 00:00:00+00:00,-0.01021354
2010-09-28 00:00:00+00:00,0.01124597
2010-09-29 00:00:00+00:00,0.00035950
2010-09-30 00:00:00+00:00,-0.01873669
2010-10-01 00:00:00+00:00,0.02041072
2010-10-04 00:00:00+00:00,-0.02737251
2010-10-05 00:00:00+00:00,0.05388983
2010-10-06 00:00:00+00:00,0.01630514
2010-10-07 00:00:00+00:00,0.00284376
2010-10-08 00:00:00+00:00,0.00706905
2010-10-11 00:00:00+00:00,-0.00324420
2010-10-12 00:00:00+00:00,-0.00722233
2010-10-13 00:00:00+00:00,0.02527257
2010-10-14 00:00:00+00:00,0.01818896
2010-10-15 00:00:00+00:00,-0.00611876
2010-10-18 00:00:00+00:00,0.00046729
2010-10-19 00:00:00+00:00,-0.04526528
2010-10-20 00:00:00+00:00,0.03663519
2010-10-21 00:00:00+00:00,-0.01292164
2010-10-22 00:00:00+00:00,0.00863434
2010-10-25 00:00:00+00:00,0.00785844
2010-10-26 00:00:00+00:00,-0.01473851
2010-10-27 00:00:00+00:00,-0.01867760
2010-10-28 00:00:00+00:00,0.01395039
2010-10-29 00:00:00+00:00,-0.00101208
2010-11-01 00:00:00+00:00,-0.00609266
2010-11-02 00:00:00+00:00,0.03440538
2010-11-03 00:00:00+00:00,0.01451815
2010-11-04 00:00:00+00:00,0.04388933
2010-11-05 00:00:00+00:00,-0.01058519
2010-11-08 00:00:00+00:00,-0.00920944
2010-11-09 00:00:00+00:00,-0.02064022
2010-11-10 00:00:00+00:00,0.00615566
2010-11-11 00:00:00+00:00,-0.01837583
2010-11-12 00:00:00+00:00,-0.01598657
2010-11-15 00:00:00+00:00,0.00022398
2010-11-16 00:00:00+00:00,-0.05234967
2010-11-17 00:00:00+00:00,0.01397906
2010-11-18 00:00:00+00:00,0.05095826
2010-11-19 00:00:00+00:00,0.00058892
2010-11-22 00:00:00+00:00,-0.01919256
2010-11-23 00:00:00+00:00,-0.06474908
2010-11-24 00:00:00+00:00,0.03081083
2010-11-26 00:00:00+00:00,-0.02950986
2010-11-29 00:00:00+00:00,-0.02345602
