Date,CHF
2000-06-22 00:00:00+00:00,-0.00796618
2000-06-23 00:00:00+00:00,-0.00344133
2000-06-26 00:00:00+00:00,0.00411117
2000-06-27 00:00:00+00:00,0.01064510
2000-06-28 00:00:00+00:00,-0.00680587
2000-06-29 00:00:00+00:00,0.00473160
2000-06-30 00:00:00+00:00,0.00064940
2000-07-03 00:00:00+00:00,-0.00064898
2000-07-05 00:00:00+00:00,0.00730740
2000-07-06 00:00:00+00:00,-0.00209576
2000-07-07 00:00:00+00:00,-0.00193861
2000-07-10 00:00:00+00:00,0.00291356
2000-07-11 00:00:00+00:00,-0.00290510
2000-07-12 00:00:00+00:00,-0.01392036
2000-07-13 00:00:00+00:00,-0.00246225
2000-07-14 00:00:00+00:00,0.00230377
2000-07-17 00:00:00+00:00,-0.00295518
2000-07-18 00:00:00+00:00,-0.01070295
2000-07-19 00:00:00+00:00,-0.00266328
2000-07-20 00:00:00+00:00,0.00951285
2000-07-21 00:00:00+00:00,0.00165300
2000-07-24 00:00:00+00:00,-0.00412593
2000-07-25 00:00:00+00:00,0.00662910
2000-07-26 00:00:00+00:00,0.00296329
2000-07-27 00:00:00+00:00,-0.00837163
2000-07-28 00:00:00+00:00,-0.00811124
2000-07-31 00:00:00+00:00,0.00417223
2000-08-01 00:00:00+00:00,-0.00531826
2000-08-02 00:00:00+00:00,-0.00751880
2000-08-03 00:00:00+00:00,-0.00824916
2000-08-04 00:00:00+00:00,-0.00050925
2000-08-07 00:00:00+00:00,0.00118886
2000-08-08 00:00:00+00:00,-0.00525869
2000-08-09 00:00:00+00:00,-0.00375171
2000-08-10 00:00:00+00:00,0.00736049
2000-08-11 00:00:00+00:00,-0.00883585
2000-08-14 00:00:00+00:00,0.00034271
2000-08-15 00:00:00+00:00,0.00582691
2000-08-16 00:00:00+00:00,0.00136326
2000-08-17 00:00:00+00:00,0.00068062
2000-08-18 00:00:00+00:00,-0.00952236
2000-08-21 00:00:00+00:00,-0.00600841
2000-08-22 00:00:00+00:00,-0.00431796
2000-08-23 00:00:00+00:00,0.00954033
2000-08-24 00:00:00+00:00,0.00652938
2000-08-25 00:00:00+00:00,0.00051195
2000-08-28 00:00:00+00:00,-0.00187681
2000-08-29 00:00:00+00:00,-0.01213658
2000-08-30 00:00:00+00:00,0.00000000
2000-08-31 00:00:00+00:00,-0.00536442
2000-09-01 00:00:00+00:00,0.01113448
2000-09-05 00:00:00+00:00,-0.08654506
2000-09-06 00:00:00+00:00,-0.03679821
2000-09-07 00:00:00+00:00,0.00532936
2000-09-08 00:00:00+00:00,-0.00708717
2000-09-11 00:00:00+00:00,0.00640114
2000-09-12 00:00:00+00:00,0.00691262
2000-09-13 00:00:00+00:00,0.00017665
2000-09-14 00:00:00+00:00,0.00459202
2000-09-15 00:00:00+00:00,-0.00632911
2000-09-18 00:00:00+00:00,0.00000000
2000-09-19 00:00:00+00:00,0.00371550
2000-09-20 00:00:00+00:00,-0.00088137
2000-09-21 00:00:00+00:00,0.00670448
2000-09-22 00:00:00+00:00,0.02032947
2000-09-25 00:00:00+00:00,-0.00498128
2000-09-26 00:00:00+00:00,0.00776800
2000-09-27 00:00:00+00:00,0.00102775
2000-09-28 00:00:00+00:00,-0.00393566
2000-09-29 00:00:00+00:00,0.00120254
2000-10-02 00:00:00+00:00,-0.00428964
2000-10-03 00:00:00+00:00,-0.00051697
2000-10-04 00:00:00+00:00,-0.00068966
2000-10-05 00:00:00+00:00,-0.00793651
2000-10-06 00:00:00+00:00,0.00000000
2000-10-09 00:00:00+00:00,0.00000000
2000-10-10 00:00:00+00:00,0.00243478
2000-10-11 00:00:00+00:00,0.00190840
2000-10-12 00:00:00+00:00,-0.00034632
2000-10-13 00:00:00+00:00,-0.01576286
2000-10-16 00:00:00+00:00,-0.00316790
2000-10-17 00:00:00+00:00,0.00511988
2000-10-18 00:00:00+00:00,-0.01317407
2000-10-19 00:00:00+00:00,0.00213599
2000-10-20 00:00:00+00:00,0.00124334
2000-10-23 00:00:00+00:00,-0.00833777
2000-10-24 00:00:00+00:00,0.00089445
2000-10-25 00:00:00+00:00,-0.01304736
2000-10-26 00:00:00+00:00,-0.00054328
2000-10-27 00:00:00+00:00,0.00761007
2000-10-30 00:00:00+00:00,-0.00035965
2000-10-31 00:00:00+00:00,0.00503688
2000-11-01 00:00:00+00:00,0.01324503
2000-11-02 00:00:00+00:00,-0.00052977
2000-11-03 00:00:00+00:00,0.00901361
2000-11-06 00:00:00+00:00,-0.00578035
2000-11-07 00:00:00+00:00,0.00105726
2000-11-08 00:00:00+00:00,-0.00615980
2000-11-09 00:00:00+00:00,0.01168744
2000-11-10 00:00:00+00:00,-0.00647646
2000-11-13 00:00:00+00:00,0.00052872
2000-11-14 00:00:00+00:00,-0.00440218
2000-11-15 00:00:00+00:00,-0.00247630
2000-11-16 00:00:00+00:00,-0.00656028
2000-11-17 00:00:00+00:00,-0.00606818
2000-11-20 00:00:00+00:00,0.00215479
2000-11-21 00:00:00+00:00,-0.00412095
