Date,COTTON2
2000-06-22 00:00:00+00:00,0.00216794
2000-06-23 00:00:00+00:00,-0.00231799
2000-06-26 00:00:00+00:00,-0.04613673
2000-06-27 00:00:00+00:00,-0.00879865
2000-06-28 00:00:00+00:00,-0.00796987
2000-06-29 00:00:00+00:00,-0.01671225
2000-06-30 00:00:00+00:00,-0.04675060
2000-07-05 00:00:00+00:00,-0.00034225
2000-07-06 00:00:00+00:00,-0.01654302
2000-07-07 00:00:00+00:00,0.04919334
2000-07-10 00:00:00+00:00,-0.00120743
2000-07-11 00:00:00+00:00,0.00156368
2000-07-12 00:00:00+00:00,0.01229243
2000-07-13 00:00:00+00:00,0.03577046
2000-07-14 00:00:00+00:00,0.00421888
2000-07-17 00:00:00+00:00,0.10069118
2000-07-18 00:00:00+00:00,0.01519195
2000-07-19 00:00:00+00:00,-0.01511305
2000-07-20 00:00:00+00:00,-0.04036322
2000-07-21 00:00:00+00:00,0.00750755
2000-07-24 00:00:00+00:00,0.05915152
2000-07-25 00:00:00+00:00,-0.03652951
2000-07-26 00:00:00+00:00,-0.01835874
2000-07-27 00:00:00+00:00,-0.03624041
2000-07-28 00:00:00+00:00,0.01957941
2000-07-31 00:00:00+00:00,0.03318334
2000-08-01 00:00:00+00:00,-0.02407096
2000-08-02 00:00:00+00:00,-0.01520323
2000-08-03 00:00:00+00:00,0.00708109
2000-08-04 00:00:00+00:00,-0.00806070
2000-08-07 00:00:00+00:00,0.06857108
2000-08-08 00:00:00+00:00,0.00030480
2000-08-09 00:00:00+00:00,0.04799286
2000-08-10 00:00:00+00:00,-0.04446205
2000-08-11 00:00:00+00:00,0.02897993
2000-08-14 00:00:00+00:00,0.01928352
2000-08-15 00:00:00+00:00,-0.01817229
2000-08-16 00:00:00+00:00,-0.00173998
2000-08-17 00:00:00+00:00,0.03352549
2000-08-18 00:00:00+00:00,0.01569945
2000-08-21 00:00:00+00:00,0.03548060
2000-08-22 00:00:00+00:00,-0.01143342
2000-08-23 00:00:00+00:00,-0.00561219
2000-08-24 00:00:00+00:00,-0.01306072
2000-08-25 00:00:00+00:00,0.03755252
2000-08-28 00:00:00+00:00,0.00267234
2000-08-29 00:00:00+00:00,0.01060215
2000-08-30 00:00:00+00:00,-0.01491368
2000-08-31 00:00:00+00:00,-0.04009663
2000-09-01 00:00:00+00:00,0.00487617
2000-09-05 00:00:00+00:00,0.02987580
2000-09-06 00:00:00+00:00,-0.00588790
2000-09-07 00:00:00+00:00,-0.00862063
2000-09-08 00:00:00+00:00,0.01666325
2000-09-11 00:00:00+00:00,-0.00182456
2000-09-12 00:00:00+00:00,-0.04589688
2000-09-13 00:00:00+00:00,-0.02483736
2000-09-14 00:00:00+00:00,0.01530577
2000-09-15 00:00:00+00:00,0.00262133
2000-09-18 00:00:00+00:00,-0.02251313
2000-09-19 00:00:00+00:00,-0.00634363
2000-09-20 00:00:00+00:00,0.00790806
2000-09-21 00:00:00+00:00,0.02500764
2000-09-22 00:00:00+00:00,-0.01408139
2000-09-25 00:00:00+00:00,0.01289185
2000-09-26 00:00:00+00:00,-0.00861648
2000-09-27 00:00:00+00:00,-0.03296622
2000-09-28 00:00:00+00:00,-0.00336331
2000-09-29 00:00:00+00:00,-0.00353084
2000-10-02 00:00:00+00:00,0.03772991
2000-10-03 00:00:00+00:00,0.01303066
2000-10-04 00:00:00+00:00,-0.01875487
2000-10-05 00:00:00+00:00,0.00960617
2000-10-06 00:00:00+00:00,0.01502626
2000-10-09 00:00:00+00:00,0.01883630
2000-10-10 00:00:00+00:00,0.02095974
2000-10-11 00:00:00+00:00,-0.02297772
2000-10-12 00:00:00+00:00,0.01970329
2000-10-13 00:00:00+00:00,-0.03657646
2000-10-16 00:00:00+00:00,-0.01293607
2000-10-17 00:00:00+00:00,0.00106361
2000-10-18 00:00:00+00:00,-0.02275754
2000-10-19 00:00:00+00:00,0.00170239
2000-10-20 00:00:00+00:00,0.02516158
2000-10-23 00:00:00+00:00,-0.01592597
2000-10-24 00:00:00+00:00,0.00745067
2000-10-25 00:00:00+00:00,0.01627024
2000-10-26 00:00:00+00:00,-0.01002980
2000-10-27 00:00:00+00:00,0.00708963
2000-10-30 00:00:00+00:00,0.02678822
2000-10-31 00:00:00+00:00,-0.02768394
2000-11-01 00:00:00+00:00,-0.00879013
2000-11-02 00:00:00+00:00,0.01231402
2000-11-03 00:00:00+00:00,0.02584910
2000-11-06 00:00:00+00:00,0.04681532
2000-11-07 00:00:00+00:00,0.01666652
2000-11-08 00:00:00+00:00,-0.00735246
2000-11-09 00:00:00+00:00,-0.01840147
2000-11-10 00:00:00+00:00,0.01686322
2000-11-13 00:00:00+00:00,-0.00340215
2000-11-14 00:00:00+00:00,-0.01163654
2000-11-15 00:00:00+00:00,-0.00076649
2000-11-16 00:00:00+00:00,0.01265229
2000-11-17 00:00:00+00:00,-0.01200924
2000-11-20 00:00:00+00:00,0.00365197
2000-11-21 00:00:00+00:00,-0.03838983
2000-11-22 00:00:00+00:00,0.03275494
2000-11-27 00:00:00+00:00,0.02244549
2000-11-28 00:00:00+00:00,-0.02238934
2000-11-29 00:00:00+00:00,0.00906671
2000-11-30 00:00:00+00:00,0.00658386
2000-12-01 00:00:00+00:00,-0.02445880
2000-12-04 00:00:00+00:00,0.00841304
2000-12-05 00:00:00+00:00,-0.01195900
