Date,BBCOMM
2007-06-06 00:00:00+00:00,-0.01327160
2007-06-07 00:00:00+00:00,-0.00818740
2007-06-08 00:00:00+00:00,-0.03308353
2007-06-11 00:00:00+00:00,0.01864463
2007-06-12 00:00:00+00:00,-0.00652937
2007-06-13 00:00:00+00:00,0.00748123
2007-06-14 00:00:00+00:00,0.01381187
2007-06-15 00:00:00+00:00,0.00846745
2007-06-18 00:00:00+00:00,0.00101308
2007-06-19 00:00:00+00:00,-0.01373941
2007-06-20 00:00:00+00:00,-0.00357762
2007-06-21 00:00:00+00:00,-0.00532067
2007-06-22 00:00:00+00:00,-0.00824829
2007-06-25 00:00:00+00:00,-0.00246835
2007-06-26 00:00:00+00:00,-0.01537172
2007-06-27 00:00:00+00:00,0.00403764
2007-06-28 00:00:00+00:00,0.00224218
2007-06-29 00:00:00+00:00,0.00637517
2007-07-02 00:00:00+00:00,0.00456896
2007-07-03 00:00:00+00:00,-0.00481170
2007-07-05 00:00:00+00:00,0.00397948
2007-07-06 00:00:00+00:00,0.00571804
2007-07-09 00:00:00+00:00,-0.00013292
2007-07-10 00:00:00+00:00,0.00626574
2007-07-11 00:00:00+00:00,0.00275628
2007-07-12 00:00:00+00:00,-0.00013389
2007-07-13 00:00:00+00:00,0.00735918
2007-07-16 00:00:00+00:00,-0.02072830
2007-07-17 00:00:00+00:00,-0.00947996
2007-07-18 00:00:00+00:00,0.01814441
2007-07-19 00:00:00+00:00,0.00739306
2007-07-20 00:00:00+00:00,-0.00185830
2007-07-23 00:00:00+00:00,-0.01855757
2007-07-24 00:00:00+00:00,-0.00482722
2007-07-25 00:00:00+00:00,-0.00190255
2007-07-26 00:00:00+00:00,-0.00485533
2007-07-27 00:00:00+00:00,0.01173142
2007-07-30 00:00:00+00:00,0.00397178
2007-07-31 00:00:00+00:00,0.00570382
2007-08-01 00:00:00+00:00,-0.00651616
2007-08-02 00:00:00+00:00,-0.00305292
2007-08-03 00:00:00+00:00,-0.00423090
2007-08-06 00:00:00+00:00,-0.01307270
2007-08-07 00:00:00+00:00,0.00046303
2007-08-08 00:00:00+00:00,0.00403568
2007-08-09 00:00:00+00:00,-0.00487385
2007-08-10 00:00:00+00:00,0.00047317
2007-08-13 00:00:00+00:00,0.00285171
2007-08-14 00:00:00+00:00,-0.00546983
2007-08-15 00:00:00+00:00,-0.00070715
2007-08-16 00:00:00+00:00,-0.03475200
2007-08-17 00:00:00+00:00,0.01289408
2007-08-20 00:00:00+00:00,-0.00863612
2007-08-21 00:00:00+00:00,-0.00564529
2007-08-22 00:00:00+00:00,0.00237943
2007-08-23 00:00:00+00:00,0.00669199
2007-08-24 00:00:00+00:00,0.00909296
2007-08-27 00:00:00+00:00,-0.00437874
2007-08-28 00:00:00+00:00,-0.00194540
2007-08-29 00:00:00+00:00,0.00662403
2007-08-30 00:00:00+00:00,0.00353964
2007-08-31 00:00:00+00:00,0.00531235
2007-09-04 00:00:00+00:00,-0.01939655
2007-09-05 00:00:00+00:00,-0.00251646
2007-09-06 00:00:00+00:00,-0.00131499
2007-09-07 00:00:00+00:00,0.00467895
2007-09-10 00:00:00+00:00,0.01482739
2007-09-11 00:00:00+00:00,0.01883944
2007-09-12 00:00:00+00:00,0.01339072
2007-09-13 00:00:00+00:00,-0.00358611
2007-09-14 00:00:00+00:00,0.00338018
2007-09-17 00:00:00+00:00,0.01031790
2007-09-18 00:00:00+00:00,0.00447896
2007-09-19 00:00:00+00:00,-0.00067675
2007-09-20 00:00:00+00:00,0.01017678
2007-09-21 00:00:00+00:00,-0.00010236
2007-09-24 00:00:00+00:00,0.00837617
2007-09-25 00:00:00+00:00,-0.01075300
2007-09-26 00:00:00+00:00,0.00499901
2007-09-27 00:00:00+00:00,0.01230135
2007-09-28 00:00:00+00:00,-0.00567057
2007-10-01 00:00:00+00:00,-0.00066547
2007-10-02 00:00:00+00:00,-0.00963075
2007-10-03 00:00:00+00:00,-0.00236980
2007-10-04 00:00:00+00:00,0.00386187
2007-10-05 00:00:00+00:00,-0.00631882
2007-10-08 00:00:00+00:00,-0.02283491
2007-10-09 00:00:00+00:00,0.00803037
2007-10-10 00:00:00+00:00,0.01142389
2007-10-11 00:00:00+00:00,0.00901090
2007-10-12 00:00:00+00:00,0.00327636
2007-10-15 00:00:00+00:00,0.00664051
2007-10-16 00:00:00+00:00,-0.00123343
2007-10-17 00:00:00+00:00,0.00101093
2007-10-18 00:00:00+00:00,0.00660696
2007-10-19 00:00:00+00:00,-0.00510333
2007-10-22 00:00:00+00:00,-0.00848243
2007-10-23 00:00:00+00:00,-0.00348713
2007-10-24 00:00:00+00:00,-0.00349386
2007-10-25 00:00:00+00:00,0.01519918
2007-10-26 00:00:00+00:00,0.00826854
2007-10-29 00:00:00+00:00,0.01262783
2007-10-30 00:00:00+00:00,-0.01104174
2007-10-31 00:00:00+00:00,0.01481926
2007-11-01 00:00:00+00:00,-0.00391514
2007-11-02 00:00:00+00:00,0.00701035
2007-11-05 00:00:00+00:00,-0.00878760
2007-11-06 00:00:00+00:00,0.01358974
2007-11-07 00:00:00+00:00,-0.00495557
2007-11-08 00:00:00+00:00,-0.00552180
2007-11-09 00:00:00+00:00,0.00646161
2007-11-12 00:00:00+00:00,-0.01093460
2007-11-13 00:00:00+00:00,-0.01105936
2007-11-14 00:00:00+00:00,0.01321099
2007-11-15 00:00:00+00:00,-0.01376601
2007-11-16 00:00:00+00:00,0.00933609
2007-11-19 00:00:00+00:00,-0.00833315
2007-11-20 00:00:00+00:00,0.01043590
2007-11-21 00:00:00+00:00,-0.00172932
2007-11-23 00:00:00+00:00,0.00924859
2007-11-26 00:00:00+00:00,0.00100342
2007-11-27 00:00:00+00:00,-0.01367307
2007-11-28 00:00:00+00:00,-0.00889751
2007-11-29 00:00:00+00:00,-0.00285988
2007-11-30 00:00:00+00:00,-0.00956186
2007-12-03 00:00:00+00:00,0.02524247
2007-12-04 00:00:00+00:00,0.00388065
2007-12-05 00:00:00+00:00,-0.00122186
2007-12-06 00:00:00+00:00,0.01689727
2007-12-07 00:00:00+00:00,0.00440298
