Date,FED
2000-07-18 00:00:00+00:00,0.00000000
2000-07-19 00:00:00+00:00,-0.00021459
2000-07-20 00:00:00+00:00,0.00166327
2000-07-21 00:00:00+00:00,0.00010722
2000-07-24 00:00:00+00:00,-0.00021442
2000-07-25 00:00:00+00:00,0.00000000
2000-07-26 00:00:00+00:00,0.00000000
2000-07-27 00:00:00+00:00,0.00010722
2000-07-28 00:00:00+00:00,-0.00085772
2000-07-31 00:00:00+00:00,-0.00032178
2000-08-01 00:00:00+00:00,0.00053639
2000-08-02 00:00:00+00:00,0.00075075
2000-08-03 00:00:00+00:00,0.00021442
2000-08-04 00:00:00+00:00,0.00117918
2000-08-07 00:00:00+00:00,0.00000000
2000-08-08 00:00:00+00:00,0.00064281
2000-08-09 00:00:00+00:00,-0.00005355
2000-08-10 00:00:00+00:00,0.00064257
2000-08-11 00:00:00+00:00,-0.00053530
2000-08-14 00:00:00+00:00,0.00000000
2000-08-15 00:00:00+00:00,-0.00000030
2000-08-16 00:00:00+00:00,-0.00016063
2000-08-17 00:00:00+00:00,0.00000000
2000-08-18 00:00:00+00:00,0.00010710
2000-08-21 00:00:00+00:00,0.00010710
2000-08-22 00:00:00+00:00,-0.00032127
2000-08-23 00:00:00+00:00,0.00074987
2000-08-24 00:00:00+00:00,0.00085667
2000-08-25 00:00:00+00:00,0.00000000
2000-08-28 00:00:00+00:00,-0.00032111
2000-08-29 00:00:00+00:00,-0.00085644
2000-08-30 00:00:00+00:00,0.00064260
2000-08-31 00:00:00+00:00,0.00042827
2000-09-08 00:00:00+00:00,0.00069578
2000-09-11 00:00:00+00:00,0.00053522
2000-09-12 00:00:00+00:00,0.00005319
2000-09-13 00:00:00+00:00,0.00058833
2000-09-14 00:00:00+00:00,0.00010694
2000-09-15 00:00:00+00:00,0.00048121
2000-09-18 00:00:00+00:00,0.00069489
2000-09-19 00:00:00+00:00,0.00026717
2000-09-20 00:00:00+00:00,-0.00021368
2000-09-21 00:00:00+00:00,0.00000000
2000-09-22 00:00:00+00:00,0.00053425
2000-09-25 00:00:00+00:00,-0.00021363
2000-09-26 00:00:00+00:00,0.00010683
2000-09-27 00:00:00+00:00,-0.00010682
2000-09-28 00:00:00+00:00,0.00010683
2000-09-29 00:00:00+00:00,0.00042728
2000-10-02 00:00:00+00:00,-0.00016020
2000-10-03 00:00:00+00:00,-0.00042721
2000-10-04 00:00:00+00:00,-0.00010684
2000-10-05 00:00:00+00:00,-0.00032053
2000-10-06 00:00:00+00:00,0.00026714
2000-10-10 00:00:00+00:00,0.00021369
