Date,US-HEALTH
2012-06-13 00:00:00+00:00,0.00027503
2012-06-14 00:00:00+00:00,0.01374759
2012-06-15 00:00:00+00:00,0.00406835
2012-06-18 00:00:00+00:00,0.00648298
2012-06-19 00:00:00+00:00,0.01019860
2012-06-20 00:00:00+00:00,-0.00265675
2012-06-21 00:00:00+00:00,-0.01385189
2012-06-22 00:00:00+00:00,0.00972447
2012-06-25 00:00:00+00:00,-0.01123596
2012-06-26 00:00:00+00:00,0.00243506
2012-06-27 00:00:00+00:00,0.01187584
2012-06-28 00:00:00+00:00,-0.00506802
2012-06-29 00:00:00+00:00,0.01930295
2012-07-02 00:00:00+00:00,0.00236718
2012-07-03 00:00:00+00:00,0.00052480
2012-07-05 00:00:00+00:00,-0.00576974
2012-07-06 00:00:00+00:00,-0.00817726
2012-07-09 00:00:00+00:00,0.00611702
2012-07-10 00:00:00+00:00,-0.00581549
2012-07-11 00:00:00+00:00,0.00000000
2012-07-12 00:00:00+00:00,0.00265887
2012-07-13 00:00:00+00:00,0.01060727
2012-07-16 00:00:00+00:00,0.00131199
2012-07-17 00:00:00+00:00,0.01284067
2012-07-18 00:00:00+00:00,0.00362225
2012-07-19 00:00:00+00:00,-0.00128899
2012-07-20 00:00:00+00:00,-0.01368095
2012-07-23 00:00:00+00:00,-0.01073018
2012-07-24 00:00:00+00:00,-0.01111111
2012-07-25 00:00:00+00:00,0.00401284
2012-07-26 00:00:00+00:00,0.00985878
2012-07-27 00:00:00+00:00,0.02374670
2012-07-30 00:00:00+00:00,-0.00438144
2012-07-31 00:00:00+00:00,-0.00647165
2012-08-01 00:00:00+00:00,0.00078166
2012-08-02 00:00:00+00:00,-0.01119500
2012-08-03 00:00:00+00:00,0.01421801
2012-08-06 00:00:00+00:00,-0.00077882
2012-08-07 00:00:00+00:00,-0.00207846
2012-08-08 00:00:00+00:00,0.00312419
2012-08-09 00:00:00+00:00,-0.00077861
2012-08-10 00:00:00+00:00,0.00415584
