Date,GBPCHF
2021-12-15 00:00:00+00:00,
2021-12-16 00:00:00+00:00,-0.00368258
2021-12-17 00:00:00+00:00,0.00089998
2021-12-20 00:00:00+00:00,-0.00991285
2021-12-21 00:00:00+00:00,0.01226340
2021-12-22 00:00:00+00:00,0.00515222
2021-12-23 00:00:00+00:00,0.00456757
2021-12-27 00:00:00+00:00,0.00398768
2021-12-28 00:00:00+00:00,-0.00260186
2021-12-29 00:00:00+00:00,0.00276481
2021-12-30 00:00:00+00:00,0.00178616
2021-12-31 00:00:00+00:00,-0.00146265
2022-01-03 00:00:00+00:00,0.00812171
2022-01-04 00:00:00+00:00,0.00299136
2022-01-05 00:00:00+00:00,0.00597532
2022-01-06 00:00:00+00:00,0.00547398
2022-01-07 00:00:00+00:00,0.00224631
2022-01-10 00:00:00+00:00,0.01524113
2022-01-11 00:00:00+00:00,0.00095194
2022-01-12 00:00:00+00:00,-0.00995168
2022-01-13 00:00:00+00:00,-0.00488263
2022-01-14 00:00:00+00:00,0.00087844
2022-01-17 00:00:00+00:00,-0.00168670
2022-01-18 00:00:00+00:00,-0.00305468
2022-01-19 00:00:00+00:00,0.00007554
2022-01-20 00:00:00+00:00,0.00304745
2022-01-21 00:00:00+00:00,-0.02094001
2022-01-24 00:00:00+00:00,-0.00494922
2022-01-25 00:00:00+00:00,0.01437785
2022-01-26 00:00:00+00:00,0.00346356
2022-01-27 00:00:00+00:00,0.00385995
2022-01-28 00:00:00+00:00,0.00047698
2022-01-31 00:00:00+00:00,-0.00129092
2022-02-01 00:00:00+00:00,0.00136098
2022-02-02 00:00:00+00:00,0.00280699
2022-02-03 00:00:00+00:00,0.00456819
2022-02-04 00:00:00+00:00,0.00183440
2022-02-07 00:00:00+00:00,-0.00320468
2022-02-08 00:00:00+00:00,0.00543819
2022-02-09 00:00:00+00:00,-0.00487998
2022-02-10 00:00:00+00:00,0.01007750
2022-02-11 00:00:00+00:00,-0.00463042
2022-02-14 00:00:00+00:00,-0.00344402
2022-02-15 00:00:00+00:00,0.00214773
2022-02-16 00:00:00+00:00,-0.00025033
2022-02-17 00:00:00+00:00,0.00158807
2022-02-18 00:00:00+00:00,-0.00080843
2022-02-21 00:00:00+00:00,-0.00280572
2022-02-22 00:00:00+00:00,0.00199270
2022-02-23 00:00:00+00:00,-0.01423395
2022-02-24 00:00:00+00:00,-0.00564368
2022-02-25 00:00:00+00:00,0.00475299
2022-02-28 00:00:00+00:00,-0.01989945
2022-03-01 00:00:00+00:00,-0.01042083
2022-03-02 00:00:00+00:00,0.01274724
2022-03-03 00:00:00+00:00,-0.00951540
