Date,LEANHOG
2000-06-23 00:00:00+00:00,0.03477614
2000-06-26 00:00:00+00:00,-0.03089141
2000-06-27 00:00:00+00:00,-0.02664395
2000-06-28 00:00:00+00:00,0.00706215
2000-06-29 00:00:00+00:00,0.01717599
2000-06-30 00:00:00+00:00,-0.01136031
2000-07-03 00:00:00+00:00,-0.01298194
2000-07-05 00:00:00+00:00,-0.01519975
2000-07-06 00:00:00+00:00,0.02309918
2000-07-07 00:00:00+00:00,0.00633403
2000-07-10 00:00:00+00:00,-0.02096169
2000-07-11 00:00:00+00:00,-0.04090294
2000-07-12 00:00:00+00:00,-0.02113556
2000-07-13 00:00:00+00:00,-0.00365384
2000-07-14 00:00:00+00:00,0.00697833
2000-07-17 00:00:00+00:00,-0.00348621
2000-07-18 00:00:00+00:00,-0.00100184
2000-07-19 00:00:00+00:00,-0.02403979
2000-07-20 00:00:00+00:00,0.00458142
2000-07-21 00:00:00+00:00,-0.00743663
2000-07-24 00:00:00+00:00,0.00289341
2000-07-25 00:00:00+00:00,-0.00101782
2000-07-26 00:00:00+00:00,0.00492069
2000-07-27 00:00:00+00:00,0.00945890
2000-07-28 00:00:00+00:00,-0.00471667
2000-07-31 00:00:00+00:00,-0.00860090
2000-08-01 00:00:00+00:00,-0.01282854
2000-08-02 00:00:00+00:00,-0.01551558
2000-08-03 00:00:00+00:00,-0.00413869
2000-08-04 00:00:00+00:00,0.00328328
2000-08-07 00:00:00+00:00,-0.00326974
2000-08-08 00:00:00+00:00,-0.05045473
2000-08-09 00:00:00+00:00,0.00821207
2000-08-10 00:00:00+00:00,0.00389545
2000-08-11 00:00:00+00:00,0.00423619
2000-08-14 00:00:00+00:00,-0.01017965
2000-08-15 00:00:00+00:00,-0.04510507
2000-08-16 00:00:00+00:00,0.00559490
2000-08-17 00:00:00+00:00,0.01326999
2000-08-18 00:00:00+00:00,0.00516721
2000-08-21 00:00:00+00:00,-0.01027725
2000-08-22 00:00:00+00:00,-0.01529570
2000-08-23 00:00:00+00:00,-0.00304138
2000-08-24 00:00:00+00:00,0.00486274
2000-08-25 00:00:00+00:00,0.00036691
2000-08-28 00:00:00+00:00,0.00377040
2000-08-29 00:00:00+00:00,-0.02787528
2000-08-30 00:00:00+00:00,0.00345093
2000-08-31 00:00:00+00:00,0.01759774
2000-09-01 00:00:00+00:00,0.00519106
2000-09-05 00:00:00+00:00,0.02666332
2000-09-06 00:00:00+00:00,0.00688547
2000-09-07 00:00:00+00:00,-0.00720498
2000-09-08 00:00:00+00:00,-0.00016753
2000-09-11 00:00:00+00:00,-0.00899920
2000-09-12 00:00:00+00:00,0.01261114
2000-09-13 00:00:00+00:00,0.00247936
2000-09-14 00:00:00+00:00,-0.00069617
2000-09-15 00:00:00+00:00,0.00388917
2000-09-18 00:00:00+00:00,-0.00931119
2000-09-19 00:00:00+00:00,-0.00511072
2000-09-20 00:00:00+00:00,0.00479057
2000-09-21 00:00:00+00:00,0.00903573
2000-09-22 00:00:00+00:00,0.00565202
2000-09-25 00:00:00+00:00,-0.00456950
2000-09-26 00:00:00+00:00,0.00071659
2000-09-27 00:00:00+00:00,0.01754587
2000-09-28 00:00:00+00:00,0.00899268
2000-09-29 00:00:00+00:00,-0.00490660
2000-10-02 00:00:00+00:00,-0.00456287
2000-10-03 00:00:00+00:00,-0.01250483
2000-10-04 00:00:00+00:00,0.00018458
