Date,MSCIEMASIA
2023-12-21 00:00:00+00:00,0.03955546
2023-12-22 00:00:00+00:00,-0.01453264
2023-12-26 00:00:00+00:00,0.01646286
2023-12-27 00:00:00+00:00,0.01145906
2023-12-28 00:00:00+00:00,0.02269114
2023-12-29 00:00:00+00:00,-0.00078726
2024-01-02 00:00:00+00:00,-0.03049356
2024-01-03 00:00:00+00:00,-0.00582672
2024-01-04 00:00:00+00:00,-0.00942117
2024-01-05 00:00:00+00:00,-0.00219282
2024-01-08 00:00:00+00:00,0.00066816
2024-01-09 00:00:00+00:00,-0.03080211
2024-01-10 00:00:00+00:00,-0.00471664
2024-01-11 00:00:00+00:00,0.00941868
2024-01-12 00:00:00+00:00,0.00515085
2024-01-15 00:00:00+00:00,-0.00014892
2024-01-16 00:00:00+00:00,-0.05229441
2024-01-17 00:00:00+00:00,-0.03276822
2024-01-18 00:00:00+00:00,0.02113104
2024-01-19 00:00:00+00:00,0.02303932
2024-01-22 00:00:00+00:00,-0.01777140
2024-01-23 00:00:00+00:00,0.01720211
2024-01-24 00:00:00+00:00,0.02667261
2024-01-25 00:00:00+00:00,-0.00206354
2024-01-26 00:00:00+00:00,-0.00189865
2024-01-29 00:00:00+00:00,0.00410378
2024-01-30 00:00:00+00:00,-0.01987287
2024-01-31 00:00:00+00:00,-0.01317752
2024-02-01 00:00:00+00:00,0.01650054
2024-02-02 00:00:00+00:00,0.00186192
2024-02-05 00:00:00+00:00,0.00471436
2024-02-06 00:00:00+00:00,0.05065387
2024-02-07 00:00:00+00:00,0.00180941
2024-02-08 00:00:00+00:00,-0.00985213
2024-02-09 00:00:00+00:00,0.01107800
2024-02-12 00:00:00+00:00,0.01517464
2024-02-13 00:00:00+00:00,-0.03970682
2024-02-14 00:00:00+00:00,0.03214309
2024-02-15 00:00:00+00:00,0.00757211
2024-02-16 00:00:00+00:00,0.00956918
2024-02-19 00:00:00+00:00,-0.00700517
2024-02-20 00:00:00+00:00,0.00672819
2024-02-21 00:00:00+00:00,0.00525108
2024-02-22 00:00:00+00:00,0.02671166
2024-02-23 00:00:00+00:00,0.00064353
2024-02-26 00:00:00+00:00,-0.00991080
2024-02-27 00:00:00+00:00,0.00080738
2024-02-28 00:00:00+00:00,-0.02781673
2024-02-29 00:00:00+00:00,0.00340746
2024-03-01 00:00:00+00:00,0.02663813
2024-03-04 00:00:00+00:00,0.00144294
2024-03-05 00:00:00+00:00,-0.02075731
2024-03-06 00:00:00+00:00,0.03256237
2024-03-07 00:00:00+00:00,0.01495645
2024-03-08 00:00:00+00:00,0.00055710
2024-03-11 00:00:00+00:00,0.00644101
2024-03-12 00:00:00+00:00,0.02449048
2024-03-13 00:00:00+00:00,-0.01453159
2024-03-14 00:00:00+00:00,-0.00863899
2024-03-15 00:00:00+00:00,-0.01360717
2024-03-18 00:00:00+00:00,0.00733191
2024-03-19 00:00:00+00:00,-0.01521792
2024-03-20 00:00:00+00:00,0.02000704
2024-03-21 00:00:00+00:00,0.00251114
2024-03-22 00:00:00+00:00,-0.01398264
2024-03-25 00:00:00+00:00,0.00244695
2024-03-26 00:00:00+00:00,-0.00014906
2024-03-27 00:00:00+00:00,-0.00124934
2024-03-28 00:00:00+00:00,0.00991479
