Date,EU-CHEM
2021-03-08 00:00:00+00:00,0.03536310
2021-03-09 00:00:00+00:00,0.00312678
2021-03-10 00:00:00+00:00,0.01580822
2021-03-11 00:00:00+00:00,-0.00034203
2021-03-12 00:00:00+00:00,-0.00641519
2021-03-15 00:00:00+00:00,0.03202479
2021-03-16 00:00:00+00:00,-0.01004329
2021-03-18 00:00:00+00:00,0.00848347
2021-03-19 00:00:00+00:00,-0.01040673
2021-03-22 00:00:00+00:00,0.00666024
2021-03-23 00:00:00+00:00,0.00478802
2021-03-24 00:00:00+00:00,-0.00103968
2021-03-25 00:00:00+00:00,0.00537728
2021-03-26 00:00:00+00:00,0.00733264
2021-03-29 00:00:00+00:00,0.00856384
2021-03-30 00:00:00+00:00,0.00832130
2021-03-31 00:00:00+00:00,-0.00395789
2021-04-01 00:00:00+00:00,0.00338181
2021-04-06 00:00:00+00:00,0.00775194
2021-04-07 00:00:00+00:00,-0.00434783
2021-04-08 00:00:00+00:00,-0.00117568
2021-04-09 00:00:00+00:00,0.00336304
2021-04-12 00:00:00+00:00,0.00000000
2021-04-13 00:00:00+00:00,0.00553042
2021-04-14 00:00:00+00:00,-0.00425000
2021-04-15 00:00:00+00:00,0.00636036
2021-04-16 00:00:00+00:00,0.00948025
2021-04-19 00:00:00+00:00,-0.00453085
2021-04-20 00:00:00+00:00,-0.00877193
2021-04-21 00:00:00+00:00,0.00976791
2021-04-22 00:00:00+00:00,0.00000000
2021-04-23 00:00:00+00:00,-0.00132286
2021-04-26 00:00:00+00:00,0.00438778
2021-04-27 00:00:00+00:00,-0.00321464
2021-04-28 00:00:00+00:00,-0.00082692
2021-04-29 00:00:00+00:00,-0.00711744
2021-04-30 00:00:00+00:00,-0.00266733
2021-05-03 00:00:00+00:00,0.00417885
2021-05-04 00:00:00+00:00,-0.01098627
2021-05-05 00:00:00+00:00,0.02684507
2021-05-06 00:00:00+00:00,0.00811342
2021-05-07 00:00:00+00:00,0.00260141
2021-05-10 00:00:00+00:00,0.00802724
2021-05-11 00:00:00+00:00,-0.01978764
