Date,BONO
2016-08-19 00:00:00+00:00,0.00226446
2016-08-22 00:00:00+00:00,-0.00171163
2016-08-23 00:00:00+00:00,0.00102874
2016-08-24 00:00:00+00:00,-0.00034256
2016-08-25 00:00:00+00:00,0.00054828
2016-08-26 00:00:00+00:00,0.00095897
2016-08-29 00:00:00+00:00,-0.00342161
2016-08-30 00:00:00+00:00,0.00253599
2016-08-31 00:00:00+00:00,-0.00602740
2016-09-01 00:00:00+00:00,0.00000000
2016-09-02 00:00:00+00:00,-0.00179162
2016-09-05 00:00:00+00:00,0.01663675
2016-09-06 00:00:00+00:00,-0.00034829
2016-09-07 00:00:00+00:00,0.00543516
2016-09-08 00:00:00+00:00,0.00083166
2016-09-09 00:00:00+00:00,-0.00595527
2016-09-12 00:00:00+00:00,-0.01031000
2016-09-13 00:00:00+00:00,0.00443443
2016-09-14 00:00:00+00:00,-0.00056062
2016-09-15 00:00:00+00:00,-0.00091151
2016-09-16 00:00:00+00:00,0.00217559
2016-09-19 00:00:00+00:00,0.00070028
2016-09-20 00:00:00+00:00,0.00419874
2016-09-21 00:00:00+00:00,0.00174216
2016-09-22 00:00:00+00:00,0.00382609
2016-09-23 00:00:00+00:00,0.00034650
2016-09-26 00:00:00+00:00,-0.00069276
2016-09-27 00:00:00+00:00,0.00173310
2016-09-28 00:00:00+00:00,0.00235294
2016-09-29 00:00:00+00:00,-0.00048329
2016-09-30 00:00:00+00:00,-0.00186503
2016-10-03 00:00:00+00:00,0.00311419
2016-10-04 00:00:00+00:00,-0.00241463
2016-10-05 00:00:00+00:00,-0.00352697
2016-10-06 00:00:00+00:00,-0.00444167
2016-10-07 00:00:00+00:00,-0.00069711
2016-10-10 00:00:00+00:00,0.00202302
2016-10-11 00:00:00+00:00,0.00006962
2016-10-12 00:00:00+00:00,-0.00243648
2016-10-13 00:00:00+00:00,0.00139567
2016-10-14 00:00:00+00:00,-0.00181185
2016-10-17 00:00:00+00:00,-0.00132645
2016-10-18 00:00:00+00:00,0.00314575
2016-10-19 00:00:00+00:00,0.00076655
2016-10-20 00:00:00+00:00,-0.00041780
2016-10-21 00:00:00+00:00,0.00104493
2016-10-24 00:00:00+00:00,0.00104384
2016-10-25 00:00:00+00:00,-0.00034758
2016-10-26 00:00:00+00:00,0.00069541
2016-10-27 00:00:00+00:00,-0.00542043
2016-10-28 00:00:00+00:00,-0.00496087
2016-10-31 00:00:00+00:00,0.00070220
2016-11-01 00:00:00+00:00,-0.00638552
2016-11-02 00:00:00+00:00,0.00572034
2016-11-03 00:00:00+00:00,-0.00084264
2016-11-04 00:00:00+00:00,-0.00112446
2016-11-07 00:00:00+00:00,0.00126645
2016-11-08 00:00:00+00:00,-0.00091350
2016-11-09 00:00:00+00:00,-0.00196933
2016-11-10 00:00:00+00:00,-0.00810430
2016-11-11 00:00:00+00:00,-0.00703375
2016-11-14 00:00:00+00:00,-0.00257584
2016-11-15 00:00:00+00:00,0.00365854
2016-11-16 00:00:00+00:00,-0.00671860
2016-11-17 00:00:00+00:00,-0.00410160
2016-11-18 00:00:00+00:00,0.00144509
2016-11-21 00:00:00+00:00,-0.00324675
2016-11-22 00:00:00+00:00,0.00441549
2016-11-23 00:00:00+00:00,-0.00410781
2016-11-24 00:00:00+00:00,0.00007236
2016-11-25 00:00:00+00:00,0.00130246
2016-11-28 00:00:00+00:00,-0.00058282
2016-11-29 00:00:00+00:00,0.00614606
2016-11-30 00:00:00+00:00,-0.00251527
2016-12-01 00:00:00+00:00,-0.04207493
2016-12-02 00:00:00+00:00,0.00506879
2016-12-05 00:00:00+00:00,-0.00231214
2016-12-06 00:00:00+00:00,0.00521437
2016-12-07 00:00:00+00:00,0.00468300
2016-12-08 00:00:00+00:00,-0.00537827
2016-12-09 00:00:00+00:00,0.00108147
2016-12-12 00:00:00+00:00,0.00108030
2016-12-13 00:00:00+00:00,0.00755396
2016-12-14 00:00:00+00:00,0.00035702
2016-12-15 00:00:00+00:00,-0.00321199
2016-12-16 00:00:00+00:00,0.00465449
2016-12-19 00:00:00+00:00,0.00213828
2016-12-20 00:00:00+00:00,0.00170697
2016-12-21 00:00:00+00:00,-0.00056802
2016-12-22 00:00:00+00:00,-0.00369423
2016-12-23 00:00:00+00:00,0.00278095
2016-12-27 00:00:00+00:00,0.00156439
2016-12-28 00:00:00+00:00,-0.00007100
2016-12-29 00:00:00+00:00,0.00234308
2016-12-30 00:00:00+00:00,-0.00580860
2017-01-02 00:00:00+00:00,0.00477378
2017-01-03 00:00:00+00:00,-0.00687846
2017-01-04 00:00:00+00:00,-0.00107105
2017-01-05 00:00:00+00:00,-0.00293066
2017-01-06 00:00:00+00:00,-0.00401462
2017-01-09 00:00:00+00:00,0.00453466
2017-01-10 00:00:00+00:00,0.00007165
2017-01-11 00:00:00+00:00,0.00601849
2017-01-12 00:00:00+00:00,-0.00064098
2017-01-13 00:00:00+00:00,-0.00049886
2017-01-16 00:00:00+00:00,0.00078431
2017-01-17 00:00:00+00:00,0.00199487
2017-01-18 00:00:00+00:00,-0.00391069
2017-01-19 00:00:00+00:00,-0.00171318
2017-01-20 00:00:00+00:00,-0.00293171
2017-01-23 00:00:00+00:00,0.00552209
