Date,INR
2015-11-10 00:00:00+00:00,0.00422252
2015-11-11 00:00:00+00:00,0.00722505
2015-11-12 00:00:00+00:00,0.00119984
2015-11-13 00:00:00+00:00,0.00039971
2015-11-16 00:00:00+00:00,0.00333200
2015-11-17 00:00:00+00:00,0.00299381
2015-11-18 00:00:00+00:00,-0.01056970
2015-11-19 00:00:00+00:00,0.00921536
2015-11-20 00:00:00+00:00,-0.00113130
2015-11-23 00:00:00+00:00,-0.00778599
2015-11-24 00:00:00+00:00,0.00488196
2015-11-25 00:00:00+00:00,-0.00286609
2015-11-26 00:00:00+00:00,-0.00467664
2015-11-27 00:00:00+00:00,-0.00916756
2015-11-30 00:00:00+00:00,0.00322126
2015-12-01 00:00:00+00:00,0.00555964
2015-12-02 00:00:00+00:00,-0.00207178
2015-12-03 00:00:00+00:00,0.00140449
2015-12-04 00:00:00+00:00,-0.00374557
2015-12-07 00:00:00+00:00,0.00154052
2015-12-08 00:00:00+00:00,-0.00616044
2015-12-09 00:00:00+00:00,-0.00087589
2015-12-10 00:00:00+00:00,0.00020222
2015-12-11 00:00:00+00:00,-0.00080846
2015-12-14 00:00:00+00:00,-0.00782093
2015-12-15 00:00:00+00:00,0.00751320
2015-12-16 00:00:00+00:00,0.00971070
2015-12-17 00:00:00+00:00,0.00879903
2015-12-18 00:00:00+00:00,0.00287683
2015-12-21 00:00:00+00:00,0.00080171
2015-12-22 00:00:00+00:00,0.00140262
2015-12-23 00:00:00+00:00,0.00613947
2015-12-24 00:00:00+00:00,0.00405504
2015-12-25 00:00:00+00:00,0.00013275
2015-12-28 00:00:00+00:00,-0.00325214
2015-12-29 00:00:00+00:00,-0.00591087
2015-12-30 00:00:00+00:00,0.00033304
2015-12-31 00:00:00+00:00,0.00679080
2016-01-04 00:00:00+00:00,-0.01327228
2016-01-05 00:00:00+00:00,0.00046763
2016-01-06 00:00:00+00:00,-0.00667780
2016-01-07 00:00:00+00:00,-0.00489309
2016-01-08 00:00:00+00:00,0.00815034
2016-01-11 00:00:00+00:00,-0.00429444
2016-01-12 00:00:00+00:00,-0.00168124
2016-01-13 00:00:00+00:00,0.00094251
2016-01-14 00:00:00+00:00,-0.01655451
2016-01-15 00:00:00+00:00,-0.00916497
2016-01-18 00:00:00+00:00,0.00122658
2016-01-19 00:00:00+00:00,0.00251923
2016-01-20 00:00:00+00:00,-0.01735166
2016-01-21 00:00:00+00:00,0.00411128
2016-01-22 00:00:00+00:00,0.01629579
2016-01-25 00:00:00+00:00,-0.00550571
2016-01-26 00:00:00+00:00,-0.00299952
2016-01-27 00:00:00+00:00,-0.00675952
2016-01-28 00:00:00+00:00,-0.00472085
2016-01-29 00:00:00+00:00,0.01521382
2016-02-01 00:00:00+00:00,-0.00088676
2016-02-02 00:00:00+00:00,-0.00422516
2016-02-03 00:00:00+00:00,-0.00880907
2016-02-04 00:00:00+00:00,0.01969770
2016-02-05 00:00:00+00:00,-0.00155975
2016-02-08 00:00:00+00:00,-0.00760508
2016-02-09 00:00:00+00:00,-0.00171057
2016-02-10 00:00:00+00:00,0.00472667
2016-02-11 00:00:00+00:00,-0.01687850
2016-02-12 00:00:00+00:00,0.00110276
2016-02-15 00:00:00+00:00,0.00371798
2016-02-16 00:00:00+00:00,-0.00721550
