Date,EU-TRAVEL
2014-09-10 00:00:00+00:00,-0.00818327
2014-09-11 00:00:00+00:00,0.01851852
2014-09-12 00:00:00+00:00,-0.01262626
2014-09-15 00:00:00+00:00,-0.00869565
2014-09-16 00:00:00+00:00,-0.01702786
2014-09-17 00:00:00+00:00,0.00673575
2014-09-18 00:00:00+00:00,0.01801338
2014-09-19 00:00:00+00:00,0.00960566
2014-09-22 00:00:00+00:00,-0.01001502
2014-09-23 00:00:00+00:00,-0.01416287
2014-09-24 00:00:00+00:00,-0.00051308
2014-09-25 00:00:00+00:00,-0.00770021
2014-09-26 00:00:00+00:00,0.01396793
2014-09-29 00:00:00+00:00,0.00153061
2014-09-30 00:00:00+00:00,0.00815079
2014-10-01 00:00:00+00:00,-0.00909550
2014-10-02 00:00:00+00:00,-0.02243753
2014-10-03 00:00:00+00:00,0.01512780
2014-10-06 00:00:00+00:00,0.00256937
2014-10-07 00:00:00+00:00,-0.03485392
2014-10-08 00:00:00+00:00,-0.00849708
2014-10-09 00:00:00+00:00,-0.01285485
2014-10-10 00:00:00+00:00,-0.02278893
2014-10-13 00:00:00+00:00,0.00055525
2014-10-14 00:00:00+00:00,0.00721421
2014-10-15 00:00:00+00:00,-0.02534435
2014-10-16 00:00:00+00:00,0.01243640
2014-10-17 00:00:00+00:00,0.02624232
2014-10-20 00:00:00+00:00,0.01360174
2014-10-21 00:00:00+00:00,0.02093398
2014-10-22 00:00:00+00:00,0.00736067
2014-10-23 00:00:00+00:00,0.00208768
2014-10-24 00:00:00+00:00,-0.00833333
2014-10-27 00:00:00+00:00,0.00525210
2014-10-28 00:00:00+00:00,0.00522466
2014-10-29 00:00:00+00:00,0.00675676
2014-10-30 00:00:00+00:00,0.00877646
2014-10-31 00:00:00+00:00,0.01484135
2014-11-03 00:00:00+00:00,0.01765003
2014-11-04 00:00:00+00:00,-0.00445986
2014-11-05 00:00:00+00:00,0.01194624
2014-11-06 00:00:00+00:00,-0.00245942
2014-11-07 00:00:00+00:00,-0.01232742
2014-11-10 00:00:00+00:00,0.01298053
2014-11-11 00:00:00+00:00,0.01626417
2014-11-12 00:00:00+00:00,-0.01115422
2014-11-13 00:00:00+00:00,0.00245218
2014-11-14 00:00:00+00:00,0.00097847
2014-11-17 00:00:00+00:00,0.00782014
2014-11-18 00:00:00+00:00,-0.00484966
2014-11-19 00:00:00+00:00,0.00243665
2014-11-20 00:00:00+00:00,0.00437530
2014-11-21 00:00:00+00:00,0.01113262
2014-11-24 00:00:00+00:00,0.00718047
2014-11-25 00:00:00+00:00,-0.00760456
2014-11-26 00:00:00+00:00,-0.00909962
2014-11-27 00:00:00+00:00,0.02561624
2014-11-28 00:00:00+00:00,0.00848256
2014-12-01 00:00:00+00:00,-0.00467290
2014-12-02 00:00:00+00:00,0.00704225
2014-12-03 00:00:00+00:00,0.00745921
2014-12-04 00:00:00+00:00,0.00462749
2014-12-05 00:00:00+00:00,0.02210963
2014-12-08 00:00:00+00:00,-0.00317457
2014-12-09 00:00:00+00:00,-0.03571429
2014-12-10 00:00:00+00:00,0.00140647
2014-12-11 00:00:00+00:00,-0.00889513
2014-12-12 00:00:00+00:00,-0.00141710
2014-12-15 00:00:00+00:00,-0.01513718
2014-12-16 00:00:00+00:00,-0.00864553
2014-12-17 00:00:00+00:00,0.02034884
2014-12-18 00:00:00+00:00,0.02089269
2014-12-19 00:00:00+00:00,-0.00046512
2014-12-22 00:00:00+00:00,0.00651466
2014-12-23 00:00:00+00:00,0.00601017
2014-12-29 00:00:00+00:00,-0.00183824
2014-12-30 00:00:00+00:00,0.00368324
2015-01-02 00:00:00+00:00,0.00458716
2015-01-05 00:00:00+00:00,-0.00456621
2015-01-06 00:00:00+00:00,-0.00963303
2015-01-07 00:00:00+00:00,-0.00741084
2015-01-08 00:00:00+00:00,0.01213252
2015-01-09 00:00:00+00:00,0.00184417
2015-01-12 00:00:00+00:00,0.00966406
2015-01-13 00:00:00+00:00,0.01595260
2015-01-14 00:00:00+00:00,-0.00852400
2015-01-15 00:00:00+00:00,0.00678733
2015-01-16 00:00:00+00:00,0.00494382
2015-01-19 00:00:00+00:00,0.00402504
2015-01-20 00:00:00+00:00,0.01291759
2015-01-21 00:00:00+00:00,0.00703606
2015-01-22 00:00:00+00:00,0.03144105
2015-01-23 00:00:00+00:00,0.01312447
2015-01-26 00:00:00+00:00,0.00585040
2015-01-27 00:00:00+00:00,-0.00124636
2015-01-28 00:00:00+00:00,-0.00582363
2015-01-29 00:00:00+00:00,0.00502092
2015-01-30 00:00:00+00:00,-0.00333056
2015-02-02 00:00:00+00:00,-0.01921470
2015-02-03 00:00:00+00:00,0.00085179
2015-02-04 00:00:00+00:00,-0.00468085
2015-02-05 00:00:00+00:00,0.01197093
2015-02-06 00:00:00+00:00,0.00084495
2015-02-09 00:00:00+00:00,-0.01350781
2015-02-10 00:00:00+00:00,0.01283697
2015-02-11 00:00:00+00:00,0.00591466
2015-02-12 00:00:00+00:00,0.00587988
2015-02-13 00:00:00+00:00,-0.00751566
2015-02-16 00:00:00+00:00,0.00168279
2015-02-17 00:00:00+00:00,-0.00797984
2015-02-18 00:00:00+00:00,0.01354784
2015-02-19 00:00:00+00:00,0.00918964
2015-02-20 00:00:00+00:00,-0.00165563
2015-02-23 00:00:00+00:00,0.00995025
2015-02-24 00:00:00+00:00,0.00533662
2015-02-25 00:00:00+00:00,0.00653328
2015-02-26 00:00:00+00:00,0.00000000
2015-02-27 00:00:00+00:00,0.00202840
2015-03-02 00:00:00+00:00,0.00283401
2015-03-03 00:00:00+00:00,-0.00282600
2015-03-04 00:00:00+00:00,-0.00121457
2015-03-05 00:00:00+00:00,0.01824078
2015-03-06 00:00:00+00:00,0.00796178
2015-03-09 00:00:00+00:00,-0.00315956
2015-03-10 00:00:00+00:00,-0.00239718
2015-03-11 00:00:00+00:00,0.00555997
2015-03-12 00:00:00+00:00,0.01263823
2015-03-13 00:00:00+00:00,0.00390016
2015-03-16 00:00:00+00:00,0.04234654
2015-03-17 00:00:00+00:00,-0.00656371
2015-03-18 00:00:00+00:00,-0.00233191
2015-03-19 00:00:00+00:00,0.00350604
2015-03-20 00:00:00+00:00,0.00077640
2015-03-23 00:00:00+00:00,-0.01784329
2015-03-24 00:00:00+00:00,0.00987362
2015-03-25 00:00:00+00:00,-0.01603442
2015-03-26 00:00:00+00:00,-0.01669316
2015-03-27 00:00:00+00:00,0.01293452
2015-03-30 00:00:00+00:00,0.01197127
2015-03-31 00:00:00+00:00,0.01104101
2015-04-01 00:00:00+00:00,-0.00507020
2015-04-02 00:00:00+00:00,-0.00431203
2015-04-07 00:00:00+00:00,0.01102362
2015-04-08 00:00:00+00:00,0.00272586
2015-04-09 00:00:00+00:00,0.01631068
2015-04-10 00:00:00+00:00,0.01031716
2015-04-13 00:00:00+00:00,-0.00302572
2015-04-14 00:00:00+00:00,-0.00493171
2015-04-15 00:00:00+00:00,-0.00457491
2015-04-16 00:00:00+00:00,-0.01187285
2015-04-17 00:00:00+00:00,-0.01240310
2015-04-20 00:00:00+00:00,0.00745683
2015-04-21 00:00:00+00:00,0.01908843
2015-04-22 00:00:00+00:00,0.00229358
2015-04-23 00:00:00+00:00,-0.01106026
2015-04-24 00:00:00+00:00,-0.00077131
2015-04-27 00:00:00+00:00,0.00849093
2015-04-28 00:00:00+00:00,-0.01913509
2015-04-29 00:00:00+00:00,-0.01209520
2015-04-30 00:00:00+00:00,-0.01461295
2015-05-04 00:00:00+00:00,0.00320641
2015-05-05 00:00:00+00:00,-0.01158610
2015-05-06 00:00:00+00:00,-0.01050930
2015-05-07 00:00:00+00:00,0.02287582
2015-05-08 00:00:00+00:00,0.03394569
2015-05-11 00:00:00+00:00,0.01313248
2015-05-12 00:00:00+00:00,-0.02134960
2015-05-13 00:00:00+00:00,-0.01246591
2015-05-14 00:00:00+00:00,0.01065089
2015-05-15 00:00:00+00:00,0.00975800
2015-05-18 00:00:00+00:00,-0.00154619
2015-05-19 00:00:00+00:00,0.01355014
2015-05-20 00:00:00+00:00,-0.00114591
2015-05-21 00:00:00+00:00,-0.00267686
2015-05-22 00:00:00+00:00,-0.00153374
2015-05-26 00:00:00+00:00,0.00307220
2015-05-27 00:00:00+00:00,0.01607963
2015-05-28 00:00:00+00:00,-0.00527506
2015-05-29 00:00:00+00:00,-0.02272727
2015-06-01 00:00:00+00:00,0.00968992
2015-06-02 00:00:00+00:00,-0.01535509
2015-06-03 00:00:00+00:00,-0.00350877
2015-06-04 00:00:00+00:00,-0.01799687
2015-06-05 00:00:00+00:00,0.00517928
2015-06-08 00:00:00+00:00,-0.00871978
2015-06-09 00:00:00+00:00,-0.00281888
2015-06-10 00:00:00+00:00,0.01443464
2015-06-12 00:00:00+00:00,0.00118577
2015-06-15 00:00:00+00:00,-0.01065930
2015-06-16 00:00:00+00:00,-0.00638468
2015-06-17 00:00:00+00:00,0.00401606
2015-06-18 00:00:00+00:00,-0.00280000
2015-06-19 00:00:00+00:00,0.01604493
2015-06-22 00:00:00+00:00,0.00947493
2015-06-23 00:00:00+00:00,0.01016817
2015-06-24 00:00:00+00:00,0.00000000
2015-06-25 00:00:00+00:00,-0.00271003
2015-06-26 00:00:00+00:00,-0.00465839
2015-06-29 00:00:00+00:00,-0.02730109
2015-06-30 00:00:00+00:00,-0.00561347
2015-07-01 00:00:00+00:00,0.01814516
2015-07-02 00:00:00+00:00,-0.00198020
2015-07-03 00:00:00+00:00,-0.00992063
2015-07-06 00:00:00+00:00,-0.00881764
2015-07-07 00:00:00+00:00,0.00283057
2015-07-08 00:00:00+00:00,-0.03185484
2015-07-09 00:00:00+00:00,0.01332778
2015-07-10 00:00:00+00:00,0.03370325
2015-07-13 00:00:00+00:00,0.03141153
2015-07-14 00:00:00+00:00,0.00231303
2015-07-15 00:00:00+00:00,0.00384615
2015-07-16 00:00:00+00:00,0.00842912
2015-07-17 00:00:00+00:00,0.00759878
2015-07-20 00:00:00+00:00,0.00414781
2015-07-21 00:00:00+00:00,-0.00450620
2015-07-22 00:00:00+00:00,-0.01471143
2015-07-24 00:00:00+00:00,-0.01722818
2015-07-27 00:00:00+00:00,-0.02064667
2015-07-30 00:00:00+00:00,0.01471758
2015-07-31 00:00:00+00:00,-0.00784006
2015-08-03 00:00:00+00:00,0.00632161
2015-08-04 00:00:00+00:00,-0.00078524
2015-08-05 00:00:00+00:00,0.01571709
2015-08-06 00:00:00+00:00,-0.00851064
2015-08-07 00:00:00+00:00,-0.00780336
2015-08-10 00:00:00+00:00,0.00196618
2015-08-11 00:00:00+00:00,-0.01020408
2015-08-12 00:00:00+00:00,-0.02894528
2015-08-13 00:00:00+00:00,0.02490813
2015-08-14 00:00:00+00:00,0.00717131
2015-08-17 00:00:00+00:00,0.00474684
2015-08-18 00:00:00+00:00,0.00866142
2015-08-19 00:00:00+00:00,-0.01131928
2015-08-20 00:00:00+00:00,-0.02526648
2015-08-21 00:00:00+00:00,-0.03159174
2015-08-24 00:00:00+00:00,-0.05269762
2015-08-25 00:00:00+00:00,0.04547461
2015-08-26 00:00:00+00:00,-0.00633446
2015-08-27 00:00:00+00:00,0.02549936
2015-08-28 00:00:00+00:00,0.00290095
2015-08-31 00:00:00+00:00,-0.00909091
2015-09-01 00:00:00+00:00,-0.01376147
2015-09-02 00:00:00+00:00,0.00845666
2015-09-03 00:00:00+00:00,0.01928721
2015-09-04 00:00:00+00:00,0.00041135
2015-09-07 00:00:00+00:00,-0.00618776
2015-09-08 00:00:00+00:00,0.00992966
2015-09-09 00:00:00+00:00,0.01843507
2015-09-10 00:00:00+00:00,-0.00321802
2015-09-11 00:00:00+00:00,-0.00928168
2015-09-15 00:00:00+00:00,-0.00936864
2015-09-16 00:00:00+00:00,0.01356908
2015-09-17 00:00:00+00:00,0.01095335
2015-09-18 00:00:00+00:00,-0.00922953
2015-09-21 00:00:00+00:00,0.01093560
2015-09-22 00:00:00+00:00,-0.03044872
2015-09-23 00:00:00+00:00,0.00454545
2015-09-24 00:00:00+00:00,-0.01563143
2015-09-25 00:00:00+00:00,0.02590890
2015-09-28 00:00:00+00:00,-0.01873727
2015-09-29 00:00:00+00:00,-0.01826484
2015-09-30 00:00:00+00:00,0.02410148
2015-10-01 00:00:00+00:00,0.00371594
2015-10-02 00:00:00+00:00,-0.00617030
2015-10-05 00:00:00+00:00,0.02814570
2015-10-06 00:00:00+00:00,0.00281804
2015-10-07 00:00:00+00:00,-0.01726214
2015-10-08 00:00:00+00:00,-0.00163399
2015-10-09 00:00:00+00:00,-0.00654664
2015-10-12 00:00:00+00:00,0.00164745
2015-10-13 00:00:00+00:00,-0.00575658
2015-10-14 00:00:00+00:00,-0.00537634
2015-10-15 00:00:00+00:00,0.00748441
2015-10-16 00:00:00+00:00,0.00495254
2015-10-19 00:00:00+00:00,0.01806982
2015-10-20 00:00:00+00:00,0.00363050
2015-10-21 00:00:00+00:00,0.00160772
2015-10-22 00:00:00+00:00,0.00882825
2015-10-23 00:00:00+00:00,0.02505967
2015-10-26 00:00:00+00:00,0.00155219
2015-10-27 00:00:00+00:00,-0.00852383
2015-10-28 00:00:00+00:00,0.00703400
2015-10-29 00:00:00+00:00,0.00349243
