Date,HEATOIL-ICE
2006-06-01 00:00:00+00:00,-0.02430712
2006-06-02 00:00:00+00:00,0.04424824
2006-06-05 00:00:00+00:00,0.02755026
2006-06-06 00:00:00+00:00,0.00039164
2006-06-07 00:00:00+00:00,-0.04420836
2006-06-08 00:00:00+00:00,-0.01012328
2006-06-09 00:00:00+00:00,0.06114021
2006-06-12 00:00:00+00:00,-0.05317953
2006-06-13 00:00:00+00:00,-0.05729925
2006-06-14 00:00:00+00:00,0.00403810
2006-06-15 00:00:00+00:00,0.00015497
2006-06-16 00:00:00+00:00,-0.00511126
2006-06-19 00:00:00+00:00,-0.03679362
2006-06-20 00:00:00+00:00,0.01398564
2006-06-21 00:00:00+00:00,0.03245255
2006-06-22 00:00:00+00:00,0.03587837
2006-06-23 00:00:00+00:00,-0.01019380
2006-06-26 00:00:00+00:00,0.01788444
2006-06-27 00:00:00+00:00,-0.01809086
2006-06-28 00:00:00+00:00,-0.01684791
2006-06-29 00:00:00+00:00,0.05275111
2006-06-30 00:00:00+00:00,0.02062789
2006-07-03 00:00:00+00:00,0.00335207
2006-07-04 00:00:00+00:00,-0.01555807
2006-07-05 00:00:00+00:00,0.04704715
2006-07-06 00:00:00+00:00,0.00174537
2006-07-07 00:00:00+00:00,-0.04792394
2006-07-10 00:00:00+00:00,-0.04053920
2006-07-11 00:00:00+00:00,0.04367524
2006-07-12 00:00:00+00:00,0.00656520
2006-07-13 00:00:00+00:00,0.06386247
2006-07-14 00:00:00+00:00,-0.00288475
2006-07-17 00:00:00+00:00,-0.05192678
2006-07-18 00:00:00+00:00,-0.03243538
2006-07-19 00:00:00+00:00,-0.02198245
2006-07-20 00:00:00+00:00,-0.03241565
2006-07-21 00:00:00+00:00,0.01639090
2006-07-24 00:00:00+00:00,0.01475989
2006-07-25 00:00:00+00:00,-0.03061069
2006-07-26 00:00:00+00:00,0.01913679
2006-07-27 00:00:00+00:00,0.02275742
2006-07-28 00:00:00+00:00,-0.03707820
2006-07-31 00:00:00+00:00,0.04966000
2006-08-01 00:00:00+00:00,0.04093051
2006-08-02 00:00:00+00:00,0.04066526
2006-08-03 00:00:00+00:00,-0.01324317
2006-08-04 00:00:00+00:00,-0.02299503
2006-08-07 00:00:00+00:00,0.05067956
2006-08-08 00:00:00+00:00,-0.02211337
2006-08-09 00:00:00+00:00,-0.00727651
2006-08-10 00:00:00+00:00,-0.07349380
2006-08-11 00:00:00+00:00,0.01264198
2006-08-14 00:00:00+00:00,-0.02445359
2006-08-15 00:00:00+00:00,0.00486425
2006-08-16 00:00:00+00:00,-0.00770941
2006-08-17 00:00:00+00:00,-0.05265506
2006-08-18 00:00:00+00:00,0.02035623
2006-08-21 00:00:00+00:00,0.04267404
2006-08-22 00:00:00+00:00,0.00324691
2006-08-23 00:00:00+00:00,-0.03672788
2006-08-24 00:00:00+00:00,0.02436825
2006-08-25 00:00:00+00:00,0.00059131
2006-08-28 00:00:00+00:00,-0.06478471
2006-08-29 00:00:00+00:00,-0.01851569
2006-08-30 00:00:00+00:00,0.00921161
2006-08-31 00:00:00+00:00,0.03154493
2006-09-01 00:00:00+00:00,-0.04345880
2006-09-04 00:00:00+00:00,-0.02632917
2006-09-05 00:00:00+00:00,-0.00360918
2006-09-06 00:00:00+00:00,-0.02670041
2006-09-07 00:00:00+00:00,-0.02344322
2006-09-08 00:00:00+00:00,-0.04503073
2006-09-11 00:00:00+00:00,-0.04025608
2006-09-12 00:00:00+00:00,-0.05749418
2006-09-13 00:00:00+00:00,-0.01199068
2006-09-14 00:00:00+00:00,-0.03086986
2006-09-15 00:00:00+00:00,-0.01408533
2006-09-18 00:00:00+00:00,0.02255772
2006-09-19 00:00:00+00:00,-0.04154836
2006-09-20 00:00:00+00:00,-0.05426815
2006-09-21 00:00:00+00:00,0.03289234
2006-09-22 00:00:00+00:00,-0.03752687
2006-09-25 00:00:00+00:00,0.01378096
2006-09-26 00:00:00+00:00,-0.00301859
2006-09-27 00:00:00+00:00,0.06834359
2006-09-28 00:00:00+00:00,0.00093343
2006-09-29 00:00:00+00:00,0.02316490
2006-10-02 00:00:00+00:00,-0.05799829
2006-10-03 00:00:00+00:00,-0.05711599
2006-10-04 00:00:00+00:00,0.02757120
2006-10-05 00:00:00+00:00,0.01621944
2006-10-06 00:00:00+00:00,0.00431442
2006-10-09 00:00:00+00:00,0.03707202
2006-10-10 00:00:00+00:00,-0.05579002
2006-10-11 00:00:00+00:00,-0.01302873
2006-10-12 00:00:00+00:00,0.01728469
2006-10-13 00:00:00+00:00,0.03478106
2006-10-16 00:00:00+00:00,0.04377692
2006-10-17 00:00:00+00:00,-0.02772559
2006-10-18 00:00:00+00:00,-0.04481486
2006-10-19 00:00:00+00:00,0.03024943
2006-10-20 00:00:00+00:00,-0.04453229
2006-10-23 00:00:00+00:00,-0.01428571
2006-10-24 00:00:00+00:00,0.02875967
2006-10-25 00:00:00+00:00,0.05309108
2006-10-26 00:00:00+00:00,-0.04393329
2006-10-27 00:00:00+00:00,-0.00417647
2006-10-30 00:00:00+00:00,-0.10115675
2006-10-31 00:00:00+00:00,0.04089916
2006-11-01 00:00:00+00:00,-0.01727654
2006-11-02 00:00:00+00:00,-0.01531941
2006-11-03 00:00:00+00:00,0.04695981
2006-11-06 00:00:00+00:00,0.04655738
2006-11-07 00:00:00+00:00,-0.04504190
2006-11-08 00:00:00+00:00,0.03398203
2006-11-09 00:00:00+00:00,0.04209049
2006-11-10 00:00:00+00:00,-0.05459441
2006-11-13 00:00:00+00:00,-0.04255570
2006-11-14 00:00:00+00:00,0.00162651
2006-11-15 00:00:00+00:00,0.03360991
2006-11-16 00:00:00+00:00,-0.04177499
2006-11-17 00:00:00+00:00,0.01216501
2006-11-20 00:00:00+00:00,0.00209719
2006-11-21 00:00:00+00:00,0.07325832
2006-11-22 00:00:00+00:00,-0.07299059
2006-11-23 00:00:00+00:00,0.01248118
2006-11-24 00:00:00+00:00,0.02026222
2006-11-27 00:00:00+00:00,0.01356932
2006-11-28 00:00:00+00:00,0.02644851
2006-11-29 00:00:00+00:00,0.07087890
2006-11-30 00:00:00+00:00,0.03046845
2006-12-01 00:00:00+00:00,0.00059459
2006-12-04 00:00:00+00:00,-0.04129458
2006-12-05 00:00:00+00:00,-0.01144342
2006-12-06 00:00:00+00:00,-0.00261358
2006-12-07 00:00:00+00:00,-0.01571906
2006-12-08 00:00:00+00:00,-0.02484821
2006-12-11 00:00:00+00:00,-0.03397257
2006-12-12 00:00:00+00:00,-0.00371165
2006-12-13 00:00:00+00:00,0.00818625
2006-12-14 00:00:00+00:00,0.04971132
2006-12-15 00:00:00+00:00,0.00579792
2006-12-18 00:00:00+00:00,-0.06875456
2006-12-19 00:00:00+00:00,0.00116232
2006-12-20 00:00:00+00:00,0.01268401
2006-12-21 00:00:00+00:00,-0.03351826
2006-12-22 00:00:00+00:00,-0.02256574
2006-12-26 00:00:00+00:00,-0.06789536
2006-12-27 00:00:00+00:00,-0.01694080
2006-12-28 00:00:00+00:00,0.01093983
2006-12-29 00:00:00+00:00,0.01546424
2007-01-02 00:00:00+00:00,-0.00722000
2007-01-03 00:00:00+00:00,-0.06504263
2007-01-04 00:00:00+00:00,-0.05730118
2007-01-05 00:00:00+00:00,0.02909727
2007-01-08 00:00:00+00:00,-0.01085707
2007-01-09 00:00:00+00:00,-0.00295421
2007-01-10 00:00:00+00:00,-0.04143913
2007-01-11 00:00:00+00:00,-0.06043920
2007-01-12 00:00:00+00:00,0.03005944
2007-01-15 00:00:00+00:00,-0.00146316
2007-01-16 00:00:00+00:00,-0.03294509
2007-01-17 00:00:00+00:00,0.02634601
2007-01-18 00:00:00+00:00,-0.03847180
2007-01-19 00:00:00+00:00,0.05514381
