Date,BUND
2006-12-04 00:00:00+00:00,-0.00075681
2006-12-05 00:00:00+00:00,-0.00100934
2006-12-06 00:00:00+00:00,-0.00353446
2006-12-07 00:00:00+00:00,-0.00379267
2006-12-08 00:00:00+00:00,-0.00506671
2006-12-11 00:00:00+00:00,-0.00025407
2006-12-12 00:00:00+00:00,0.00059282
2006-12-13 00:00:00+00:00,-0.00507958
2006-12-14 00:00:00+00:00,-0.00475221
2006-12-15 00:00:00+00:00,-0.00399728
2006-12-18 00:00:00+00:00,-0.00323873
2006-12-19 00:00:00+00:00,-0.00520700
2006-12-20 00:00:00+00:00,0.00094162
2006-12-21 00:00:00+00:00,0.00119771
2006-12-22 00:00:00+00:00,-0.00487388
2006-12-27 00:00:00+00:00,-0.00702777
2006-12-28 00:00:00+00:00,-0.00240881
2006-12-29 00:00:00+00:00,-0.00008612
2007-01-02 00:00:00+00:00,0.00275791
2007-01-03 00:00:00+00:00,-0.00043014
2007-01-04 00:00:00+00:00,0.00146237
2007-01-05 00:00:00+00:00,-0.00592987
2007-01-08 00:00:00+00:00,-0.00008621
2007-01-09 00:00:00+00:00,-0.00534575
2007-01-10 00:00:00+00:00,-0.00103761
2007-01-11 00:00:00+00:00,0.00069216
2007-01-12 00:00:00+00:00,-0.00770563
2007-01-15 00:00:00+00:00,0.00147582
2007-01-16 00:00:00+00:00,0.00251561
2007-01-17 00:00:00+00:00,-0.00199289
2007-01-18 00:00:00+00:00,0.00052034
2007-01-19 00:00:00+00:00,-0.00164659
2007-01-22 00:00:00+00:00,0.00477223
2007-01-23 00:00:00+00:00,-0.00242382
2007-01-24 00:00:00+00:00,-0.00043335
2007-01-25 00:00:00+00:00,-0.00624133
2007-01-26 00:00:00+00:00,-0.00130435
2007-01-29 00:00:00+00:00,-0.00461271
2007-01-30 00:00:00+00:00,0.00287782
2007-01-31 00:00:00+00:00,0.00252481
2007-02-01 00:00:00+00:00,-0.00017393
2007-02-02 00:00:00+00:00,0.00478427
2007-02-05 00:00:00+00:00,0.00346981
2007-02-06 00:00:00+00:00,0.00294449
2007-02-07 00:00:00+00:00,-0.00034596
2007-02-08 00:00:00+00:00,-0.00354671
2007-02-09 00:00:00+00:00,-0.00701906
2007-02-12 00:00:00+00:00,-0.00252174
2007-02-13 00:00:00+00:00,-0.00182863
2007-02-14 00:00:00+00:00,0.00505491
2007-02-15 00:00:00+00:00,0.00730244
2007-02-16 00:00:00+00:00,-0.00077969
