Date,BB3M
2022-09-02 00:00:00+00:00,0.00140735
2022-09-06 00:00:00+00:00,-0.00184925
2022-09-07 00:00:00+00:00,-0.00005215
2022-09-08 00:00:00+00:00,-0.00007823
2022-09-09 00:00:00+00:00,0.00007824
2022-09-12 00:00:00+00:00,0.00028328
2022-09-13 00:00:00+00:00,-0.00409558
2022-09-14 00:00:00+00:00,-0.00005233
2022-09-15 00:00:00+00:00,-0.00094256
2022-09-16 00:00:00+00:00,0.00018334
2022-09-19 00:00:00+00:00,-0.00146620
2022-09-20 00:00:00+00:00,-0.00031465
2022-09-21 00:00:00+00:00,-0.00125912
2022-09-22 00:00:00+00:00,-0.00188887
2022-09-23 00:00:00+00:00,-0.00123509
2022-09-26 00:00:00+00:00,0.00086783
2022-09-27 00:00:00+00:00,0.00120894
2022-09-28 00:00:00+00:00,0.00199548
2022-09-29 00:00:00+00:00,-0.00110103
2022-09-30 00:00:00+00:00,0.00020983
2022-10-03 00:00:00+00:00,0.00073445
2022-10-04 00:00:00+00:00,-0.00099622
2022-10-05 00:00:00+00:00,-0.00031480
2022-10-06 00:00:00+00:00,-0.00089206
2022-10-07 00:00:00+00:00,-0.00191641
2022-10-10 00:00:00+00:00,-0.00137039
2022-10-11 00:00:00+00:00,0.00060491
2022-10-12 00:00:00+00:00,-0.00042065
2022-10-13 00:00:00+00:00,-0.00349669
2022-10-14 00:00:00+00:00,-0.00205534
2022-10-17 00:00:00+00:00,0.00055400
2022-10-18 00:00:00+00:00,0.00063294
2022-10-19 00:00:00+00:00,-0.00131808
2022-10-20 00:00:00+00:00,-0.00100243
2022-10-21 00:00:00+00:00,0.00168919
2022-10-24 00:00:00+00:00,-0.00031631
2022-10-25 00:00:00+00:00,0.00058017
2022-10-26 00:00:00+00:00,0.00100169
2022-10-27 00:00:00+00:00,0.00123821
2022-10-28 00:00:00+00:00,-0.00181636
2022-10-31 00:00:00+00:00,-0.00126516
2022-11-01 00:00:00+00:00,-0.00013188
2022-11-02 00:00:00+00:00,-0.00081781
2022-11-03 00:00:00+00:00,-0.00105625
2022-11-04 00:00:00+00:00,0.00052843
2022-11-07 00:00:00+00:00,-0.00021126
2022-11-08 00:00:00+00:00,0.00073976
2022-11-09 00:00:00+00:00,0.00034328
2022-11-10 00:00:00+00:00,0.00271954
2022-11-11 00:00:00+00:00,0.00039540
2022-11-14 00:00:00+00:00,-0.00076424
2022-11-15 00:00:00+00:00,0.00055374
2022-11-16 00:00:00+00:00,0.00034261
2022-11-17 00:00:00+00:00,-0.00034261
2022-11-18 00:00:00+00:00,0.00018457
