Date,FANG
2017-12-13 00:00:00+00:00,0.00252093
2017-12-14 00:00:00+00:00,0.00202066
2017-12-15 00:00:00+00:00,0.00703563
2017-12-18 00:00:00+00:00,0.02300641
2017-12-19 00:00:00+00:00,-0.00935230
2017-12-20 00:00:00+00:00,-0.00096601
2017-12-21 00:00:00+00:00,0.00399965
2017-12-22 00:00:00+00:00,-0.00582235
2017-12-26 00:00:00+00:00,-0.00946720
2017-12-27 00:00:00+00:00,-0.00164481
2017-12-28 00:00:00+00:00,0.00405201
2017-12-29 00:00:00+00:00,-0.00802696
2018-01-02 00:00:00+00:00,0.03084764
2018-01-03 00:00:00+00:00,0.01283719
2018-01-04 00:00:00+00:00,0.00102766
2018-01-05 00:00:00+00:00,0.01184875
2018-01-08 00:00:00+00:00,0.01606426
2018-01-09 00:00:00+00:00,-0.00220512
2018-01-10 00:00:00+00:00,-0.00191811
2018-01-11 00:00:00+00:00,0.00718583
2018-01-12 00:00:00+00:00,0.00771528
2018-01-16 00:00:00+00:00,-0.00419857
2018-01-17 00:00:00+00:00,0.00124008
2018-01-18 00:00:00+00:00,-0.00061927
2018-01-19 00:00:00+00:00,0.00437890
2018-01-22 00:00:00+00:00,0.00880188
2018-01-23 00:00:00+00:00,0.02291352
2018-01-24 00:00:00+00:00,-0.00163418
2018-01-25 00:00:00+00:00,0.00083839
2018-01-26 00:00:00+00:00,0.02620767
2018-01-29 00:00:00+00:00,0.00660810
2018-01-30 00:00:00+00:00,-0.00926784
2018-01-31 00:00:00+00:00,0.00440443
2018-02-01 00:00:00+00:00,-0.00977919
2018-02-02 00:00:00+00:00,-0.02182858
2018-02-05 00:00:00+00:00,-0.03898237
2018-02-06 00:00:00+00:00,0.02363780
2018-02-07 00:00:00+00:00,0.00004073
2018-02-08 00:00:00+00:00,-0.03282427
2018-02-09 00:00:00+00:00,0.02421155
2018-02-12 00:00:00+00:00,0.00752343
2018-02-13 00:00:00+00:00,0.01913739
2018-02-14 00:00:00+00:00,0.02502402
2018-02-15 00:00:00+00:00,0.02144447
2018-02-16 00:00:00+00:00,-0.00848948
2018-02-20 00:00:00+00:00,0.00447393
2018-02-21 00:00:00+00:00,0.00215021
2018-02-22 00:00:00+00:00,0.00111111
2018-02-23 00:00:00+00:00,0.01672471
2018-02-26 00:00:00+00:00,0.01084092
2018-02-27 00:00:00+00:00,-0.01362925
2018-02-28 00:00:00+00:00,-0.00520991
2018-03-01 00:00:00+00:00,-0.01647059
2018-03-02 00:00:00+00:00,0.01157586
2018-03-05 00:00:00+00:00,0.01945377
2018-03-06 00:00:00+00:00,0.00972308
2018-03-07 00:00:00+00:00,0.00696606
2018-03-08 00:00:00+00:00,-0.00610833
2018-03-09 00:00:00+00:00,0.02088116
2018-03-12 00:00:00+00:00,0.01102488
2018-03-13 00:00:00+00:00,-0.01972882
2018-03-14 00:00:00+00:00,0.01364900
2018-03-15 00:00:00+00:00,0.00119129
2018-03-16 00:00:00+00:00,-0.00439893
2018-03-19 00:00:00+00:00,-0.02969723
2018-03-20 00:00:00+00:00,-0.00425500
2018-03-21 00:00:00+00:00,0.00007497
2018-03-22 00:00:00+00:00,-0.03661919
2018-03-23 00:00:00+00:00,-0.02174843
2018-03-26 00:00:00+00:00,0.03245307
2018-03-27 00:00:00+00:00,-0.05670262
2018-03-28 00:00:00+00:00,-0.02196994
2018-03-29 00:00:00+00:00,0.02471816
2018-04-02 00:00:00+00:00,-0.03471600
2018-04-03 00:00:00+00:00,0.00928662
2018-04-04 00:00:00+00:00,0.01497281
2018-04-05 00:00:00+00:00,0.01672985
2018-04-06 00:00:00+00:00,-0.02480344
2018-04-09 00:00:00+00:00,0.00374034
2018-04-10 00:00:00+00:00,0.03569063
2018-04-11 00:00:00+00:00,-0.00463740
2018-04-12 00:00:00+00:00,0.00506065
2018-04-13 00:00:00+00:00,-0.00247762
2018-04-16 00:00:00+00:00,-0.00072110
2018-04-17 00:00:00+00:00,0.03768441
2018-04-18 00:00:00+00:00,0.00239530
2018-04-19 00:00:00+00:00,-0.00119479
2018-04-20 00:00:00+00:00,-0.01524214
2018-04-23 00:00:00+00:00,-0.01340125
2018-04-24 00:00:00+00:00,-0.02029550
2018-04-25 00:00:00+00:00,-0.00879718
2018-04-26 00:00:00+00:00,0.04703476
2018-04-27 00:00:00+00:00,-0.00859375
2018-04-30 00:00:00+00:00,0.00307329
2018-05-01 00:00:00+00:00,0.00989866
2018-05-02 00:00:00+00:00,0.00412291
2018-05-03 00:00:00+00:00,-0.00216920
2018-05-04 00:00:00+00:00,0.02111801
2018-05-07 00:00:00+00:00,0.01779197
2018-05-08 00:00:00+00:00,0.00657403
2018-05-09 00:00:00+00:00,0.01113255
2018-05-10 00:00:00+00:00,0.01005578
2018-05-11 00:00:00+00:00,-0.00501417
2018-05-14 00:00:00+00:00,0.00248320
2018-05-15 00:00:00+00:00,-0.01646510
2018-05-16 00:00:00+00:00,0.00851852
2018-05-17 00:00:00+00:00,-0.00550863
2018-05-18 00:00:00+00:00,-0.01624815
2018-05-21 00:00:00+00:00,0.00675676
