Date,EU-OIL
2018-08-30 00:00:00+00:00,-0.00143062
2018-08-31 00:00:00+00:00,-0.00859599
2018-09-03 00:00:00+00:00,-0.00057803
2018-09-04 00:00:00+00:00,-0.00086755
2018-09-05 00:00:00+00:00,-0.01505065
2018-09-06 00:00:00+00:00,-0.01616221
2018-09-07 00:00:00+00:00,0.00029869
2018-09-10 00:00:00+00:00,0.00268737
2018-09-11 00:00:00+00:00,0.01457202
2018-09-12 00:00:00+00:00,0.01555621
2018-09-13 00:00:00+00:00,-0.00433526
2018-09-14 00:00:00+00:00,0.00377358
2018-09-17 00:00:00+00:00,-0.00115674
2018-09-18 00:00:00+00:00,0.00677267
2018-09-19 00:00:00+00:00,0.00350980
2018-09-20 00:00:00+00:00,0.00408044
2018-09-21 00:00:00+00:00,0.00435414
2018-09-24 00:00:00+00:00,0.01531792
2018-09-25 00:00:00+00:00,0.01964133
2018-09-26 00:00:00+00:00,-0.00167504
2018-09-27 00:00:00+00:00,0.00447427
2018-09-28 00:00:00+00:00,-0.00417595
2018-10-01 00:00:00+00:00,0.00838692
2018-10-02 00:00:00+00:00,-0.00055448
2018-10-03 00:00:00+00:00,0.00221914
2018-10-04 00:00:00+00:00,-0.00359812
2018-10-05 00:00:00+00:00,-0.01833333
2018-10-08 00:00:00+00:00,-0.01329938
2018-10-09 00:00:00+00:00,0.02294236
2018-10-10 00:00:00+00:00,-0.01289599
2018-10-11 00:00:00+00:00,-0.03692133
2018-10-12 00:00:00+00:00,0.00353878
2018-10-15 00:00:00+00:00,0.00764032
2018-10-16 00:00:00+00:00,0.00670749
2018-10-17 00:00:00+00:00,-0.00782155
2018-10-18 00:00:00+00:00,-0.00905109
2018-10-19 00:00:00+00:00,0.00265174
2018-10-22 00:00:00+00:00,-0.01557449
2018-10-23 00:00:00+00:00,-0.02507463
2018-10-24 00:00:00+00:00,0.00061237
2018-10-25 00:00:00+00:00,0.00091799
2018-10-26 00:00:00+00:00,-0.00733721
2018-10-29 00:00:00+00:00,0.00646751
2018-10-30 00:00:00+00:00,0.00000000
2018-10-31 00:00:00+00:00,0.03090575
2018-11-01 00:00:00+00:00,-0.02463639
2018-11-02 00:00:00+00:00,-0.00639075
2018-11-05 00:00:00+00:00,0.01684533
2018-11-06 00:00:00+00:00,-0.00301205
2018-11-07 00:00:00+00:00,0.01450151
2018-11-08 00:00:00+00:00,-0.00536033
2018-11-09 00:00:00+00:00,-0.01137725
2018-11-12 00:00:00+00:00,-0.00121139
2018-11-13 00:00:00+00:00,-0.02910855
2018-11-14 00:00:00+00:00,0.00405996
2018-11-15 00:00:00+00:00,0.01337481
2018-11-16 00:00:00+00:00,-0.00521793
2018-11-19 00:00:00+00:00,-0.00802222
2018-11-20 00:00:00+00:00,-0.02052877
2018-11-21 00:00:00+00:00,0.02318196
2018-11-22 00:00:00+00:00,-0.01086282
2018-11-23 00:00:00+00:00,-0.02918105
2018-11-26 00:00:00+00:00,0.02230123
2018-11-27 00:00:00+00:00,0.00000000
2018-11-28 00:00:00+00:00,-0.08093582
2018-11-29 00:00:00+00:00,0.00314961
2018-11-30 00:00:00+00:00,0.00659341
2018-12-03 00:00:00+00:00,0.04733542
2018-12-04 00:00:00+00:00,-0.00522434
2018-12-05 00:00:00+00:00,-0.03431101
2018-12-06 00:00:00+00:00,-0.03350031
2018-12-07 00:00:00+00:00,0.01198575
2018-12-10 00:00:00+00:00,-0.04702892
2018-12-11 00:00:00+00:00,0.00260926
2018-12-12 00:00:00+00:00,0.00969619
2018-12-14 00:00:00+00:00,-0.00096031
2018-12-17 00:00:00+00:00,-0.01954502
2018-12-18 00:00:00+00:00,-0.01405229
2018-12-19 00:00:00+00:00,-0.01060656
2018-12-20 00:00:00+00:00,-0.01541039
2018-12-21 00:00:00+00:00,0.00884655
2018-12-27 00:00:00+00:00,-0.01281619
2018-12-28 00:00:00+00:00,0.02049880
2019-01-02 00:00:00+00:00,0.01673920
2019-01-03 00:00:00+00:00,-0.00296345
2019-01-04 00:00:00+00:00,0.02906209
2019-01-07 00:00:00+00:00,-0.00192555
2019-01-08 00:00:00+00:00,-0.00064309
2019-01-09 00:00:00+00:00,0.01447876
2019-01-10 00:00:00+00:00,-0.00475737
2019-01-11 00:00:00+00:00,-0.00637349
2019-01-14 00:00:00+00:00,0.00224503
2019-01-15 00:00:00+00:00,0.00352000
2019-01-16 00:00:00+00:00,-0.00031888
2019-01-17 00:00:00+00:00,-0.00318979
2019-01-18 00:00:00+00:00,0.02112000
2019-01-21 00:00:00+00:00,-0.00407396
2019-01-22 00:00:00+00:00,-0.01101322
2019-01-23 00:00:00+00:00,-0.01209036
2019-01-24 00:00:00+00:00,0.01417069
2019-01-25 00:00:00+00:00,0.00190537
2019-01-28 00:00:00+00:00,-0.01648177
2019-01-29 00:00:00+00:00,0.01192394
2019-01-30 00:00:00+00:00,0.00509554
2019-01-31 00:00:00+00:00,0.01774398
2019-02-01 00:00:00+00:00,0.00186800
2019-02-04 00:00:00+00:00,0.00341827
2019-02-05 00:00:00+00:00,0.01734283
2019-02-06 00:00:00+00:00,0.00273973
2019-02-07 00:00:00+00:00,-0.02034001
2019-02-08 00:00:00+00:00,0.00247908
2019-02-11 00:00:00+00:00,0.00525502
2019-02-12 00:00:00+00:00,0.00584256
2019-02-13 00:00:00+00:00,0.00336289
2019-02-14 00:00:00+00:00,0.00182815
2019-02-15 00:00:00+00:00,0.01034063
2019-02-18 00:00:00+00:00,0.00391331
2019-02-19 00:00:00+00:00,-0.00209895
2019-02-20 00:00:00+00:00,0.00360577
2019-02-21 00:00:00+00:00,-0.00508982
2019-02-22 00:00:00+00:00,0.00270840
2019-02-25 00:00:00+00:00,-0.00540216
2019-02-26 00:00:00+00:00,0.00543150
2019-02-27 00:00:00+00:00,-0.00030012
2019-02-28 00:00:00+00:00,-0.00390273
2019-03-01 00:00:00+00:00,0.00000000
2019-03-04 00:00:00+00:00,0.00542495
2019-03-05 00:00:00+00:00,0.00267784
2019-03-06 00:00:00+00:00,0.07324365
2019-03-07 00:00:00+00:00,0.00029789
2019-03-08 00:00:00+00:00,-0.03215243
2019-03-11 00:00:00+00:00,-0.00787402
2019-03-12 00:00:00+00:00,0.00214790
2019-03-13 00:00:00+00:00,0.01806491
