Date,GBPJPY
2022-06-24 00:00:00+00:00,0.00723848
2022-06-27 00:00:00+00:00,0.00376320
2022-06-28 00:00:00+00:00,-0.00258838
2022-06-29 00:00:00+00:00,-0.00718629
2022-06-30 00:00:00+00:00,-0.00326603
2022-07-01 00:00:00+00:00,-0.01834666
2022-07-04 00:00:00+00:00,-0.00004990
2022-07-05 00:00:00+00:00,-0.01845525
2022-07-06 00:00:00+00:00,0.00056451
2022-07-07 00:00:00+00:00,0.01721582
2022-07-08 00:00:00+00:00,0.00337992
2022-07-11 00:00:00+00:00,-0.00557334
2022-07-12 00:00:00+00:00,-0.00743602
2022-07-13 00:00:00+00:00,0.00899672
2022-07-14 00:00:00+00:00,0.00950562
2022-07-15 00:00:00+00:00,0.00042132
2022-07-18 00:00:00+00:00,0.00872512
2022-07-19 00:00:00+00:00,0.00965505
2022-07-20 00:00:00+00:00,-0.00400410
2022-07-21 00:00:00+00:00,-0.00861872
2022-07-22 00:00:00+00:00,-0.01924965
2022-07-25 00:00:00+00:00,0.01947853
2022-07-26 00:00:00+00:00,-0.00378653
2022-07-27 00:00:00+00:00,0.01841076
2022-07-28 00:00:00+00:00,-0.03191735
2022-07-29 00:00:00+00:00,-0.01051122
2022-08-01 00:00:00+00:00,-0.01025827
2022-08-02 00:00:00+00:00,0.00358956
2022-08-03 00:00:00+00:00,0.01306196
2022-08-04 00:00:00+00:00,-0.01299493
2022-08-05 00:00:00+00:00,0.01436082
2022-08-08 00:00:00+00:00,-0.00210205
2022-08-09 00:00:00+00:00,0.00435714
2022-08-10 00:00:00+00:00,-0.00812122
2022-08-11 00:00:00+00:00,-0.00371229
2022-08-12 00:00:00+00:00,-0.00124752
2022-08-15 00:00:00+00:00,-0.01689036
2022-08-16 00:00:00+00:00,0.01968801
2022-08-17 00:00:00+00:00,0.00727083
2022-08-18 00:00:00+00:00,-0.00905508
2022-08-19 00:00:00+00:00,-0.00526604
2022-08-22 00:00:00+00:00,-0.00106995
2022-08-23 00:00:00+00:00,0.00146982
2022-08-24 00:00:00+00:00,-0.00175135
2022-08-25 00:00:00+00:00,-0.00224911
2022-08-26 00:00:00+00:00,-0.00076366
2022-08-29 00:00:00+00:00,0.01350810
2022-08-30 00:00:00+00:00,-0.00957570
2022-08-31 00:00:00+00:00,-0.00652424
2022-09-01 00:00:00+00:00,0.00836485
2022-09-02 00:00:00+00:00,-0.00552707
2022-09-05 00:00:00+00:00,-0.00008321
2022-09-06 00:00:00+00:00,0.04110698
2022-09-07 00:00:00+00:00,0.01346507
2022-09-08 00:00:00+00:00,-0.00207845
2022-09-09 00:00:00+00:00,-0.00226210
2022-09-12 00:00:00+00:00,0.01570081
2022-09-13 00:00:00+00:00,-0.01119548
2022-09-14 00:00:00+00:00,-0.01125563
2022-09-15 00:00:00+00:00,-0.00723114
2022-09-16 00:00:00+00:00,-0.01650389
2022-09-19 00:00:00+00:00,0.00546833
2022-09-20 00:00:00+00:00,-0.00372885
2022-09-21 00:00:00+00:00,-0.00589238
2022-09-22 00:00:00+00:00,-0.02978963
2022-09-23 00:00:00+00:00,-0.06240271
2022-09-26 00:00:00+00:00,-0.01486683
2022-09-27 00:00:00+00:00,0.01001803
2022-09-28 00:00:00+00:00,0.02054251
2022-09-29 00:00:00+00:00,0.03575290
2022-09-30 00:00:00+00:00,0.02641152
2022-10-03 00:00:00+00:00,0.02537905
2022-10-04 00:00:00+00:00,0.01909503
2022-10-05 00:00:00+00:00,-0.01593869
2022-10-06 00:00:00+00:00,-0.02613734
2022-10-07 00:00:00+00:00,-0.00893202
2022-10-10 00:00:00+00:00,0.00077882
2022-10-11 00:00:00+00:00,-0.00397204
2022-10-12 00:00:00+00:00,0.02706444
2022-10-13 00:00:00+00:00,0.04491717
2022-10-14 00:00:00+00:00,-0.00493703
2022-10-17 00:00:00+00:00,0.03754849
2022-10-18 00:00:00+00:00,-0.00409337
2022-10-19 00:00:00+00:00,-0.01041592
2022-10-20 00:00:00+00:00,0.00629211
2022-10-21 00:00:00+00:00,-0.02726612
2022-10-24 00:00:00+00:00,0.02166715
2022-10-25 00:00:00+00:00,0.02263097
2022-10-26 00:00:00+00:00,0.00325898
2022-10-27 00:00:00+00:00,-0.01027790
2022-10-28 00:00:00+00:00,0.02596239
2022-10-31 00:00:00+00:00,-0.00932098
2022-11-01 00:00:00+00:00,-0.00347547
2022-11-02 00:00:00+00:00,-0.01770261
2022-11-03 00:00:00+00:00,-0.03643327
2022-11-04 00:00:00+00:00,0.01625876
2022-11-07 00:00:00+00:00,0.02629318
2022-11-08 00:00:00+00:00,-0.01324024
2022-11-09 00:00:00+00:00,-0.01816840
2022-11-10 00:00:00+00:00,-0.00590872
