Date,EURCAD
2021-12-14 00:00:00+00:00,0.00379939
2021-12-15 00:00:00+00:00,0.00530925
2021-12-16 00:00:00+00:00,-0.00240715
2021-12-17 00:00:00+00:00,-0.00020657
2021-12-20 00:00:00+00:00,0.01473626
2021-12-21 00:00:00+00:00,-0.00259758
2021-12-22 00:00:00+00:00,-0.00369635
2021-12-23 00:00:00+00:00,-0.00528012
2021-12-27 00:00:00+00:00,-0.00330033
2021-12-28 00:00:00+00:00,-0.00110193
2021-12-29 00:00:00+00:00,0.00392778
2021-12-30 00:00:00+00:00,-0.01114168
2021-12-31 00:00:00+00:00,-0.00491044
2022-01-03 00:00:00+00:00,-0.00013866
2022-01-04 00:00:00+00:00,-0.00818138
2022-01-05 00:00:00+00:00,0.01155667
2022-01-06 00:00:00+00:00,-0.00796013
2022-01-07 00:00:00+00:00,-0.00159844
2022-01-10 00:00:00+00:00,0.00013911
2022-01-11 00:00:00+00:00,-0.00751148
2022-01-12 00:00:00+00:00,0.00111701
2022-01-13 00:00:00+00:00,0.00006977
2022-01-14 00:00:00+00:00,0.00376779
2022-01-17 00:00:00+00:00,-0.00389999
2022-01-18 00:00:00+00:00,-0.02041530
2022-01-19 00:00:00+00:00,0.00155104
2022-01-20 00:00:00+00:00,-0.00958084
2022-01-21 00:00:00+00:00,0.02137750
2022-01-24 00:00:00+00:00,0.00798431
2022-01-25 00:00:00+00:00,-0.01039414
2022-01-26 00:00:00+00:00,-0.00035063
2022-01-27 00:00:00+00:00,-0.00652220
2022-01-28 00:00:00+00:00,0.00731724
2022-01-31 00:00:00+00:00,0.00364554
2022-02-01 00:00:00+00:00,0.00195928
2022-02-02 00:00:00+00:00,0.00468368
2022-02-03 00:00:00+00:00,0.02357208
2022-02-04 00:00:00+00:00,0.01461363
2022-02-07 00:00:00+00:00,-0.01505509
2022-02-08 00:00:00+00:00,0.00289595
2022-02-09 00:00:00+00:00,-0.00371824
2022-02-10 00:00:00+00:00,0.01020901
2022-02-11 00:00:00+00:00,-0.01606040
2022-02-14 00:00:00+00:00,-0.00809521
2022-02-15 00:00:00+00:00,0.01090732
2022-02-16 00:00:00+00:00,-0.00338561
2022-02-17 00:00:00+00:00,-0.00138427
2022-02-18 00:00:00+00:00,0.00152376
2022-02-21 00:00:00+00:00,-0.00006921
2022-02-22 00:00:00+00:00,0.00214563
2022-02-23 00:00:00+00:00,-0.00760509
2022-02-24 00:00:00+00:00,-0.00923034
2022-02-25 00:00:00+00:00,-0.00250994
2022-02-28 00:00:00+00:00,-0.01151832
2022-03-01 00:00:00+00:00,-0.00919815
2022-03-02 00:00:00+00:00,-0.01410736
2022-03-03 00:00:00+00:00,-0.00717482
2022-03-04 00:00:00+00:00,-0.01739502
2022-03-07 00:00:00+00:00,-0.00179793
2022-03-08 00:00:00+00:00,0.02440253
2022-03-09 00:00:00+00:00,0.02162008
2022-03-10 00:00:00+00:00,-0.02785986
2022-03-11 00:00:00+00:00,-0.01969178
2022-03-14 00:00:00+00:00,0.01606860
2022-03-15 00:00:00+00:00,-0.01007021
2022-03-16 00:00:00+00:00,0.00192445
2022-03-17 00:00:00+00:00,0.00484227
2022-03-18 00:00:00+00:00,-0.01591135
2022-03-21 00:00:00+00:00,-0.00701704
2022-03-22 00:00:00+00:00,-0.00043116
