Date,FTSEINDO
2021-05-03 00:00:00+00:00,-0.00830055
2021-05-04 00:00:00+00:00,0.00736483
2021-05-05 00:00:00+00:00,0.00033184
2021-05-06 00:00:00+00:00,-0.00299045
2021-05-07 00:00:00+00:00,-0.01532864
2021-05-08 00:00:00+00:00,0.01624324
2021-05-10 00:00:00+00:00,-0.00066628
2021-05-11 00:00:00+00:00,-0.00966386
2021-05-12 00:00:00+00:00,-0.00572047
2021-05-13 00:00:00+00:00,-0.01252151
2021-05-14 00:00:00+00:00,0.01267964
2021-05-15 00:00:00+00:00,0.00473745
2021-05-17 00:00:00+00:00,-0.01010469
2021-05-18 00:00:00+00:00,0.00170084
2021-05-19 00:00:00+00:00,-0.01970150
2021-05-20 00:00:00+00:00,0.01559229
2021-05-21 00:00:00+00:00,-0.05049485
2021-05-24 00:00:00+00:00,0.00540893
2021-05-25 00:00:00+00:00,-0.00239113
2021-05-26 00:00:00+00:00,0.00239616
2021-05-27 00:00:00+00:00,0.00614726
2021-05-28 00:00:00+00:00,0.00407296
2021-05-31 00:00:00+00:00,0.01588875
2021-06-01 00:00:00+00:00,-0.00066597
2021-06-02 00:00:00+00:00,0.01631646
2021-06-03 00:00:00+00:00,0.01507153
2021-06-04 00:00:00+00:00,-0.00161450
2021-06-07 00:00:00+00:00,-0.00970002
2021-06-08 00:00:00+00:00,-0.01469217
2021-06-09 00:00:00+00:00,0.01192774
2021-06-10 00:00:00+00:00,0.00949505
2021-06-11 00:00:00+00:00,-0.00713668
2021-06-14 00:00:00+00:00,-0.00588113
2021-06-15 00:00:00+00:00,-0.00262968
2021-06-16 00:00:00+00:00,-0.01482835
2021-06-17 00:00:00+00:00,-0.00669002
2021-06-18 00:00:00+00:00,-0.01346915
2021-06-19 00:00:00+00:00,-0.00648578
2021-06-21 00:00:00+00:00,0.00996107
2021-06-22 00:00:00+00:00,0.01087934
2021-06-23 00:00:00+00:00,-0.00915382
2021-06-24 00:00:00+00:00,-0.00410684
2021-06-25 00:00:00+00:00,-0.00240614
2021-06-28 00:00:00+00:00,-0.02651657
2021-06-29 00:00:00+00:00,0.00636576
2021-06-30 00:00:00+00:00,0.00105320
2021-07-01 00:00:00+00:00,0.00175428
2021-07-02 00:00:00+00:00,0.00981281
2021-07-03 00:00:00+00:00,0.00242830
2021-07-05 00:00:00+00:00,-0.00865793
2021-07-06 00:00:00+00:00,-0.02060909
2021-07-15 00:00:00+00:00,-0.00008865
2021-07-22 00:00:00+00:00,0.00874298
2021-07-23 00:00:00+00:00,-0.00832319
2021-07-26 00:00:00+00:00,-0.00454673
2021-07-27 00:00:00+00:00,-0.00070391
2021-07-28 00:00:00+00:00,-0.00949175
2021-07-29 00:00:00+00:00,0.00496678
2021-07-30 00:00:00+00:00,-0.02118772
2021-07-31 00:00:00+00:00,0.00204872
2021-08-02 00:00:00+00:00,0.00639980
2021-08-03 00:00:00+00:00,0.01625300
2021-08-04 00:00:00+00:00,-0.00069683
2021-08-05 00:00:00+00:00,0.01287257
2021-08-06 00:00:00+00:00,-0.00652838
2021-08-07 00:00:00+00:00,-0.00138454
2021-08-09 00:00:00+00:00,-0.00969671
2021-08-10 00:00:00+00:00,-0.00209946
2021-08-11 00:00:00+00:00,-0.00035180
2021-08-12 00:00:00+00:00,0.03715246
2021-08-23 00:00:00+00:00,-0.00008904
2021-08-24 00:00:00+00:00,0.00930552
2021-08-25 00:00:00+00:00,0.00990296
2021-08-26 00:00:00+00:00,-0.01149961
2021-08-27 00:00:00+00:00,-0.00000147
2021-08-30 00:00:00+00:00,0.01813078
2021-08-31 00:00:00+00:00,0.02788851
2021-09-01 00:00:00+00:00,-0.00846330
2021-09-02 00:00:00+00:00,0.00168848
2021-09-03 00:00:00+00:00,0.02125378
2021-09-06 00:00:00+00:00,0.00324882
2021-09-07 00:00:00+00:00,0.00099587
2021-09-08 00:00:00+00:00,-0.02091761
2021-09-09 00:00:00+00:00,0.00542429
2021-09-10 00:00:00+00:00,-0.00142211
2021-09-11 00:00:00+00:00,-0.00301137
2021-09-13 00:00:00+00:00,-0.00100771
2021-09-14 00:00:00+00:00,0.00604319
2021-09-15 00:00:00+00:00,-0.00767804
2021-09-16 00:00:00+00:00,0.00268991
2021-09-17 00:00:00+00:00,-0.00277784
