Date,SOYMEAL
2000-06-22 00:00:00+00:00,-0.01260239
2000-06-23 00:00:00+00:00,-0.00634115
2000-06-26 00:00:00+00:00,0.00318878
2000-06-27 00:00:00+00:00,0.01720271
2000-06-28 00:00:00+00:00,-0.01201011
2000-06-29 00:00:00+00:00,0.03043754
2000-06-30 00:00:00+00:00,-0.04236760
2000-07-03 00:00:00+00:00,-0.02993631
2000-07-05 00:00:00+00:00,-0.00453368
2000-07-06 00:00:00+00:00,-0.03383214
2000-07-07 00:00:00+00:00,0.01866667
2000-07-10 00:00:00+00:00,-0.01055409
2000-07-11 00:00:00+00:00,-0.01591512
2000-07-12 00:00:00+00:00,0.01942398
2000-07-13 00:00:00+00:00,0.00596817
2000-07-14 00:00:00+00:00,-0.04301787
2000-07-17 00:00:00+00:00,-0.02845528
2000-07-18 00:00:00+00:00,0.00687285
2000-07-19 00:00:00+00:00,-0.00477164
2000-07-20 00:00:00+00:00,0.02168022
2000-07-21 00:00:00+00:00,0.02275770
2000-07-24 00:00:00+00:00,-0.02904290
2000-07-25 00:00:00+00:00,-0.02619208
2000-07-26 00:00:00+00:00,0.00817439
2000-07-27 00:00:00+00:00,0.02578019
2000-07-28 00:00:00+00:00,-0.02339572
2000-07-31 00:00:00+00:00,-0.02642276
2000-08-01 00:00:00+00:00,-0.00137268
2000-08-02 00:00:00+00:00,0.01442308
2000-08-03 00:00:00+00:00,-0.00408719
2000-08-04 00:00:00+00:00,-0.00273224
2000-08-07 00:00:00+00:00,-0.01295160
2000-08-08 00:00:00+00:00,0.01718213
2000-08-09 00:00:00+00:00,0.00068074
2000-08-10 00:00:00+00:00,0.03197279
2000-08-11 00:00:00+00:00,0.02414487
2000-08-14 00:00:00+00:00,0.01058201
2000-08-15 00:00:00+00:00,0.02898551
2000-08-16 00:00:00+00:00,0.02530824
2000-08-17 00:00:00+00:00,-0.01603592
2000-08-18 00:00:00+00:00,-0.01619171
2000-08-21 00:00:00+00:00,0.02941176
2000-08-22 00:00:00+00:00,-0.01416613
2000-08-23 00:00:00+00:00,0.02207792
2000-08-24 00:00:00+00:00,0.02634961
2000-08-25 00:00:00+00:00,0.00572155
2000-08-28 00:00:00+00:00,0.03757962
2000-08-29 00:00:00+00:00,0.04862843
2000-08-30 00:00:00+00:00,-0.00789405
2000-08-31 00:00:00+00:00,0.05860806
2000-09-01 00:00:00+00:00,-0.01063830
2000-09-05 00:00:00+00:00,0.02969121
2000-09-06 00:00:00+00:00,-0.02159953
2000-09-07 00:00:00+00:00,-0.01909308
2000-09-08 00:00:00+00:00,0.04269393
2000-09-11 00:00:00+00:00,0.01059447
2000-09-12 00:00:00+00:00,0.00762016
2000-09-13 00:00:00+00:00,-0.02571596
2000-09-14 00:00:00+00:00,-0.01481921
2000-09-15 00:00:00+00:00,-0.01912732
2000-09-18 00:00:00+00:00,0.04426925
2000-09-19 00:00:00+00:00,-0.02430350
2000-09-20 00:00:00+00:00,0.01805054
2000-09-21 00:00:00+00:00,0.01493429
2000-09-22 00:00:00+00:00,0.03556609
2000-09-25 00:00:00+00:00,-0.00758017
2000-09-26 00:00:00+00:00,-0.00585480
2000-09-27 00:00:00+00:00,0.00175486
2000-09-28 00:00:00+00:00,0.00995316
2000-09-29 00:00:00+00:00,-0.02680653
2000-10-02 00:00:00+00:00,0.00767868
2000-10-03 00:00:00+00:00,0.00589623
2000-10-04 00:00:00+00:00,-0.00528790
2000-10-05 00:00:00+00:00,-0.00590667
2000-10-06 00:00:00+00:00,-0.01185536
2000-10-09 00:00:00+00:00,-0.01132976
2000-10-10 00:00:00+00:00,0.01798561
2000-10-11 00:00:00+00:00,-0.02498513
2000-10-12 00:00:00+00:00,-0.01444913
2000-10-13 00:00:00+00:00,-0.02910855
2000-10-16 00:00:00+00:00,0.00246002
2000-10-17 00:00:00+00:00,0.03874539
2000-10-18 00:00:00+00:00,0.00967352
2000-10-19 00:00:00+00:00,0.04392298
2000-10-20 00:00:00+00:00,-0.01772002
2000-10-23 00:00:00+00:00,-0.03097082
2000-10-24 00:00:00+00:00,0.02720677
2000-10-25 00:00:00+00:00,0.00059773
2000-10-26 00:00:00+00:00,-0.02869097
2000-10-27 00:00:00+00:00,-0.01754386
2000-10-30 00:00:00+00:00,0.01402439
2000-10-31 00:00:00+00:00,0.03090909
2000-11-01 00:00:00+00:00,-0.00238949
2000-11-02 00:00:00+00:00,0.02689779
2000-11-03 00:00:00+00:00,0.01001178
2000-11-06 00:00:00+00:00,0.02637749
2000-11-07 00:00:00+00:00,-0.01215981
2000-11-08 00:00:00+00:00,-0.01687027
2000-11-09 00:00:00+00:00,-0.04100762
2000-11-10 00:00:00+00:00,-0.02988643
2000-11-13 00:00:00+00:00,0.02787879
2000-11-14 00:00:00+00:00,0.02392344
