Date,EU-TECH
2018-08-31 00:00:00+00:00,-0.00643554
2018-09-03 00:00:00+00:00,0.00376097
2018-09-04 00:00:00+00:00,-0.01519567
2018-09-05 00:00:00+00:00,-0.02900494
2018-09-06 00:00:00+00:00,-0.01349586
2018-09-07 00:00:00+00:00,-0.06796117
2018-09-10 00:00:00+00:00,0.00770925
2018-09-11 00:00:00+00:00,0.03169399
2018-09-12 00:00:00+00:00,-0.00886678
2018-09-13 00:00:00+00:00,-0.00109099
2018-09-14 00:00:00+00:00,0.00327654
2018-09-17 00:00:00+00:00,-0.00740257
2018-09-18 00:00:00+00:00,0.01052862
2018-09-19 00:00:00+00:00,-0.00499240
2018-09-20 00:00:00+00:00,0.00021815
2018-09-21 00:00:00+00:00,0.01003272
2018-09-24 00:00:00+00:00,-0.00107968
2018-09-25 00:00:00+00:00,0.01642888
2018-09-26 00:00:00+00:00,-0.00063803
2018-09-27 00:00:00+00:00,0.03745478
2018-09-28 00:00:00+00:00,-0.04615385
2018-10-01 00:00:00+00:00,0.01354839
2018-10-02 00:00:00+00:00,-0.00127307
2018-10-03 00:00:00+00:00,0.00106225
2018-10-04 00:00:00+00:00,-0.01273345
2018-10-05 00:00:00+00:00,-0.02321582
2018-10-08 00:00:00+00:00,-0.01694542
2018-10-09 00:00:00+00:00,0.00671592
2018-10-10 00:00:00+00:00,-0.04380698
2018-10-11 00:00:00+00:00,-0.01000000
2018-10-12 00:00:00+00:00,0.00375852
2018-10-15 00:00:00+00:00,0.00070208
2018-10-16 00:00:00+00:00,0.03063611
2018-10-17 00:00:00+00:00,0.00658044
2018-10-18 00:00:00+00:00,-0.02186655
2018-10-19 00:00:00+00:00,-0.00368749
2018-10-22 00:00:00+00:00,-0.00300717
2018-10-23 00:00:00+00:00,-0.03712297
2018-10-24 00:00:00+00:00,-0.02120482
2018-10-25 00:00:00+00:00,0.01698671
2018-10-26 00:00:00+00:00,-0.00798838
2018-10-29 00:00:00+00:00,0.00780869
2018-10-30 00:00:00+00:00,0.00314770
2018-10-31 00:00:00+00:00,0.02389573
2018-11-01 00:00:00+00:00,0.00282885
2018-11-02 00:00:00+00:00,0.00728726
2018-11-05 00:00:00+00:00,-0.00910152
2018-11-06 00:00:00+00:00,0.00070655
2018-11-07 00:00:00+00:00,0.00964933
2018-11-08 00:00:00+00:00,-0.00326340
2018-11-09 00:00:00+00:00,0.00023386
2018-11-12 00:00:00+00:00,-0.03436989
2018-11-13 00:00:00+00:00,0.01283293
2018-11-14 00:00:00+00:00,-0.00812814
2018-11-15 00:00:00+00:00,0.00241022
2018-11-16 00:00:00+00:00,-0.01033902
2018-11-19 00:00:00+00:00,-0.02259475
2018-11-20 00:00:00+00:00,-0.01565996
2018-11-21 00:00:00+00:00,0.01893939
2018-11-22 00:00:00+00:00,-0.01016109
2018-11-23 00:00:00+00:00,0.00851277
2018-11-26 00:00:00+00:00,0.01017875
2018-11-27 00:00:00+00:00,0.00516097
2018-11-28 00:00:00+00:00,0.00611247
2018-11-29 00:00:00+00:00,0.00826245
2018-11-30 00:00:00+00:00,-0.00530248
2018-12-03 00:00:00+00:00,0.02326145
2018-12-04 00:00:00+00:00,-0.01041913
2018-12-05 00:00:00+00:00,-0.02230113
2018-12-06 00:00:00+00:00,-0.02936858
2018-12-07 00:00:00+00:00,0.00680787
2018-12-10 00:00:00+00:00,-0.01076885
2018-12-11 00:00:00+00:00,-0.12607595
2018-12-17 00:00:00+00:00,-0.01311232
2018-12-18 00:00:00+00:00,0.00000000
2018-12-19 00:00:00+00:00,-0.00100276
2018-12-20 00:00:00+00:00,-0.02860728
2018-12-21 00:00:00+00:00,-0.01059158
2018-12-27 00:00:00+00:00,0.00000000
2018-12-28 00:00:00+00:00,0.01671018
2019-01-02 00:00:00+00:00,0.00102722
2019-01-03 00:00:00+00:00,-0.04053361
2019-01-04 00:00:00+00:00,0.02994652
2019-01-07 00:00:00+00:00,0.01298027
2019-01-08 00:00:00+00:00,0.01281394
2019-01-09 00:00:00+00:00,0.01973684
2019-01-10 00:00:00+00:00,-0.00421836
2019-01-11 00:00:00+00:00,-0.00299028
2019-01-14 00:00:00+00:00,-0.01399650
2019-01-15 00:00:00+00:00,0.00278834
2019-01-16 00:00:00+00:00,0.01390293
2019-01-17 00:00:00+00:00,0.00224383
2019-01-18 00:00:00+00:00,0.03184080
2019-01-21 00:00:00+00:00,-0.00506268
2019-01-22 00:00:00+00:00,-0.00969227
2019-01-23 00:00:00+00:00,0.00391485
2019-01-24 00:00:00+00:00,0.02607848
2019-01-25 00:00:00+00:00,0.01401425
2019-01-28 00:00:00+00:00,-0.01358632
2019-01-29 00:00:00+00:00,-0.00617431
2019-01-30 00:00:00+00:00,-0.00119474
2019-01-31 00:00:00+00:00,0.00789474
2019-02-01 00:00:00+00:00,-0.00332305
2019-02-04 00:00:00+00:00,0.00095261
2019-02-05 00:00:00+00:00,0.01403759
2019-02-06 00:00:00+00:00,0.01759737
2019-02-07 00:00:00+00:00,0.03412497
2019-02-08 00:00:00+00:00,-0.00047114
2019-02-11 00:00:00+00:00,0.01084139
2019-02-12 00:00:00+00:00,0.00233155
2019-02-13 00:00:00+00:00,0.01698069
2019-02-14 00:00:00+00:00,0.00480329
2019-02-15 00:00:00+00:00,0.00500797
2019-02-18 00:00:00+00:00,0.00045300
2019-02-19 00:00:00+00:00,-0.00498076
2019-02-20 00:00:00+00:00,0.00591581
2019-02-21 00:00:00+00:00,-0.00294051
2019-02-22 00:00:00+00:00,0.01293103
2019-02-25 00:00:00+00:00,0.00380739
2019-02-26 00:00:00+00:00,-0.00178492
2019-02-27 00:00:00+00:00,-0.01095217
2019-02-28 00:00:00+00:00,-0.00067797
2019-03-01 00:00:00+00:00,0.00836725
2019-03-04 00:00:00+00:00,0.00246692
2019-03-05 00:00:00+00:00,0.00129528
2019-03-06 00:00:00+00:00,-0.00625559
2019-03-07 00:00:00+00:00,0.01483813
2019-03-08 00:00:00+00:00,-0.00995700
2019-03-11 00:00:00+00:00,0.00545331
2019-03-12 00:00:00+00:00,-0.00226912
2019-03-13 00:00:00+00:00,0.00318399
2019-03-14 00:00:00+00:00,0.00634777
2019-03-15 00:00:00+00:00,0.02725839
2019-03-18 00:00:00+00:00,-0.01118421
2019-03-19 00:00:00+00:00,0.00665336
2019-03-20 00:00:00+00:00,-0.00154219
2019-03-21 00:00:00+00:00,0.00507502
2019-03-22 00:00:00+00:00,-0.01931943
2019-03-25 00:00:00+00:00,-0.00783524
2019-03-26 00:00:00+00:00,0.01308664
2019-03-27 00:00:00+00:00,-0.01180401
2019-03-28 00:00:00+00:00,0.00653595
2019-03-29 00:00:00+00:00,0.01567398
2019-04-01 00:00:00+00:00,0.01168430
2019-04-02 00:00:00+00:00,0.00566572
2019-04-03 00:00:00+00:00,0.01560130
2019-04-04 00:00:00+00:00,-0.00256027
2019-04-05 00:00:00+00:00,0.00085561
2019-04-08 00:00:00+00:00,-0.00021372
2019-04-09 00:00:00+00:00,-0.01111586
2019-04-10 00:00:00+00:00,0.00108085
2019-04-11 00:00:00+00:00,0.00043187
2019-04-12 00:00:00+00:00,0.00366933
2019-04-15 00:00:00+00:00,-0.00172043
2019-04-16 00:00:00+00:00,0.00495476
2019-04-17 00:00:00+00:00,0.00535906
2019-04-18 00:00:00+00:00,0.01002132
2019-04-23 00:00:00+00:00,0.00168883
2019-04-24 00:00:00+00:00,0.04025290
2019-04-25 00:00:00+00:00,-0.00364668
2019-04-26 00:00:00+00:00,-0.00467670
2019-04-29 00:00:00+00:00,0.00143003
2019-04-30 00:00:00+00:00,-0.00713994
2019-05-02 00:00:00+00:00,-0.00965687
2019-05-03 00:00:00+00:00,0.00041494
2019-05-06 00:00:00+00:00,-0.01182082
2019-05-07 00:00:00+00:00,-0.02035677
2019-05-08 00:00:00+00:00,0.01113967
2019-05-09 00:00:00+00:00,-0.02288136
2019-05-10 00:00:00+00:00,0.00650477
2019-05-13 00:00:00+00:00,-0.01723395
2019-05-14 00:00:00+00:00,-0.00701447
2019-05-15 00:00:00+00:00,0.03554084
2019-05-16 00:00:00+00:00,0.02472820
2019-05-17 00:00:00+00:00,-0.00087912
2019-05-20 00:00:00+00:00,-0.02769103
2019-05-21 00:00:00+00:00,0.01970021
2019-05-22 00:00:00+00:00,0.00881982
2019-05-23 00:00:00+00:00,0.04725229
2019-06-24 00:00:00+00:00,0.00000000
2019-06-25 00:00:00+00:00,0.01784197
2019-06-26 00:00:00+00:00,0.00208681
2019-06-27 00:00:00+00:00,-0.00020825
2019-06-28 00:00:00+00:00,0.01520517
2019-07-01 00:00:00+00:00,0.02031186
2019-07-02 00:00:00+00:00,0.00080434
2019-07-03 00:00:00+00:00,0.00743420
2019-07-04 00:00:00+00:00,-0.00179497
2019-07-05 00:00:00+00:00,-0.01478521
2019-07-08 00:00:00+00:00,0.00040560
2019-07-09 00:00:00+00:00,-0.00344618
2019-07-10 00:00:00+00:00,-0.00325468
2019-07-11 00:00:00+00:00,0.00244898
2019-07-12 00:00:00+00:00,-0.00183225
2019-07-15 00:00:00+00:00,0.00489496
2019-07-16 00:00:00+00:00,0.00040593
2019-07-17 00:00:00+00:00,-0.00142017
2019-07-18 00:00:00+00:00,-0.02864689
2019-07-19 00:00:00+00:00,0.01610542
2019-07-22 00:00:00+00:00,0.00349938
2019-07-23 00:00:00+00:00,-0.00020513
2019-07-24 00:00:00+00:00,0.06565449
2019-07-25 00:00:00+00:00,-0.04639969
2019-07-26 00:00:00+00:00,0.00847971
2019-07-29 00:00:00+00:00,-0.00180180
2019-07-30 00:00:00+00:00,-0.01724830
2019-07-31 00:00:00+00:00,-0.00142857
2019-08-01 00:00:00+00:00,0.01532802
2019-08-02 00:00:00+00:00,-0.03482287
2019-08-05 00:00:00+00:00,-0.02961418
2019-08-06 00:00:00+00:00,-0.00945626
2019-08-07 00:00:00+00:00,0.01106531
2019-08-08 00:00:00+00:00,0.01909871
2019-08-09 00:00:00+00:00,-0.01347652
2019-08-12 00:00:00+00:00,-0.00234792
2019-08-13 00:00:00+00:00,0.01048353
2019-08-14 00:00:00+00:00,-0.03493542
2019-08-15 00:00:00+00:00,-0.00109697
2019-08-16 00:00:00+00:00,0.01713156
2019-08-19 00:00:00+00:00,0.01360397
2019-08-20 00:00:00+00:00,-0.00575202
2019-08-21 00:00:00+00:00,0.01521320
2019-08-22 00:00:00+00:00,-0.01709582
2019-08-23 00:00:00+00:00,-0.00644192
2019-08-26 00:00:00+00:00,-0.00259347
2019-08-27 00:00:00+00:00,0.00476706
2019-08-28 00:00:00+00:00,-0.01121415
2019-08-29 00:00:00+00:00,0.01504907
2019-08-30 00:00:00+00:00,0.00837989
2019-09-02 00:00:00+00:00,-0.00724483
2019-09-03 00:00:00+00:00,0.00000000
2019-09-04 00:00:00+00:00,0.01197275
2019-09-05 00:00:00+00:00,0.02566278
2019-09-06 00:00:00+00:00,0.00041356
2019-09-09 00:00:00+00:00,-0.00268706
2019-09-10 00:00:00+00:00,0.00248705
2019-09-12 00:00:00+00:00,0.01972304
2019-09-13 00:00:00+00:00,-0.00061728
2019-09-16 00:00:00+00:00,-0.00823554
2019-09-17 00:00:00+00:00,0.00352917
2019-09-18 00:00:00+00:00,0.00641291
2019-09-19 00:00:00+00:00,0.00061665
2019-09-20 00:00:00+00:00,0.00225965
2019-09-23 00:00:00+00:00,-0.01742160
2019-09-24 00:00:00+00:00,0.00479766
2019-09-25 00:00:00+00:00,-0.01141789
2019-09-26 00:00:00+00:00,0.00629987
2019-09-27 00:00:00+00:00,0.00584307
2019-09-30 00:00:00+00:00,0.00020747
2019-10-01 00:00:00+00:00,-0.00933416
2019-10-02 00:00:00+00:00,-0.02952261
2019-10-03 00:00:00+00:00,0.00302050
2019-10-04 00:00:00+00:00,0.01075500
2019-10-07 00:00:00+00:00,0.00638434
2019-10-08 00:00:00+00:00,-0.00909283
2019-10-09 00:00:00+00:00,0.01002988
2019-10-10 00:00:00+00:00,0.01162054
2019-10-11 00:00:00+00:00,0.04344194
2019-10-14 00:00:00+00:00,-0.00880705
2019-10-15 00:00:00+00:00,0.01474152
2019-10-16 00:00:00+00:00,0.00039801
2019-10-17 00:00:00+00:00,-0.00656455
2019-10-18 00:00:00+00:00,-0.00921105
2019-10-21 00:00:00+00:00,0.01637025
2019-10-22 00:00:00+00:00,-0.00616425
2019-10-23 00:00:00+00:00,-0.00460184
2019-10-24 00:00:00+00:00,0.00040201
2019-10-25 00:00:00+00:00,-0.00060277
2019-10-28 00:00:00+00:00,0.00723764
2019-10-29 00:00:00+00:00,-0.00998004
2019-10-30 00:00:00+00:00,0.00100806
2019-10-31 00:00:00+00:00,-0.00080564
2019-11-01 00:00:00+00:00,0.00665188
2019-11-04 00:00:00+00:00,0.01441730
2019-11-05 00:00:00+00:00,0.00059218
2019-11-06 00:00:00+00:00,0.00374827
2019-11-07 00:00:00+00:00,0.00943396
2019-11-08 00:00:00+00:00,-0.00019470
2019-11-11 00:00:00+00:00,0.00214216
2019-11-12 00:00:00+00:00,0.00544112
2019-11-13 00:00:00+00:00,-0.00405876
2019-11-14 00:00:00+00:00,-0.00271686
2019-11-15 00:00:00+00:00,0.01478887
2019-11-18 00:00:00+00:00,-0.00747843
