Date,JGB
2002-06-05 00:00:00+00:00,-0.00043516
2002-06-06 00:00:00+00:00,0.00094326
2002-06-07 00:00:00+00:00,0.00224719
2002-06-10 00:00:00+00:00,0.00065095
2002-06-11 00:00:00+00:00,-0.00043368
2002-06-12 00:00:00+00:00,-0.00065081
2002-06-13 00:00:00+00:00,0.00043415
2002-06-14 00:00:00+00:00,0.00115724
2002-06-17 00:00:00+00:00,-0.00014449
2002-06-18 00:00:00+00:00,0.00086705
2002-06-19 00:00:00+00:00,-0.00151603
2002-06-20 00:00:00+00:00,0.00137373
2002-06-21 00:00:00+00:00,0.00245487
2002-06-24 00:00:00+00:00,-0.00021608
2002-06-25 00:00:00+00:00,0.00057633
2002-06-26 00:00:00+00:00,0.00129599
2002-06-27 00:00:00+00:00,-0.00186956
2002-06-28 00:00:00+00:00,0.00180102
2002-07-01 00:00:00+00:00,-0.00294837
2002-07-02 00:00:00+00:00,0.00086549
2002-07-03 00:00:00+00:00,0.00000000
2002-07-04 00:00:00+00:00,0.00144123
2002-07-05 00:00:00+00:00,0.00043175
2002-07-08 00:00:00+00:00,0.00000000
2002-07-09 00:00:00+00:00,-0.00021578
2002-07-10 00:00:00+00:00,0.00194245
2002-07-11 00:00:00+00:00,0.00078983
2002-07-12 00:00:00+00:00,-0.00057397
2002-07-15 00:00:00+00:00,0.00186648
2002-07-16 00:00:00+00:00,0.00000000
2002-07-17 00:00:00+00:00,0.00050158
2002-07-18 00:00:00+00:00,0.00007162
2002-07-19 00:00:00+00:00,-0.00007161
2002-07-22 00:00:00+00:00,-0.00035809
2002-07-23 00:00:00+00:00,-0.00236424
2002-07-24 00:00:00+00:00,-0.00107720
2002-07-25 00:00:00+00:00,0.00043134
2002-07-26 00:00:00+00:00,-0.00114976
2002-07-29 00:00:00+00:00,-0.00107914
2002-07-30 00:00:00+00:00,0.00100828
2002-07-31 00:00:00+00:00,0.00259011
2002-08-01 00:00:00+00:00,0.00007176
2002-08-02 00:00:00+00:00,0.00172216
2002-08-05 00:00:00+00:00,0.00236390
2002-08-06 00:00:00+00:00,-0.00092904
2002-08-07 00:00:00+00:00,0.00143062
2002-08-08 00:00:00+00:00,-0.00028571
