Date,US-PROPERTY
2016-09-14 00:00:00+00:00,0.00198610
2016-09-15 00:00:00+00:00,0.00991080
2016-09-16 00:00:00+00:00,-0.00394477
2016-09-19 00:00:00+00:00,0.02766798
2016-09-20 00:00:00+00:00,-0.00422352
2016-09-21 00:00:00+00:00,0.02474764
2016-09-22 00:00:00+00:00,0.03409456
2016-09-23 00:00:00+00:00,0.00632511
2016-09-26 00:00:00+00:00,0.00441362
2016-09-27 00:00:00+00:00,-0.01195344
2016-09-28 00:00:00+00:00,0.01518987
2016-09-29 00:00:00+00:00,-0.02512563
2016-09-30 00:00:00+00:00,-0.01272265
2016-10-03 00:00:00+00:00,-0.03713188
2016-10-04 00:00:00+00:00,-0.03131115
2016-10-05 00:00:00+00:00,-0.03843605
2016-10-06 00:00:00+00:00,0.00472973
2016-10-07 00:00:00+00:00,-0.00606673
2016-10-10 00:00:00+00:00,0.01284652
2016-10-11 00:00:00+00:00,-0.01881088
2016-10-12 00:00:00+00:00,0.02712784
2016-10-13 00:00:00+00:00,0.01003680
2016-10-14 00:00:00+00:00,-0.00599201
2016-10-17 00:00:00+00:00,0.00166945
2016-10-18 00:00:00+00:00,0.01201201
2016-10-19 00:00:00+00:00,0.00663350
2016-10-20 00:00:00+00:00,-0.00793388
2016-10-21 00:00:00+00:00,-0.00066379
2016-10-24 00:00:00+00:00,0.00398406
2016-10-25 00:00:00+00:00,-0.00463883
2016-10-26 00:00:00+00:00,-0.02524078
2016-10-27 00:00:00+00:00,-0.04843592
2016-10-28 00:00:00+00:00,0.00482592
2016-10-31 00:00:00+00:00,0.02819807
2016-11-01 00:00:00+00:00,-0.04204815
2016-11-02 00:00:00+00:00,-0.02771043
2016-11-03 00:00:00+00:00,-0.01123990
2016-11-04 00:00:00+00:00,0.01695514
2016-11-07 00:00:00+00:00,0.03572680
2016-11-08 00:00:00+00:00,0.01238816
2016-11-09 00:00:00+00:00,-0.04651163
2016-11-10 00:00:00+00:00,-0.03291317
2016-11-11 00:00:00+00:00,0.00320399
2016-11-14 00:00:00+00:00,0.04052613
2016-11-15 00:00:00+00:00,-0.01114983
2016-11-16 00:00:00+00:00,-0.00280308
2016-11-17 00:00:00+00:00,-0.02035088
2016-11-18 00:00:00+00:00,0.00283587
2016-11-21 00:00:00+00:00,-0.00283186
2016-11-22 00:00:00+00:00,0.03403049
2016-11-23 00:00:00+00:00,-0.01463925
2016-11-25 00:00:00+00:00,0.00912921
2016-11-28 00:00:00+00:00,0.00629151
2016-11-29 00:00:00+00:00,0.01393728
2016-11-30 00:00:00+00:00,-0.02283737
2016-12-01 00:00:00+00:00,-0.03220161
2016-12-02 00:00:00+00:00,0.02205621
2016-12-05 00:00:00+00:00,0.01548205
2016-12-06 00:00:00+00:00,0.00627552
2016-12-07 00:00:00+00:00,0.04316046
2016-12-08 00:00:00+00:00,0.01022147
2016-12-09 00:00:00+00:00,-0.00135593
2016-12-12 00:00:00+00:00,0.01968103
2016-12-13 00:00:00+00:00,-0.00168011
2016-12-14 00:00:00+00:00,-0.01851229
2016-12-15 00:00:00+00:00,-0.00685871
2016-12-16 00:00:00+00:00,0.01312155
2016-12-19 00:00:00+00:00,0.01022495
2016-12-20 00:00:00+00:00,0.00033738
2016-12-21 00:00:00+00:00,-0.01281619
2016-12-22 00:00:00+00:00,-0.00170823
2016-12-23 00:00:00+00:00,0.00068446
2016-12-27 00:00:00+00:00,0.00170999
2016-12-28 00:00:00+00:00,-0.00785251
2016-12-29 00:00:00+00:00,0.00997935
2016-12-30 00:00:00+00:00,0.00783646
2017-01-03 00:00:00+00:00,0.00439486
2017-01-04 00:00:00+00:00,0.01312689
2017-01-05 00:00:00+00:00,0.00564784
2017-01-06 00:00:00+00:00,-0.00066072
2017-01-09 00:00:00+00:00,-0.00628099
2017-01-10 00:00:00+00:00,-0.01297405
2017-01-11 00:00:00+00:00,-0.00505561
2017-01-12 00:00:00+00:00,0.00338753
2017-01-13 00:00:00+00:00,-0.00168805
2017-01-17 00:00:00+00:00,0.00811633
2017-01-18 00:00:00+00:00,0.00167729
2017-01-19 00:00:00+00:00,-0.00937709
2017-01-20 00:00:00+00:00,0.00608519
2017-01-23 00:00:00+00:00,0.00705645
2017-01-24 00:00:00+00:00,-0.00033367
2017-01-25 00:00:00+00:00,-0.00667557
