Date,TWD-mini
2022-09-23 00:00:00+00:00,-0.00607489
2022-09-24 00:00:00+00:00,-0.00325832
2022-09-26 00:00:00+00:00,-0.01567117
2022-09-27 00:00:00+00:00,0.01360181
2022-09-28 00:00:00+00:00,-0.01084983
2022-09-29 00:00:00+00:00,-0.00616236
2022-09-30 00:00:00+00:00,0.01460528
2022-10-01 00:00:00+00:00,-0.00484256
2022-10-03 00:00:00+00:00,-0.01027490
2022-10-04 00:00:00+00:00,0.00532660
2022-10-05 00:00:00+00:00,0.01988675
2022-10-07 00:00:00+00:00,-0.00292939
2022-10-10 00:00:00+00:00,-0.00515394
2022-10-11 00:00:00+00:00,-0.00009563
2022-10-12 00:00:00+00:00,-0.00547526
2022-10-13 00:00:00+00:00,-0.00328131
2022-10-14 00:00:00+00:00,-0.00137893
2022-10-17 00:00:00+00:00,-0.00904497
2022-10-18 00:00:00+00:00,0.00373440
2022-10-19 00:00:00+00:00,-0.00554580
2022-10-20 00:00:00+00:00,0.00021008
2022-10-21 00:00:00+00:00,-0.00363768
2022-10-22 00:00:00+00:00,0.00214352
2022-10-24 00:00:00+00:00,-0.01103712
2022-10-25 00:00:00+00:00,-0.00204782
2022-10-26 00:00:00+00:00,0.00797075
2022-10-27 00:00:00+00:00,0.00758483
2022-10-31 00:00:00+00:00,-0.01284436
2022-11-01 00:00:00+00:00,0.00310936
2022-11-02 00:00:00+00:00,0.00052794
2022-11-03 00:00:00+00:00,-0.00204226
2022-11-04 00:00:00+00:00,-0.00011439
2022-11-07 00:00:00+00:00,0.01469167
2022-11-08 00:00:00+00:00,0.00468178
2022-11-09 00:00:00+00:00,0.00656902
2022-11-10 00:00:00+00:00,0.00304600
2022-11-11 00:00:00+00:00,0.00902594
2022-11-14 00:00:00+00:00,0.06423875
2022-11-15 00:00:00+00:00,-0.00410299
2022-11-16 00:00:00+00:00,-0.00657911
2022-11-17 00:00:00+00:00,-0.00259516
2022-11-18 00:00:00+00:00,0.00205518
2022-11-19 00:00:00+00:00,-0.00228658
2022-11-21 00:00:00+00:00,-0.01626117
2022-11-22 00:00:00+00:00,-0.00384995
2022-11-23 00:00:00+00:00,0.00547717
2022-11-24 00:00:00+00:00,0.02040254
2022-11-25 00:00:00+00:00,0.01188410
2022-11-28 00:00:00+00:00,-0.02156180
2022-11-29 00:00:00+00:00,0.01316622
2022-11-30 00:00:00+00:00,0.00875813
2022-12-01 00:00:00+00:00,0.00655689
2022-12-02 00:00:00+00:00,0.00018148
2022-12-05 00:00:00+00:00,0.01977172
2022-12-06 00:00:00+00:00,-0.00796220
2022-12-07 00:00:00+00:00,-0.00103133
2022-12-08 00:00:00+00:00,-0.00072707
2022-12-12 00:00:00+00:00,-0.01077363
2022-12-13 00:00:00+00:00,-0.00012107
2022-12-14 00:00:00+00:00,0.00597129
2022-12-15 00:00:00+00:00,-0.00678081
2022-12-16 00:00:00+00:00,-0.01078670
2022-12-19 00:00:00+00:00,0.00049282
2022-12-20 00:00:00+00:00,0.00232846
2022-12-21 00:00:00+00:00,0.00110295
2022-12-22 00:00:00+00:00,0.00018528
2022-12-23 00:00:00+00:00,-0.00195193
2022-12-26 00:00:00+00:00,-0.00501338
2022-12-27 00:00:00+00:00,0.00202616
2022-12-28 00:00:00+00:00,-0.00747001
2022-12-29 00:00:00+00:00,-0.00135025
2022-12-30 00:00:00+00:00,-0.00043007
2023-01-03 00:00:00+00:00,0.00571389
2023-01-04 00:00:00+00:00,0.00079281
