Date,EUROSTX
2014-09-10 00:00:00+00:00,0.00926212
2014-09-11 00:00:00+00:00,-0.00768285
2014-09-12 00:00:00+00:00,-0.00617093
2014-09-15 00:00:00+00:00,-0.00340347
2014-09-16 00:00:00+00:00,0.00217324
2014-09-17 00:00:00+00:00,0.00744417
2014-09-18 00:00:00+00:00,0.00959752
2014-09-19 00:00:00+00:00,0.00184502
2014-09-22 00:00:00+00:00,-0.01076261
2014-09-23 00:00:00+00:00,-0.02656781
2014-09-24 00:00:00+00:00,0.02908977
2014-09-25 00:00:00+00:00,-0.03333333
2014-09-26 00:00:00+00:00,0.02541575
2014-09-29 00:00:00+00:00,-0.02850945
2014-09-30 00:00:00+00:00,0.01634706
2014-10-01 00:00:00+00:00,-0.02276271
2014-10-02 00:00:00+00:00,-0.03720050
2014-10-03 00:00:00+00:00,0.01928021
2014-10-06 00:00:00+00:00,-0.01353072
2014-10-07 00:00:00+00:00,-0.04729838
2014-10-08 00:00:00+00:00,0.02166776
2014-10-09 00:00:00+00:00,-0.04800519
2014-10-10 00:00:00+00:00,-0.01764314
2014-10-13 00:00:00+00:00,-0.01342732
2014-10-14 00:00:00+00:00,0.01485984
2014-10-15 00:00:00+00:00,-0.05628141
2014-10-16 00:00:00+00:00,-0.03705619
2014-10-17 00:00:00+00:00,0.06377687
2014-10-20 00:00:00+00:00,-0.00136519
2014-10-21 00:00:00+00:00,0.04433834
2014-10-22 00:00:00+00:00,-0.01801802
2014-10-23 00:00:00+00:00,0.04248146
2014-10-24 00:00:00+00:00,-0.00264375
2014-10-27 00:00:00+00:00,-0.02077836
2014-10-28 00:00:00+00:00,0.02867623
2014-10-29 00:00:00+00:00,-0.01709402
2014-10-30 00:00:00+00:00,0.01493528
2014-10-31 00:00:00+00:00,0.04907773
2014-11-03 00:00:00+00:00,-0.02122869
2014-11-04 00:00:00+00:00,-0.02274943
2014-11-05 00:00:00+00:00,0.02465483
2014-11-06 00:00:00+00:00,0.01396557
2014-11-07 00:00:00+00:00,-0.02965828
2014-11-10 00:00:00+00:00,0.01996073
2014-11-11 00:00:00+00:00,0.00421257
2014-11-12 00:00:00+00:00,-0.02521008
2014-11-13 00:00:00+00:00,0.00000000
2014-11-14 00:00:00+00:00,-0.00327439
2014-11-17 00:00:00+00:00,0.02198163
2014-11-18 00:00:00+00:00,0.02727273
2014-11-19 00:00:00+00:00,-0.00192184
2014-11-20 00:00:00+00:00,-0.01506410
2014-11-21 00:00:00+00:00,0.05686591
2014-11-24 00:00:00+00:00,0.01946625
2014-11-25 00:00:00+00:00,0.00870647
2014-11-26 00:00:00+00:00,-0.00000000
2014-11-27 00:00:00+00:00,0.00712074
2014-11-28 00:00:00+00:00,0.00092593
2014-12-01 00:00:00+00:00,-0.00648148
