Date,FTSECHINAH
2021-07-07 00:00:00+00:00,-0.00354488
2021-07-08 00:00:00+00:00,-0.03530754
2021-07-09 00:00:00+00:00,0.01158357
2021-07-10 00:00:00+00:00,0.01223174
2021-07-12 00:00:00+00:00,-0.05258568
2021-07-13 00:00:00+00:00,0.01133210
2021-07-14 00:00:00+00:00,-0.00012884
2021-07-15 00:00:00+00:00,0.01248752
2021-07-16 00:00:00+00:00,0.00251603
2021-07-20 00:00:00+00:00,-0.03502966
2021-07-21 00:00:00+00:00,0.16809642
2021-07-22 00:00:00+00:00,-0.13321586
2021-07-23 00:00:00+00:00,-0.00642650
2021-07-24 00:00:00+00:00,-0.02211826
2021-07-26 00:00:00+00:00,-0.04125475
2021-07-27 00:00:00+00:00,-0.06785413
2021-07-28 00:00:00+00:00,0.03032851
2021-07-29 00:00:00+00:00,0.05284192
2021-07-30 00:00:00+00:00,-0.02291453
2021-07-31 00:00:00+00:00,0.00795517
2021-08-02 00:00:00+00:00,0.00470716
2021-08-03 00:00:00+00:00,-0.00455000
2021-08-04 00:00:00+00:00,0.01412209
2021-08-05 00:00:00+00:00,-0.01215330
2021-08-06 00:00:00+00:00,-0.00248932
2021-08-07 00:00:00+00:00,-0.00776087
2021-08-09 00:00:00+00:00,0.01452169
2021-08-10 00:00:00+00:00,0.02174655
2021-08-11 00:00:00+00:00,0.00282763
2021-08-12 00:00:00+00:00,-0.00779293
2021-08-13 00:00:00+00:00,-0.00744799
2021-08-14 00:00:00+00:00,-0.00382087
2021-08-16 00:00:00+00:00,-0.00944992
2021-08-17 00:00:00+00:00,-0.02764928
2021-08-18 00:00:00+00:00,0.00881264
2021-08-19 00:00:00+00:00,-0.02381771
2021-08-20 00:00:00+00:00,-0.02281077
2021-08-21 00:00:00+00:00,0.01373763
2021-08-23 00:00:00+00:00,0.00218453
2021-08-24 00:00:00+00:00,-0.05569450
2021-08-25 00:00:00+00:00,0.00433702
2021-08-26 00:00:00+00:00,-0.01479768
2021-08-27 00:00:00+00:00,0.00495744
2021-08-28 00:00:00+00:00,0.00084443
2021-08-30 00:00:00+00:00,0.00422467
