Date,GILT
2000-07-18 00:00:00+00:00,0.00265393
2000-07-19 00:00:00+00:00,0.00494743
2000-07-20 00:00:00+00:00,0.00255574
2000-07-21 00:00:00+00:00,0.00704101
2000-07-24 00:00:00+00:00,-0.00131556
2000-07-25 00:00:00+00:00,0.00157964
2000-07-26 00:00:00+00:00,0.00263066
2000-07-27 00:00:00+00:00,-0.00122603
2000-07-28 00:00:00+00:00,-0.01296880
2000-07-31 00:00:00+00:00,0.00000000
2000-08-01 00:00:00+00:00,0.00370436
2000-08-02 00:00:00+00:00,-0.00352113
2000-08-03 00:00:00+00:00,0.00070547
2000-08-04 00:00:00+00:00,-0.00352609
2000-08-07 00:00:00+00:00,0.00203108
2000-08-08 00:00:00+00:00,0.00158758
2000-08-09 00:00:00+00:00,-0.00105764
2000-08-10 00:00:00+00:00,-0.00185169
2000-08-11 00:00:00+00:00,0.00714916
2000-08-14 00:00:00+00:00,-0.00844327
2000-08-15 00:00:00+00:00,-0.00618211
2000-08-16 00:00:00+00:00,0.00008859
2000-08-17 00:00:00+00:00,-0.00256910
2000-08-18 00:00:00+00:00,0.00283864
2000-08-21 00:00:00+00:00,-0.00646647
2000-08-22 00:00:00+00:00,0.00062206
2000-08-23 00:00:00+00:00,0.00364250
2000-08-24 00:00:00+00:00,0.00576394
2000-08-25 00:00:00+00:00,-0.00212220
2000-08-29 00:00:00+00:00,-0.00796601
2000-08-30 00:00:00+00:00,-0.00124400
2000-08-31 00:00:00+00:00,-0.00062239
2000-09-01 00:00:00+00:00,0.01351832
2000-09-04 00:00:00+00:00,-0.00061837
2000-09-05 00:00:00+00:00,-0.00424178
2000-09-06 00:00:00+00:00,-0.00115116
2000-09-07 00:00:00+00:00,0.00318923
2000-09-08 00:00:00+00:00,-0.00849107
2000-09-11 00:00:00+00:00,-0.00079943
2000-09-12 00:00:00+00:00,-0.00950858
2000-09-13 00:00:00+00:00,0.00000000
2000-09-14 00:00:00+00:00,0.00839286
2000-09-15 00:00:00+00:00,-0.00497911
2000-09-18 00:00:00+00:00,-0.00160442
2000-09-19 00:00:00+00:00,0.00437060
2000-09-20 00:00:00+00:00,-0.00133511
2000-09-21 00:00:00+00:00,0.00463128
2000-09-22 00:00:00+00:00,0.00639716
2000-09-25 00:00:00+00:00,-0.00761669
2000-09-26 00:00:00+00:00,-0.00266738
2000-09-27 00:00:00+00:00,0.00142641
2000-09-28 00:00:00+00:00,-0.00106904
2000-09-29 00:00:00+00:00,0.01476343
2000-10-02 00:00:00+00:00,0.00000000
2000-10-03 00:00:00+00:00,-0.00141255
2000-10-04 00:00:00+00:00,-0.00159025
2000-10-05 00:00:00+00:00,-0.00035367
2000-10-06 00:00:00+00:00,0.00229926
2000-10-09 00:00:00+00:00,0.01219081
2000-10-10 00:00:00+00:00,-0.00087796
2000-10-11 00:00:00+00:00,0.00404040
2000-10-12 00:00:00+00:00,0.00280505
2000-10-13 00:00:00+00:00,-0.00245098
2000-10-16 00:00:00+00:00,-0.00035057
2000-10-17 00:00:00+00:00,-0.00245442
2000-10-18 00:00:00+00:00,0.00280850
2000-10-19 00:00:00+00:00,-0.00315513
2000-10-20 00:00:00+00:00,-0.00035112
2000-10-23 00:00:00+00:00,-0.00158033
2000-10-24 00:00:00+00:00,-0.00070305
2000-10-25 00:00:00+00:00,-0.00149451
2000-10-26 00:00:00+00:00,-0.00043991
2000-10-27 00:00:00+00:00,-0.00571982
2000-10-30 00:00:00+00:00,0.00282386
2000-10-31 00:00:00+00:00,0.00246740
2000-11-01 00:00:00+00:00,-0.00052808
2000-11-02 00:00:00+00:00,0.00167268
2000-11-03 00:00:00+00:00,0.00105550
2000-11-06 00:00:00+00:00,-0.00061533
2000-11-07 00:00:00+00:00,-0.00378122
2000-11-08 00:00:00+00:00,-0.00052859
2000-11-09 00:00:00+00:00,0.00264340
2000-11-10 00:00:00+00:00,0.00316762
2000-11-13 00:00:00+00:00,0.00492005
2000-11-14 00:00:00+00:00,-0.00280456
2000-11-15 00:00:00+00:00,0.00175531
2000-11-16 00:00:00+00:00,0.00517317
2000-11-17 00:00:00+00:00,-0.00279867
2000-11-20 00:00:00+00:00,-0.00017516
2000-11-21 00:00:00+00:00,0.00297802
2000-11-22 00:00:00+00:00,0.01355488
2000-11-23 00:00:00+00:00,0.00573315
2000-11-24 00:00:00+00:00,-0.00138588
2000-11-27 00:00:00+00:00,0.00606796
2000-11-28 00:00:00+00:00,0.00095073
2000-11-29 00:00:00+00:00,-0.00371490
2000-11-30 00:00:00+00:00,0.00501947
2000-12-01 00:00:00+00:00,0.00146741
2000-12-04 00:00:00+00:00,0.00327756
2000-12-05 00:00:00+00:00,-0.00232498
2000-12-06 00:00:00+00:00,0.00094836
2000-12-07 00:00:00+00:00,-0.00215424
2000-12-08 00:00:00+00:00,-0.00681504
