Date,SPI200
2022-08-29 00:00:00+00:00,-0.01120046
2022-09-05 00:00:00+00:00,-0.00711589
2022-09-07 00:00:00+00:00,-0.01448004
2022-09-08 00:00:00+00:00,0.01706738
2022-09-09 00:00:00+00:00,0.00525317
2022-09-10 00:00:00+00:00,0.01190303
2022-09-12 00:00:00+00:00,-0.00143451
2022-09-13 00:00:00+00:00,0.00761385
2022-09-14 00:00:00+00:00,-0.02523524
2022-09-15 00:00:00+00:00,0.00102384
2022-09-16 00:00:00+00:00,-0.01534191
2022-09-17 00:00:00+00:00,-0.00029678
2022-09-19 00:00:00+00:00,-0.00237494
2022-09-20 00:00:00+00:00,0.01383723
2022-09-21 00:00:00+00:00,-0.01805107
2022-09-22 00:00:00+00:00,-0.00792109
2022-09-23 00:00:00+00:00,-0.01175053
2022-09-24 00:00:00+00:00,-0.01250000
2022-09-26 00:00:00+00:00,-0.00185242
2022-09-27 00:00:00+00:00,0.00603155
2022-09-28 00:00:00+00:00,-0.00722521
2022-09-29 00:00:00+00:00,0.01362651
2022-09-30 00:00:00+00:00,-0.01237397
2022-10-01 00:00:00+00:00,0.00092807
2022-10-03 00:00:00+00:00,-0.00293618
2022-10-04 00:00:00+00:00,0.03766274
2022-10-05 00:00:00+00:00,0.01553398
2022-10-06 00:00:00+00:00,0.00308869
2022-10-07 00:00:00+00:00,-0.00835777
2022-10-08 00:00:00+00:00,-0.00887180
2022-10-10 00:00:00+00:00,-0.00477398
2022-10-11 00:00:00+00:00,-0.00404737
2022-10-12 00:00:00+00:00,0.00030102
2022-10-13 00:00:00+00:00,-0.00180560
2022-10-14 00:00:00+00:00,0.01914380
2022-10-15 00:00:00+00:00,-0.01493862
2022-10-17 00:00:00+00:00,0.00030030
2022-10-18 00:00:00+00:00,0.01801261
2022-10-19 00:00:00+00:00,0.00147449
2022-10-20 00:00:00+00:00,-0.00986455
2022-10-21 00:00:00+00:00,-0.00847584
2022-10-22 00:00:00+00:00,0.01439712
2022-10-24 00:00:00+00:00,0.00073921
2022-10-25 00:00:00+00:00,0.00325011
2022-10-26 00:00:00+00:00,0.00103078
2022-10-27 00:00:00+00:00,0.00603119
2022-10-28 00:00:00+00:00,-0.00935809
2022-10-29 00:00:00+00:00,0.01372694
2022-10-31 00:00:00+00:00,0.01092021
2022-11-01 00:00:00+00:00,0.01691949
2022-11-02 00:00:00+00:00,0.00229489
2022-11-03 00:00:00+00:00,-0.01888952
2022-11-04 00:00:00+00:00,0.00408401
2022-11-05 00:00:00+00:00,0.01336432
2022-11-07 00:00:00+00:00,0.00573394
2022-11-08 00:00:00+00:00,0.00282651
2022-11-09 00:00:00+00:00,0.00589419
2022-11-10 00:00:00+00:00,-0.00557382
2022-11-11 00:00:00+00:00,0.02931877
2022-11-12 00:00:00+00:00,0.00586428
2022-11-14 00:00:00+00:00,0.02165464
2022-11-21 00:00:00+00:00,-0.00685506
