Date,EUROSTX-SMALL
2013-08-29 00:00:00+00:00,0.01667989
2013-08-30 00:00:00+00:00,-0.01775082
2013-09-02 00:00:00+00:00,0.02617583
2013-09-03 00:00:00+00:00,-0.00335567
2013-09-04 00:00:00+00:00,0.00105151
2013-09-05 00:00:00+00:00,0.01538380
2013-09-06 00:00:00+00:00,0.00760708
2013-09-09 00:00:00+00:00,0.00430797
2013-09-10 00:00:00+00:00,0.03039977
2013-09-11 00:00:00+00:00,0.00637572
2013-09-12 00:00:00+00:00,0.00048227
2013-09-13 00:00:00+00:00,-0.00053411
2013-09-16 00:00:00+00:00,0.01757693
2013-09-17 00:00:00+00:00,-0.00428408
2013-09-18 00:00:00+00:00,0.00047894
2013-09-19 00:00:00+00:00,0.01324826
2013-09-20 00:00:00+00:00,0.00100232
2013-09-23 00:00:00+00:00,-0.01900891
2013-09-24 00:00:00+00:00,0.00312795
2013-09-25 00:00:00+00:00,0.00312136
2013-09-26 00:00:00+00:00,-0.00427501
2013-09-27 00:00:00+00:00,-0.00322617
2013-09-30 00:00:00+00:00,-0.01171014
2013-10-01 00:00:00+00:00,0.02234816
2013-10-02 00:00:00+00:00,0.00205793
2013-10-03 00:00:00+00:00,0.00310938
2013-10-04 00:00:00+00:00,0.01678147
2013-10-07 00:00:00+00:00,-0.00318188
2013-10-08 00:00:00+00:00,0.00308225
2013-10-09 00:00:00+00:00,-0.00735534
2013-10-10 00:00:00+00:00,0.02507841
2013-10-11 00:00:00+00:00,0.00615186
2013-10-14 00:00:00+00:00,0.00097803
2013-10-15 00:00:00+00:00,0.01746208
2013-10-16 00:00:00+00:00,0.00505358
2013-10-17 00:00:00+00:00,-0.00412773
2013-10-18 00:00:00+00:00,0.01832488
2013-10-21 00:00:00+00:00,0.01613401
2013-10-22 00:00:00+00:00,0.00396192
2013-10-23 00:00:00+00:00,-0.02408804
2013-10-24 00:00:00+00:00,0.01008486
2013-10-25 00:00:00+00:00,-0.01013771
2013-10-28 00:00:00+00:00,-0.00309325
2013-10-29 00:00:00+00:00,0.01111525
2013-10-30 00:00:00+00:00,-0.00207131
2013-10-31 00:00:00+00:00,0.00601161
2013-11-01 00:00:00+00:00,-0.00206724
2013-11-04 00:00:00+00:00,0.00751189
2013-11-05 00:00:00+00:00,-0.00909763
