Date,KRWUSD
2021-03-09 00:00:00+00:00,
2021-03-10 00:00:00+00:00,-0.01000341
2021-03-11 00:00:00+00:00,0.02090367
2021-03-12 00:00:00+00:00,-0.00994883
2021-03-15 00:00:00+00:00,0.00522539
2021-03-16 00:00:00+00:00,0.00566522
2021-03-17 00:00:00+00:00,-0.00022649
2021-03-18 00:00:00+00:00,0.01017022
2021-03-19 00:00:00+00:00,-0.00944485
2021-03-22 00:00:00+00:00,0.00372769
2021-03-23 00:00:00+00:00,-0.00360890
2021-03-24 00:00:00+00:00,-0.00338924
2021-03-25 00:00:00+00:00,-0.00554480
2021-03-26 00:00:00+00:00,0.00510554
2021-03-29 00:00:00+00:00,-0.00135850
2021-03-30 00:00:00+00:00,-0.00328490
2021-03-31 00:00:00+00:00,0.00930063
2021-04-01 00:00:00+00:00,-0.00372637
2021-04-02 00:00:00+00:00,0.00441120
2021-04-05 00:00:00+00:00,0.00112811
2021-04-06 00:00:00+00:00,0.01229499
2021-04-07 00:00:00+00:00,0.00347531
2021-04-08 00:00:00+00:00,0.00044651
2021-04-09 00:00:00+00:00,-0.00480376
2021-04-12 00:00:00+00:00,-0.00828717
2021-04-13 00:00:00+00:00,-0.00011300
2021-04-14 00:00:00+00:00,0.01641685
2021-04-15 00:00:00+00:00,-0.00089268
2021-04-16 00:00:00+00:00,0.00267747
2021-04-19 00:00:00+00:00,0.00022231
2021-04-20 00:00:00+00:00,-0.00000069
2021-04-21 00:00:00+00:00,-0.00980565
2021-04-22 00:00:00+00:00,0.00436626
2021-04-23 00:00:00+00:00,-0.00011227
2021-04-26 00:00:00+00:00,0.01094930
2021-04-27 00:00:00+00:00,-0.00000042
2021-04-28 00:00:00+00:00,-0.00533443
2021-04-29 00:00:00+00:00,0.01181022
2021-04-30 00:00:00+00:00,-0.01129854
2021-05-03 00:00:00+00:00,-0.01604141
2021-05-04 00:00:00+00:00,-0.00224635
2021-05-05 00:00:00+00:00,-0.00101230
2021-05-06 00:00:00+00:00,0.00326131
2021-05-07 00:00:00+00:00,0.00258240
2021-05-10 00:00:00+00:00,0.01299255
2021-05-11 00:00:00+00:00,-0.00934829
2021-05-12 00:00:00+00:00,-0.01341723
2021-05-13 00:00:00+00:00,-0.01384548
2021-05-14 00:00:00+00:00,0.00759437
2021-05-17 00:00:00+00:00,-0.01467959
2021-05-18 00:00:00+00:00,0.01637997
2021-05-19 00:00:00+00:00,-0.00349810
2021-05-20 00:00:00+00:00,-0.00192178
2021-05-21 00:00:00+00:00,0.01052260
2021-05-24 00:00:00+00:00,-0.00022538
2021-05-25 00:00:00+00:00,0.00664074
2021-05-26 00:00:00+00:00,0.00931092
2021-05-27 00:00:00+00:00,0.00122809
2021-05-28 00:00:00+00:00,0.00234313
2021-05-31 00:00:00+00:00,0.01058932
2021-06-01 00:00:00+00:00,-0.00000042
2021-06-02 00:00:00+00:00,-0.00842721
2021-06-03 00:00:00+00:00,-0.00167075
2021-06-04 00:00:00+00:00,-0.00378970
2021-06-07 00:00:00+00:00,0.01015987
2021-06-08 00:00:00+00:00,-0.00799870
2021-06-09 00:00:00+00:00,0.00122616
2021-06-10 00:00:00+00:00,-0.00256280
2021-06-11 00:00:00+00:00,0.00423734
2021-06-14 00:00:00+00:00,-0.01001728
2021-06-15 00:00:00+00:00,0.00078230
2021-06-16 00:00:00+00:00,-0.00078407
2021-06-17 00:00:00+00:00,-0.02863640
2021-06-18 00:00:00+00:00,0.00692124
2021-06-21 00:00:00+00:00,-0.00316784
2021-06-22 00:00:00+00:00,-0.00396585
2021-06-23 00:00:00+00:00,-0.00181740
2021-06-24 00:00:00+00:00,0.00738321
2021-06-25 00:00:00+00:00,0.00746882
2021-06-28 00:00:00+00:00,-0.00676732
2021-06-29 00:00:00+00:00,-0.00226437
2021-06-30 00:00:00+00:00,0.00758821
2021-07-01 00:00:00+00:00,-0.00711034
2021-07-02 00:00:00+00:00,-0.00532418
2021-07-05 00:00:00+00:00,0.00885517
2021-07-06 00:00:00+00:00,-0.00610579
2021-07-07 00:00:00+00:00,-0.00340322
2021-07-08 00:00:00+00:00,-0.02105051
2021-07-09 00:00:00+00:00,0.00574764
2021-07-12 00:00:00+00:00,-0.00447292
2021-07-13 00:00:00+00:00,0.00516921
2021-07-14 00:00:00+00:00,-0.00550285
2021-07-15 00:00:00+00:00,0.01045723
2021-07-16 00:00:00+00:00,0.00239955
2021-07-19 00:00:00+00:00,-0.01895538
2021-07-20 00:00:00+00:00,0.00737611
2021-07-21 00:00:00+00:00,-0.00964883
2021-07-22 00:00:00+00:00,0.01003906
2021-07-23 00:00:00+00:00,-0.00482480
2021-07-26 00:00:00+00:00,-0.00621652
2021-07-27 00:00:00+00:00,0.00057565
2021-07-28 00:00:00+00:00,0.00011413
2021-07-29 00:00:00+00:00,0.01465719
2021-07-30 00:00:00+00:00,-0.00802156
2021-08-02 00:00:00+00:00,-0.00103676
2021-08-03 00:00:00+00:00,0.00517837
2021-08-04 00:00:00+00:00,0.01010075
2021-08-05 00:00:00+00:00,-0.00000147
2021-08-06 00:00:00+00:00,-0.00114362
2021-08-09 00:00:00+00:00,-0.00171570
2021-08-10 00:00:00+00:00,-0.01041941
2021-08-11 00:00:00+00:00,-0.01392547
2021-08-12 00:00:00+00:00,-0.00707072
2021-08-13 00:00:00+00:00,-0.00290901
2021-08-16 00:00:00+00:00,-0.00337934
2021-08-17 00:00:00+00:00,-0.01400276
2021-08-18 00:00:00+00:00,0.00634280
2021-08-19 00:00:00+00:00,-0.00843436
2021-08-20 00:00:00+00:00,-0.01129270
2021-08-23 00:00:00+00:00,0.01916099
2021-08-24 00:00:00+00:00,0.00808275
2021-08-25 00:00:00+00:00,-0.00198520
2021-08-26 00:00:00+00:00,-0.00000147
