Date,EU-DJ-TECH
2018-11-23 00:00:00+00:00,0.00851277
2018-11-26 00:00:00+00:00,0.01017875
2018-11-27 00:00:00+00:00,0.00516097
2018-11-28 00:00:00+00:00,0.00611247
2018-11-29 00:00:00+00:00,0.00826245
2018-11-30 00:00:00+00:00,-0.00530248
2018-12-03 00:00:00+00:00,0.02326145
2018-12-04 00:00:00+00:00,-0.01041913
2018-12-05 00:00:00+00:00,-0.02227781
2018-12-06 00:00:00+00:00,-0.02936858
2018-12-07 00:00:00+00:00,0.00680787
2018-12-10 00:00:00+00:00,-0.01076885
2018-12-11 00:00:00+00:00,-0.12607595
2018-12-17 00:00:00+00:00,-0.01311232
2018-12-18 00:00:00+00:00,0.00000000
2018-12-19 00:00:00+00:00,-0.00100276
2018-12-20 00:00:00+00:00,-0.02860728
2018-12-21 00:00:00+00:00,-0.01059158
2018-12-27 00:00:00+00:00,0.00000000
2018-12-28 00:00:00+00:00,0.01671018
2019-01-02 00:00:00+00:00,0.00102722
2019-01-03 00:00:00+00:00,-0.04053361
2019-01-04 00:00:00+00:00,0.02994652
2019-01-07 00:00:00+00:00,0.01298027
2019-01-08 00:00:00+00:00,0.01281394
2019-01-09 00:00:00+00:00,0.01973684
2019-01-10 00:00:00+00:00,-0.00421836
2019-01-11 00:00:00+00:00,-0.00299028
2019-01-14 00:00:00+00:00,-0.01399650
2019-01-15 00:00:00+00:00,0.00278834
2019-01-16 00:00:00+00:00,0.01390293
2019-01-17 00:00:00+00:00,0.00224383
2019-01-18 00:00:00+00:00,0.03184080
2019-01-21 00:00:00+00:00,-0.00506268
2019-01-22 00:00:00+00:00,-0.00969227
2019-01-23 00:00:00+00:00,0.00391485
2019-01-24 00:00:00+00:00,0.02607848
2019-01-25 00:00:00+00:00,0.01401425
2019-01-28 00:00:00+00:00,-0.01358632
2019-01-29 00:00:00+00:00,-0.00617431
2019-01-30 00:00:00+00:00,-0.00119474
2019-01-31 00:00:00+00:00,0.00789474
2019-02-01 00:00:00+00:00,-0.00332305
2019-02-04 00:00:00+00:00,0.00095261
2019-02-05 00:00:00+00:00,0.01403759
2019-02-06 00:00:00+00:00,0.01759737
2019-02-07 00:00:00+00:00,0.03412497
2019-02-08 00:00:00+00:00,-0.00047114
2019-02-11 00:00:00+00:00,0.01084139
2019-02-12 00:00:00+00:00,0.00233155
2019-02-13 00:00:00+00:00,0.01698069
2019-02-14 00:00:00+00:00,0.00480329
2019-02-15 00:00:00+00:00,0.00500797
2019-02-18 00:00:00+00:00,0.00045300
2019-02-19 00:00:00+00:00,-0.00498076
2019-02-20 00:00:00+00:00,0.00591581
2019-02-21 00:00:00+00:00,-0.00294051
2019-02-22 00:00:00+00:00,0.01293103
2019-02-25 00:00:00+00:00,0.00380739
2019-02-26 00:00:00+00:00,-0.00178492
2019-02-27 00:00:00+00:00,-0.01095217
2019-02-28 00:00:00+00:00,-0.00067797
2019-03-01 00:00:00+00:00,0.00836725
2019-03-04 00:00:00+00:00,0.00246692
2019-03-05 00:00:00+00:00,0.00131986
2019-03-06 00:00:00+00:00,-0.00625559
2019-03-07 00:00:00+00:00,0.01483813
2019-03-08 00:00:00+00:00,-0.00995700
2019-03-11 00:00:00+00:00,0.00545331
2019-03-12 00:00:00+00:00,-0.00226912
2019-03-13 00:00:00+00:00,0.00318399
2019-03-14 00:00:00+00:00,0.00634777
2019-03-15 00:00:00+00:00,0.02725839
2019-03-18 00:00:00+00:00,-0.01118421
2019-03-19 00:00:00+00:00,0.00665336
2019-03-20 00:00:00+00:00,-0.00154219
2019-03-21 00:00:00+00:00,0.00507502
2019-03-22 00:00:00+00:00,-0.01931943
2019-03-25 00:00:00+00:00,-0.00783524
2019-03-26 00:00:00+00:00,0.01308664
2019-03-27 00:00:00+00:00,-0.01180401
2019-03-28 00:00:00+00:00,0.00653595
2019-03-29 00:00:00+00:00,0.01567398
2019-04-01 00:00:00+00:00,0.01168430
