Date,COPPER-mini
2000-06-23 00:00:00+00:00,-0.01667201
2000-06-26 00:00:00+00:00,0.03130465
2000-06-27 00:00:00+00:00,-0.01230836
2000-06-28 00:00:00+00:00,0.00290097
2000-06-29 00:00:00+00:00,-0.00015797
2000-06-30 00:00:00+00:00,0.01328061
2000-07-05 00:00:00+00:00,-0.00380263
2000-07-06 00:00:00+00:00,-0.02447880
2000-07-07 00:00:00+00:00,0.00414975
2000-07-10 00:00:00+00:00,0.01704551
2000-07-11 00:00:00+00:00,0.01140634
2000-07-12 00:00:00+00:00,0.01436127
2000-07-13 00:00:00+00:00,-0.00557551
2000-07-14 00:00:00+00:00,-0.00076935
2000-07-17 00:00:00+00:00,0.03964088
2000-07-18 00:00:00+00:00,0.00219777
2000-07-19 00:00:00+00:00,0.00101378
2000-07-20 00:00:00+00:00,0.00337506
2000-07-21 00:00:00+00:00,0.04346661
2000-07-24 00:00:00+00:00,0.00444731
2000-07-25 00:00:00+00:00,0.00328682
2000-07-26 00:00:00+00:00,-0.01970709
2000-07-27 00:00:00+00:00,0.02306084
2000-07-28 00:00:00+00:00,-0.00647837
2000-07-31 00:00:00+00:00,0.01537635
2000-08-01 00:00:00+00:00,-0.00245582
2000-08-02 00:00:00+00:00,-0.00875495
2000-08-03 00:00:00+00:00,-0.00304181
2000-08-04 00:00:00+00:00,0.00961311
2000-08-07 00:00:00+00:00,-0.00245947
2000-08-08 00:00:00+00:00,-0.02198290
2000-08-09 00:00:00+00:00,0.02710920
2000-08-10 00:00:00+00:00,-0.02077555
2000-08-11 00:00:00+00:00,-0.01115892
2000-08-14 00:00:00+00:00,0.01728265
2000-08-15 00:00:00+00:00,0.00790418
2000-08-16 00:00:00+00:00,-0.00878510
2000-08-17 00:00:00+00:00,0.00560098
2000-08-18 00:00:00+00:00,-0.00879997
2000-08-21 00:00:00+00:00,-0.02329074
2000-08-22 00:00:00+00:00,0.00861257
2000-08-23 00:00:00+00:00,-0.00191918
2000-08-24 00:00:00+00:00,0.01150551
