Date,IRS
2006-11-28 00:00:00+00:00,0.00834382
2006-11-29 00:00:00+00:00,0.01169510
2006-11-30 00:00:00+00:00,0.00975046
2006-12-01 00:00:00+00:00,0.00274764
2006-12-04 00:00:00+00:00,0.00181229
2006-12-05 00:00:00+00:00,0.00227644
2006-12-06 00:00:00+00:00,0.01444281
2006-12-07 00:00:00+00:00,0.00036873
2006-12-08 00:00:00+00:00,0.00145906
2006-12-11 00:00:00+00:00,-0.00708901
2006-12-12 00:00:00+00:00,0.00512204
2006-12-13 00:00:00+00:00,0.00565384
2006-12-14 00:00:00+00:00,0.00572035
2006-12-15 00:00:00+00:00,-0.00742968
2006-12-18 00:00:00+00:00,-0.00272762
2006-12-19 00:00:00+00:00,0.00103902
2006-12-20 00:00:00+00:00,0.00463936
2006-12-21 00:00:00+00:00,-0.00393630
2006-12-22 00:00:00+00:00,0.00053436
2006-12-26 00:00:00+00:00,-0.02071926
2006-12-27 00:00:00+00:00,0.00181032
2006-12-28 00:00:00+00:00,0.01021634
2006-12-29 00:00:00+00:00,-0.00013562
2007-01-02 00:00:00+00:00,0.00398448
2007-01-03 00:00:00+00:00,0.00632544
2007-01-04 00:00:00+00:00,-0.01996328
2007-01-05 00:00:00+00:00,-0.00613578
2007-01-08 00:00:00+00:00,0.00147323
2007-01-09 00:00:00+00:00,-0.00001072
2007-01-10 00:00:00+00:00,-0.00771344
2007-01-11 00:00:00+00:00,0.00648974
2007-01-12 00:00:00+00:00,0.00981388
2007-01-16 00:00:00+00:00,-0.00304444
2007-01-17 00:00:00+00:00,0.00163368
2007-01-18 00:00:00+00:00,0.00003022
2007-01-19 00:00:00+00:00,-0.00039193
2007-01-22 00:00:00+00:00,0.00011460
2007-01-23 00:00:00+00:00,-0.00309046
2007-01-24 00:00:00+00:00,-0.00275662
2007-01-25 00:00:00+00:00,-0.00102715
2007-01-26 00:00:00+00:00,-0.00496101
2007-01-29 00:00:00+00:00,-0.00509988
2007-01-30 00:00:00+00:00,-0.00587753
2007-01-31 00:00:00+00:00,0.00727947
2007-02-01 00:00:00+00:00,0.00415134
2007-02-02 00:00:00+00:00,-0.00115649
2007-02-05 00:00:00+00:00,-0.00446433
2007-02-06 00:00:00+00:00,0.00644782
2007-02-07 00:00:00+00:00,-0.00111366
2007-02-08 00:00:00+00:00,0.00503058
2007-02-09 00:00:00+00:00,0.00024108
2007-02-12 00:00:00+00:00,-0.00491544
2007-02-13 00:00:00+00:00,0.00163963
2007-02-14 00:00:00+00:00,0.00536313
2007-02-15 00:00:00+00:00,0.00222384
2007-02-16 00:00:00+00:00,0.00875589
2007-02-20 00:00:00+00:00,0.00695408
2007-02-21 00:00:00+00:00,0.00082219
2007-02-22 00:00:00+00:00,-0.00202176
2007-02-23 00:00:00+00:00,-0.00219081
2007-02-26 00:00:00+00:00,-0.00449618
2007-02-27 00:00:00+00:00,-0.00458812
2007-02-28 00:00:00+00:00,-0.00300022
2007-03-01 00:00:00+00:00,-0.00115007
2007-03-02 00:00:00+00:00,0.00129507
2007-03-05 00:00:00+00:00,-0.00831012
2007-03-06 00:00:00+00:00,0.00311851
2007-03-07 00:00:00+00:00,0.00374940
2007-03-08 00:00:00+00:00,0.00752243
2007-03-09 00:00:00+00:00,0.00342666
2007-03-12 00:00:00+00:00,-0.00202162
2007-03-13 00:00:00+00:00,-0.00156199
2007-03-14 00:00:00+00:00,-0.00416251
2007-03-15 00:00:00+00:00,-0.00009417
2007-03-16 00:00:00+00:00,0.00221680
2007-03-19 00:00:00+00:00,-0.00231853
2007-03-20 00:00:00+00:00,0.00167013
2007-03-21 00:00:00+00:00,0.00947637
2007-03-22 00:00:00+00:00,-0.00013660
2007-03-23 00:00:00+00:00,-0.00201675
2007-03-26 00:00:00+00:00,-0.00486269
2007-03-27 00:00:00+00:00,0.00879010
2007-03-28 00:00:00+00:00,0.00015506
2007-03-29 00:00:00+00:00,0.00762297
2007-03-30 00:00:00+00:00,0.00322971
2007-04-02 00:00:00+00:00,-0.00125651
2007-04-03 00:00:00+00:00,-0.00067626
2007-04-04 00:00:00+00:00,0.01464595
2007-04-05 00:00:00+00:00,0.00110048
2007-04-06 00:00:00+00:00,0.00208980
2007-04-09 00:00:00+00:00,0.00015218
2007-04-10 00:00:00+00:00,-0.00071171
2007-04-11 00:00:00+00:00,0.01011509
2007-04-12 00:00:00+00:00,0.01997688
2007-04-13 00:00:00+00:00,-0.00232576
2007-04-16 00:00:00+00:00,0.00806603
2007-04-17 00:00:00+00:00,-0.01007768
2007-04-18 00:00:00+00:00,0.00388619
2007-04-19 00:00:00+00:00,-0.00528588
2007-04-20 00:00:00+00:00,-0.00212711
2007-04-23 00:00:00+00:00,0.00621444
2007-04-24 00:00:00+00:00,-0.00334016
2007-04-25 00:00:00+00:00,0.02864040
2007-04-26 00:00:00+00:00,-0.00566327
2007-04-27 00:00:00+00:00,0.00275981
2007-04-30 00:00:00+00:00,-0.00470508
2007-05-01 00:00:00+00:00,-0.00564168
2007-05-02 00:00:00+00:00,-0.01283544
2007-05-03 00:00:00+00:00,0.01261187
2007-05-04 00:00:00+00:00,0.00140057
2007-05-07 00:00:00+00:00,0.01618970
2007-05-08 00:00:00+00:00,0.01145886
2007-05-09 00:00:00+00:00,0.00897038
2007-05-10 00:00:00+00:00,-0.00353471
2007-05-11 00:00:00+00:00,-0.00187534
2007-05-14 00:00:00+00:00,0.00399513
2007-05-15 00:00:00+00:00,0.01268938
2007-05-16 00:00:00+00:00,-0.00221195
2007-05-17 00:00:00+00:00,-0.00949678
2007-05-18 00:00:00+00:00,-0.01701530
2007-05-21 00:00:00+00:00,-0.00368279
2007-05-22 00:00:00+00:00,0.01657690
2007-05-23 00:00:00+00:00,-0.00017194
2007-05-24 00:00:00+00:00,-0.03506087
2007-05-25 00:00:00+00:00,-0.00372330
2007-05-29 00:00:00+00:00,0.00714416
2007-05-30 00:00:00+00:00,-0.01003772
2007-05-31 00:00:00+00:00,-0.00769711
2007-06-01 00:00:00+00:00,-0.00126675
2007-06-04 00:00:00+00:00,0.00015571
2007-06-05 00:00:00+00:00,-0.00712051
2007-06-06 00:00:00+00:00,-0.01844035
2007-06-07 00:00:00+00:00,-0.00873125
2007-06-08 00:00:00+00:00,-0.00934419
2007-06-11 00:00:00+00:00,-0.00283835
2007-06-12 00:00:00+00:00,-0.00630528
2007-06-13 00:00:00+00:00,0.00762047
2007-06-14 00:00:00+00:00,0.01017906
2007-06-15 00:00:00+00:00,0.01879984
2007-06-18 00:00:00+00:00,-0.01237499
2007-06-19 00:00:00+00:00,-0.01092394
2007-06-20 00:00:00+00:00,-0.01472627
2007-06-21 00:00:00+00:00,-0.01278035
2007-06-22 00:00:00+00:00,-0.00569287
2007-06-25 00:00:00+00:00,-0.00697826
2007-06-26 00:00:00+00:00,-0.01060866
2007-06-27 00:00:00+00:00,0.00771504
2007-06-28 00:00:00+00:00,0.00339591
2007-06-29 00:00:00+00:00,0.00033639
2007-07-02 00:00:00+00:00,0.02610292
2007-07-03 00:00:00+00:00,0.00781572
2007-07-05 00:00:00+00:00,-0.02439452
2007-07-06 00:00:00+00:00,-0.00161001
2007-07-09 00:00:00+00:00,0.00687745
2007-07-10 00:00:00+00:00,-0.00383695
2007-07-11 00:00:00+00:00,-0.01396370
2007-07-12 00:00:00+00:00,-0.00225593
2007-07-13 00:00:00+00:00,-0.00489295
2007-07-16 00:00:00+00:00,-0.01010145
2007-07-17 00:00:00+00:00,0.00833454
2007-07-18 00:00:00+00:00,0.00310463
2007-07-19 00:00:00+00:00,0.01530835
2007-07-20 00:00:00+00:00,-0.00144330
2007-07-23 00:00:00+00:00,0.01638443
2007-07-24 00:00:00+00:00,0.00036764
2007-07-25 00:00:00+00:00,-0.02426247
2007-07-26 00:00:00+00:00,-0.03485389
2007-07-27 00:00:00+00:00,-0.00677327
2007-07-30 00:00:00+00:00,0.00194476
2007-07-31 00:00:00+00:00,0.00669198
2007-08-01 00:00:00+00:00,-0.01347912
2007-08-02 00:00:00+00:00,0.00927413
2007-08-03 00:00:00+00:00,0.00172508
2007-08-06 00:00:00+00:00,0.00236830
2007-08-07 00:00:00+00:00,0.00701325
2007-08-08 00:00:00+00:00,0.01655458
2007-08-09 00:00:00+00:00,-0.00378791
2007-08-10 00:00:00+00:00,0.01019214
2007-08-13 00:00:00+00:00,0.01238269
2007-08-14 00:00:00+00:00,-0.00522366
2007-08-15 00:00:00+00:00,0.00711291
2007-08-16 00:00:00+00:00,-0.01298330
2007-08-17 00:00:00+00:00,0.00968419
2007-08-20 00:00:00+00:00,0.01142823
2007-08-21 00:00:00+00:00,0.01306555
2007-08-22 00:00:00+00:00,0.00348318
2007-08-23 00:00:00+00:00,0.00163991
2007-08-24 00:00:00+00:00,0.00565986
2007-08-27 00:00:00+00:00,-0.00252385
2007-08-28 00:00:00+00:00,0.00772850
2007-08-29 00:00:00+00:00,0.00708358
