Date,BOVESPA
2012-12-13 00:00:00+00:00,0.00251046
2012-12-14 00:00:00+00:00,0.00166945
2012-12-17 00:00:00+00:00,0.00416667
2012-12-18 00:00:00+00:00,0.00663900
2012-12-19 00:00:00+00:00,0.01319044
2012-12-20 00:00:00+00:00,0.00895037
2012-12-21 00:00:00+00:00,-0.01774194
2012-12-24 00:00:00+00:00,0.00615764
2012-12-26 00:00:00+00:00,0.00203998
2012-12-27 00:00:00+00:00,-0.00936482
2012-12-28 00:00:00+00:00,0.00822030
2013-01-02 00:00:00+00:00,0.03505911
2013-01-03 00:00:00+00:00,0.00393856
2013-01-04 00:00:00+00:00,-0.01294625
2013-01-07 00:00:00+00:00,-0.01112878
2013-01-08 00:00:00+00:00,-0.01286174
2013-01-09 00:00:00+00:00,0.00570033
2013-01-10 00:00:00+00:00,0.00485830
2013-01-11 00:00:00+00:00,-0.00644641
2013-01-14 00:00:00+00:00,0.00770479
2013-01-15 00:00:00+00:00,-0.00040241
2013-01-16 00:00:00+00:00,-0.00322061
2013-01-17 00:00:00+00:00,0.00807754
2013-01-18 00:00:00+00:00,-0.00560897
2013-01-21 00:00:00+00:00,0.00040290
2013-01-22 00:00:00+00:00,-0.00322191
2013-01-23 00:00:00+00:00,0.00363636
2013-01-24 00:00:00+00:00,-0.01449275
2013-01-25 00:00:00+00:00,0.00449346
2013-01-28 00:00:00+00:00,-0.02358682
2013-01-29 00:00:00+00:00,0.00791337
2013-01-30 00:00:00+00:00,-0.01776860
2013-01-31 00:00:00+00:00,0.00631048
2013-02-01 00:00:00+00:00,0.00961538
2013-02-04 00:00:00+00:00,-0.01614907
2013-02-05 00:00:00+00:00,-0.00505051
2013-02-06 00:00:00+00:00,-0.00423012
2013-02-07 00:00:00+00:00,-0.01028340
2013-02-08 00:00:00+00:00,0.00085837
2013-02-11 00:00:00+00:00,-0.00300172
2013-02-12 00:00:00+00:00,0.00215054
2013-02-13 00:00:00+00:00,0.01416309
2013-02-14 00:00:00+00:00,-0.00931020
2013-02-15 00:00:00+00:00,-0.00213584
2013-02-18 00:00:00+00:00,-0.00684932
2013-02-19 00:00:00+00:00,-0.00517241
2013-02-20 00:00:00+00:00,-0.02123050
2013-02-21 00:00:00+00:00,-0.00132802
2013-02-22 00:00:00+00:00,0.00886525
2013-02-25 00:00:00+00:00,-0.00395431
2013-02-26 00:00:00+00:00,0.01014557
2013-02-27 00:00:00+00:00,0.00262009
2013-02-28 00:00:00+00:00,0.00174216
2013-03-01 00:00:00+00:00,-0.00521739
2013-03-04 00:00:00+00:00,-0.00611888
2013-03-05 00:00:00+00:00,-0.01275286
2013-03-06 00:00:00+00:00,0.03563474
2013-03-07 00:00:00+00:00,0.01677419
2013-03-08 00:00:00+00:00,-0.00846024
2013-03-11 00:00:00+00:00,0.00298635
2013-03-12 00:00:00+00:00,-0.00510421
2013-03-13 00:00:00+00:00,-0.01667379
2013-03-14 00:00:00+00:00,-0.00260870
2013-03-15 00:00:00+00:00,-0.00653880
2013-03-18 00:00:00+00:00,0.00219394
2013-03-19 00:00:00+00:00,-0.01225919
2013-03-20 00:00:00+00:00,-0.00443262
2013-03-21 00:00:00+00:00,-0.00712378
2013-03-22 00:00:00+00:00,-0.00717489
2013-03-25 00:00:00+00:00,-0.00948509
2013-03-26 00:00:00+00:00,0.01732786
2013-03-27 00:00:00+00:00,0.00403407
2013-03-28 00:00:00+00:00,0.00669643
2013-04-01 00:00:00+00:00,-0.00620843
2013-04-02 00:00:00+00:00,-0.02052655
2013-04-03 00:00:00+00:00,0.01184510
2013-04-04 00:00:00+00:00,-0.02026114
2013-04-05 00:00:00+00:00,0.01424632
2013-04-08 00:00:00+00:00,-0.00090621
2013-04-09 00:00:00+00:00,0.01315193
2013-04-10 00:00:00+00:00,0.00662008
2013-04-11 00:00:00+00:00,-0.01556247
2013-04-12 00:00:00+00:00,-0.01084011
2013-04-15 00:00:00+00:00,-0.03287671
2013-04-16 00:00:00+00:00,-0.08451369
2013-04-17 00:00:00+00:00,-0.01302932
2013-04-18 00:00:00+00:00,0.00471476
2013-04-19 00:00:00+00:00,0.01360863
2013-04-22 00:00:00+00:00,0.00648148
2013-04-23 00:00:00+00:00,0.00965961
2013-04-24 00:00:00+00:00,0.00592255
2013-04-25 00:00:00+00:00,-0.00271739
2013-04-26 00:00:00+00:00,-0.01498638
2013-04-29 00:00:00+00:00,0.01106501
2013-04-30 00:00:00+00:00,0.02234382
2013-05-01 00:00:00+00:00,-0.02007136
2013-05-02 00:00:00+00:00,0.00773782
2013-05-03 00:00:00+00:00,0.00180668
