Date,EURCHF
2000-03-15 00:00:00+00:00,
2000-03-16 00:00:00+00:00,-0.00040726
2000-03-17 00:00:00+00:00,-0.00096801
2000-03-20 00:00:00+00:00,0.00102361
2000-03-21 00:00:00+00:00,0.00008946
2000-03-22 00:00:00+00:00,-0.00364378
2000-03-23 00:00:00+00:00,-0.01006942
2000-03-24 00:00:00+00:00,-0.01613590
2000-03-27 00:00:00+00:00,0.00179987
2000-03-28 00:00:00+00:00,0.00293297
2000-03-29 00:00:00+00:00,0.00387308
2000-03-30 00:00:00+00:00,-0.00085027
2000-03-31 00:00:00+00:00,-0.00431010
2000-04-03 00:00:00+00:00,-0.01106189
2000-04-04 00:00:00+00:00,-0.00738230
2000-04-05 00:00:00+00:00,-0.00092161
2000-04-06 00:00:00+00:00,-0.00512168
2000-04-07 00:00:00+00:00,-0.00041431
2000-04-10 00:00:00+00:00,0.00341400
2000-04-11 00:00:00+00:00,-0.00066694
2000-04-12 00:00:00+00:00,0.00347306
2000-04-13 00:00:00+00:00,-0.00409872
2000-04-14 00:00:00+00:00,-0.00143108
2000-04-17 00:00:00+00:00,-0.00226021
2000-04-18 00:00:00+00:00,0.00545744
2000-04-19 00:00:00+00:00,-0.00664674
2000-04-20 00:00:00+00:00,0.00073731
2000-04-24 00:00:00+00:00,0.00194526
2000-04-25 00:00:00+00:00,0.00022603
2000-04-26 00:00:00+00:00,0.00048194
2000-04-27 00:00:00+00:00,0.00188319
2000-04-28 00:00:00+00:00,-0.00798515
2000-05-01 00:00:00+00:00,-0.00418178
2000-05-02 00:00:00+00:00,-0.00598634
2000-05-03 00:00:00+00:00,-0.02077205
2000-05-04 00:00:00+00:00,0.00483660
2000-05-05 00:00:00+00:00,0.00766935
2000-05-08 00:00:00+00:00,-0.00577127
2000-05-09 00:00:00+00:00,0.00985318
2000-05-10 00:00:00+00:00,0.00420771
2000-05-11 00:00:00+00:00,-0.00414452
2000-05-12 00:00:00+00:00,-0.00408814
2000-05-15 00:00:00+00:00,0.00402286
2000-05-16 00:00:00+00:00,-0.00627499
