Date,FTSECHINAA
2011-03-09 00:00:00+00:00,0.00303644
2011-03-10 00:00:00+00:00,-0.04701719
2011-03-11 00:00:00+00:00,-0.02226825
2011-03-14 00:00:00+00:00,0.00785340
2011-03-15 00:00:00+00:00,-0.04327424
2011-03-16 00:00:00+00:00,0.03622802
2011-03-17 00:00:00+00:00,-0.02619172
2011-03-18 00:00:00+00:00,0.00847458
2011-03-21 00:00:00+00:00,-0.00369979
2011-03-22 00:00:00+00:00,0.02270327
2011-03-23 00:00:00+00:00,0.00523834
2011-03-24 00:00:00+00:00,0.00312826
2011-03-25 00:00:00+00:00,0.01355579
2011-03-28 00:00:00+00:00,0.00206932
2011-03-29 00:00:00+00:00,0.00310078
2011-03-30 00:00:00+00:00,0.00360268
2011-03-31 00:00:00+00:00,-0.01030000
2011-04-01 00:00:00+00:00,0.02646601
2011-04-06 00:00:00+00:00,0.04405738
2011-04-07 00:00:00+00:00,0.00300752
2011-04-08 00:00:00+00:00,0.01099450
2011-04-11 00:00:00+00:00,-0.00696864
2011-04-12 00:00:00+00:00,-0.01694915
2011-04-13 00:00:00+00:00,0.03472572
2011-04-14 00:00:00+00:00,-0.00837438
2011-04-15 00:00:00+00:00,0.00198118
2011-04-18 00:00:00+00:00,-0.00296589
2011-04-19 00:00:00+00:00,-0.03767972
2011-04-20 00:00:00+00:00,0.00201613
2011-04-21 00:00:00+00:00,0.01765893
2011-04-22 00:00:00+00:00,-0.02407222
2011-04-25 00:00:00+00:00,-0.01515917
2011-04-26 00:00:00+00:00,-0.01169888
2011-04-27 00:00:00+00:00,-0.00359159
2011-04-28 00:00:00+00:00,-0.00821777
2011-04-29 00:00:00+00:00,0.00516262
2011-05-03 00:00:00+00:00,0.00618422
2011-05-04 00:00:00+00:00,-0.06018519
2011-05-05 00:00:00+00:00,0.00637281
2011-05-06 00:00:00+00:00,-0.00741133
2011-05-09 00:00:00+00:00,-0.00053050
2011-05-10 00:00:00+00:00,0.00849257
2011-05-11 00:00:00+00:00,-0.00158730
2011-05-12 00:00:00+00:00,-0.03067160
2011-05-13 00:00:00+00:00,0.02361782
2011-05-16 00:00:00+00:00,-0.02073365
2011-05-17 00:00:00+00:00,0.00644122
2011-05-18 00:00:00+00:00,0.01657754
2011-05-19 00:00:00+00:00,-0.00158814
2011-05-20 00:00:00+00:00,-0.00265252
2011-05-23 00:00:00+00:00,-0.05316321
2011-05-24 00:00:00+00:00,-0.00436681
2011-05-25 00:00:00+00:00,-0.01915709
2011-05-26 00:00:00+00:00,0.00386740
2011-05-27 00:00:00+00:00,0.00110314
2011-05-30 00:00:00+00:00,0.00220264
2011-05-31 00:00:00+00:00,0.03351648
2011-06-01 00:00:00+00:00,-0.00325522
