Date,US-DISCRETE
2011-12-23 00:00:00+00:00,0.02065049
2011-12-27 00:00:00+00:00,0.00562228
2011-12-28 00:00:00+00:00,-0.02242610
2011-12-29 00:00:00+00:00,0.01855670
2011-12-30 00:00:00+00:00,-0.00817160
2012-01-03 00:00:00+00:00,0.01845681
2012-01-04 00:00:00+00:00,0.01371603
2012-01-05 00:00:00+00:00,0.01362260
2012-01-06 00:00:00+00:00,0.00300677
2012-01-09 00:00:00+00:00,0.00000000
2012-01-10 00:00:00+00:00,0.01250938
2012-01-11 00:00:00+00:00,0.00348086
2012-01-12 00:00:00+00:00,0.00546041
2012-01-13 00:00:00+00:00,-0.00544554
2012-01-17 00:00:00+00:00,0.00893522
2012-01-18 00:00:00+00:00,0.03261675
2012-01-19 00:00:00+00:00,0.01701921
2012-01-20 00:00:00+00:00,-0.01253616
2012-01-23 00:00:00+00:00,-0.00679282
2012-01-24 00:00:00+00:00,0.00730282
2012-01-25 00:00:00+00:00,0.01261218
2012-01-26 00:00:00+00:00,0.00000000
2012-01-27 00:00:00+00:00,-0.00289226
2012-01-30 00:00:00+00:00,-0.00337919
2012-01-31 00:00:00+00:00,-0.00290135
2012-02-01 00:00:00+00:00,0.00435835
2012-02-02 00:00:00+00:00,-0.00096642
2012-02-03 00:00:00+00:00,0.04109258
2012-02-06 00:00:00+00:00,-0.00473709
2012-02-07 00:00:00+00:00,0.00902184
2012-02-08 00:00:00+00:00,0.00519972
2012-02-09 00:00:00+00:00,0.00377181
2012-02-10 00:00:00+00:00,-0.01035294
2012-02-13 00:00:00+00:00,0.01561022
2012-02-14 00:00:00+00:00,-0.00281624
2012-02-15 00:00:00+00:00,-0.00705053
2012-02-16 00:00:00+00:00,0.00849057
2012-02-17 00:00:00+00:00,0.01855331
2012-02-21 00:00:00+00:00,-0.00791066
2012-02-22 00:00:00+00:00,-0.00513899
2012-02-23 00:00:00+00:00,0.00655738
2012-02-24 00:00:00+00:00,0.00233427
2012-02-27 00:00:00+00:00,0.00373047
2012-02-28 00:00:00+00:00,0.01582499
2012-02-29 00:00:00+00:00,-0.00415608
2012-03-01 00:00:00+00:00,0.01434521
2012-03-02 00:00:00+00:00,-0.00321617
2012-03-05 00:00:00+00:00,-0.00092039
2012-03-06 00:00:00+00:00,-0.02743711
2012-03-07 00:00:00+00:00,0.02053676
2012-03-08 00:00:00+00:00,0.01940402
2012-03-09 00:00:00+00:00,0.01098147
2012-03-12 00:00:00+00:00,-0.00273038
2012-03-13 00:00:00+00:00,0.01070859
