Date,TIN_LME
2023-06-02 00:00:00+00:00,0.01706050
2023-06-05 00:00:00+00:00,-0.00651371
2023-06-06 00:00:00+00:00,0.00419430
2023-06-07 00:00:00+00:00,0.00544694
2023-06-08 00:00:00+00:00,0.01416376
2023-06-09 00:00:00+00:00,0.05434050
2023-06-12 00:00:00+00:00,-0.04576573
2023-06-13 00:00:00+00:00,0.01229115
2023-06-14 00:00:00+00:00,0.05260645
2023-06-15 00:00:00+00:00,0.03781825
2023-06-16 00:00:00+00:00,-0.01857416
2023-06-19 00:00:00+00:00,-0.00294118
2023-06-20 00:00:00+00:00,-0.00239323
2023-06-21 00:00:00+00:00,0.03905315
2023-06-22 00:00:00+00:00,-0.01714801
2023-06-23 00:00:00+00:00,-0.04480874
2023-06-26 00:00:00+00:00,-0.06543609
2023-06-27 00:00:00+00:00,0.05246914
2023-06-28 00:00:00+00:00,-0.01306023
2023-06-29 00:00:00+00:00,-0.00425653
2023-06-30 00:00:00+00:00,0.04938272
2023-07-03 00:00:00+00:00,0.01798795
2023-07-04 00:00:00+00:00,-0.00364332
2023-07-05 00:00:00+00:00,0.02472628
2023-07-06 00:00:00+00:00,0.06496081
2023-07-07 00:00:00+00:00,-0.01379190
2023-07-10 00:00:00+00:00,-0.02761896
2023-07-11 00:00:00+00:00,-0.00026757
2023-07-12 00:00:00+00:00,0.08075347
2023-07-13 00:00:00+00:00,-0.01750172
2023-07-14 00:00:00+00:00,-0.01825102
2023-07-17 00:00:00+00:00,-0.01257093
2023-07-18 00:00:00+00:00,0.00921619
2023-07-19 00:00:00+00:00,-0.02881920
2023-07-20 00:00:00+00:00,0.04361343
2023-07-21 00:00:00+00:00,-0.01548365
2023-07-24 00:00:00+00:00,0.00806452
2023-07-25 00:00:00+00:00,0.02217179
2023-07-26 00:00:00+00:00,0.00742660
2023-07-27 00:00:00+00:00,-0.02185322
2023-07-28 00:00:00+00:00,0.00217467
2023-07-31 00:00:00+00:00,-0.00617177
2023-08-01 00:00:00+00:00,-0.06400977
2023-08-02 00:00:00+00:00,-0.02253064
2023-08-03 00:00:00+00:00,0.04513541
2023-08-04 00:00:00+00:00,-0.02371612
2023-08-07 00:00:00+00:00,0.00478253
2023-08-08 00:00:00+00:00,-0.03312928
2023-08-09 00:00:00+00:00,-0.00311298
2023-08-10 00:00:00+00:00,-0.02879677
2023-08-11 00:00:00+00:00,-0.03147700
2023-08-14 00:00:00+00:00,-0.08753667
2023-08-15 00:00:00+00:00,-0.01019802
2023-08-16 00:00:00+00:00,-0.00975318
2023-08-17 00:00:00+00:00,0.01840368
2023-08-18 00:00:00+00:00,-0.00436248
2023-08-21 00:00:00+00:00,0.03835453
2023-08-22 00:00:00+00:00,0.03211679
2023-08-23 00:00:00+00:00,0.00114866
2023-08-24 00:00:00+00:00,-0.02008416
2023-08-25 00:00:00+00:00,-0.02859351
2023-08-29 00:00:00+00:00,-0.00921207
2023-08-30 00:00:00+00:00,0.00591017
2023-08-31 00:00:00+00:00,-0.00589507
2023-09-01 00:00:00+00:00,0.03114528
2023-09-04 00:00:00+00:00,0.04525151
2023-09-05 00:00:00+00:00,0.00664641
2023-09-06 00:00:00+00:00,-0.01399660
2023-09-07 00:00:00+00:00,-0.01428844
2023-09-08 00:00:00+00:00,-0.03934741
2023-09-11 00:00:00+00:00,0.01683304
2023-09-12 00:00:00+00:00,-0.02135922
2023-09-13 00:00:00+00:00,0.01295388
2023-09-14 00:00:00+00:00,0.01579255
2023-09-15 00:00:00+00:00,-0.01392650
2023-09-18 00:00:00+00:00,0.03680623
2023-09-19 00:00:00+00:00,-0.00764965
2023-09-20 00:00:00+00:00,0.00268972
2023-09-21 00:00:00+00:00,-0.04036732
2023-09-22 00:00:00+00:00,0.05055631
2023-09-25 00:00:00+00:00,-0.02760327
2023-09-26 00:00:00+00:00,0.00945946
2023-09-27 00:00:00+00:00,-0.02805534
2023-09-28 00:00:00+00:00,-0.02553109
2023-09-29 00:00:00+00:00,-0.10957552
2023-10-02 00:00:00+00:00,-0.03720736
2023-10-03 00:00:00+00:00,0.02961858
2023-10-04 00:00:00+00:00,0.00567227
2023-10-05 00:00:00+00:00,0.01739677
2023-10-06 00:00:00+00:00,0.04341504
2023-10-09 00:00:00+00:00,0.04026846
2023-10-10 00:00:00+00:00,-0.03389155
2023-10-11 00:00:00+00:00,0.01561866
2023-10-12 00:00:00+00:00,-0.01006644
2023-10-13 00:00:00+00:00,0.02407932
2023-10-16 00:00:00+00:00,0.01059576
2023-10-17 00:00:00+00:00,0.00973961
2023-10-18 00:00:00+00:00,0.01780768
2023-10-19 00:00:00+00:00,-0.02548020
2023-10-20 00:00:00+00:00,-0.01784298
2023-10-23 00:00:00+00:00,-0.00880000
2023-10-24 00:00:00+00:00,0.01607071
2023-10-25 00:00:00+00:00,0.00916335
2023-10-26 00:00:00+00:00,-0.03212374
