Date,OATIES
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,0.00214691
2000-01-06 00:00:00+00:00,-0.00243416
2000-01-07 00:00:00+00:00,0.00444216
2000-01-10 00:00:00+00:00,-0.00014556
2000-01-11 00:00:00+00:00,-0.00927881
2000-01-12 00:00:00+00:00,0.01598209
2000-01-13 00:00:00+00:00,0.01345961
2000-01-14 00:00:00+00:00,0.00209130
2000-01-18 00:00:00+00:00,-0.00014556
2000-01-19 00:00:00+00:00,0.01547639
2000-01-20 00:00:00+00:00,0.00205002
2000-01-21 00:00:00+00:00,-0.01330539
2000-01-24 00:00:00+00:00,0.01318556
2000-01-25 00:00:00+00:00,0.00862193
2000-01-26 00:00:00+00:00,-0.01319376
2000-01-27 00:00:00+00:00,0.00425473
2000-01-28 00:00:00+00:00,-0.00453819
2000-01-31 00:00:00+00:00,-0.01336947
2000-02-01 00:00:00+00:00,-0.00238603
2000-02-02 00:00:00+00:00,0.04906450
2000-02-03 00:00:00+00:00,-0.02147363
2000-02-04 00:00:00+00:00,0.00841891
2000-02-07 00:00:00+00:00,0.00623682
2000-02-08 00:00:00+00:00,-0.02589826
2000-02-09 00:00:00+00:00,-0.01102401
2000-02-10 00:00:00+00:00,0.03023301
2000-02-11 00:00:00+00:00,-0.02161478
2000-02-14 00:00:00+00:00,0.00629256
2000-02-15 00:00:00+00:00,-0.01097986
2000-02-16 00:00:00+00:00,-0.00454184
2000-02-17 00:00:00+00:00,-0.01542111
2000-02-18 00:00:00+00:00,0.01948965
2000-02-22 00:00:00+00:00,-0.00020456
2000-02-23 00:00:00+00:00,-0.01534105
2000-02-24 00:00:00+00:00,0.02162867
2000-02-25 00:00:00+00:00,-0.00884442
2000-02-28 00:00:00+00:00,0.00414244
2000-02-29 00:00:00+00:00,0.04746294
2000-03-01 00:00:00+00:00,-0.00232320
2000-03-02 00:00:00+00:00,0.00621387
2000-03-03 00:00:00+00:00,0.00613711
2000-03-06 00:00:00+00:00,0.00823260
2000-03-07 00:00:00+00:00,-0.02968019
2000-03-08 00:00:00+00:00,0.01475076
2000-03-09 00:00:00+00:00,-0.00232936
2000-03-10 00:00:00+00:00,-0.01505195
2000-03-13 00:00:00+00:00,0.03841900
2000-03-14 00:00:00+00:00,0.00824905
2000-03-15 00:00:00+00:00,-0.00229039
2000-03-16 00:00:00+00:00,0.00610471
2000-03-17 00:00:00+00:00,0.01228924
2000-03-20 00:00:00+00:00,-0.00425781
2000-03-21 00:00:00+00:00,-0.00633228
2000-03-22 00:00:00+00:00,0.01019252
2000-03-23 00:00:00+00:00,-0.01860179
2000-03-24 00:00:00+00:00,0.00610360
2000-03-27 00:00:00+00:00,0.01021539
2000-03-28 00:00:00+00:00,-0.02685293
2000-03-29 00:00:00+00:00,-0.00015917
2000-03-30 00:00:00+00:00,0.02093844
2000-03-31 00:00:00+00:00,0.01017169
2000-04-03 00:00:00+00:00,0.00597691
2000-04-04 00:00:00+00:00,-0.02251522
2000-04-05 00:00:00+00:00,0.00399967
2000-04-06 00:00:00+00:00,-0.02925353
2000-04-07 00:00:00+00:00,0.02084447
2000-04-10 00:00:00+00:00,-0.00020733
2000-04-11 00:00:00+00:00,-0.02729737
2000-04-12 00:00:00+00:00,0.01247849
2000-04-13 00:00:00+00:00,0.03550834
2000-04-14 00:00:00+00:00,-0.00433818
2000-04-17 00:00:00+00:00,-0.01675445
2000-04-18 00:00:00+00:00,0.00188611
2000-04-19 00:00:00+00:00,0.04159671
2000-04-20 00:00:00+00:00,0.01410954
2000-04-24 00:00:00+00:00,-0.00020483
2000-04-25 00:00:00+00:00,0.00592880
2000-04-26 00:00:00+00:00,-0.01232549
2000-04-27 00:00:00+00:00,-0.01646444
2000-04-28 00:00:00+00:00,0.01001873
2000-05-01 00:00:00+00:00,0.06960870
2000-05-02 00:00:00+00:00,0.00769642
2000-05-03 00:00:00+00:00,0.02745954
2000-05-04 00:00:00+00:00,-0.00995476
2000-05-05 00:00:00+00:00,-0.03753793
2000-05-08 00:00:00+00:00,-0.02621206
2000-05-09 00:00:00+00:00,-0.04078251
2000-05-10 00:00:00+00:00,0.04119331
2000-05-11 00:00:00+00:00,0.00385049
2000-05-12 00:00:00+00:00,-0.01847013
