Date,EU-BASIC
2018-03-13 00:00:00+00:00,-0.00287293
2018-03-14 00:00:00+00:00,0.01085993
2018-03-15 00:00:00+00:00,-0.00021925
2018-03-16 00:00:00+00:00,0.01118421
2018-03-19 00:00:00+00:00,-0.03122967
2018-03-20 00:00:00+00:00,0.00940228
2018-03-21 00:00:00+00:00,0.01663340
2018-03-22 00:00:00+00:00,-0.03468586
2018-03-23 00:00:00+00:00,-0.00451977
2018-03-26 00:00:00+00:00,-0.00227015
2018-03-27 00:00:00+00:00,0.01342435
2018-03-28 00:00:00+00:00,-0.01728783
2018-03-29 00:00:00+00:00,0.01850583
2018-04-03 00:00:00+00:00,-0.00201884
2018-04-04 00:00:00+00:00,-0.02449989
2018-04-05 00:00:00+00:00,0.03479263
2018-04-06 00:00:00+00:00,-0.01558673
2018-04-09 00:00:00+00:00,-0.01153585
2018-04-10 00:00:00+00:00,0.03318078
2018-04-11 00:00:00+00:00,-0.00398671
2018-04-12 00:00:00+00:00,0.00622637
2018-04-13 00:00:00+00:00,0.00685083
2018-04-16 00:00:00+00:00,-0.00790167
2018-04-17 00:00:00+00:00,0.01172566
2018-04-18 00:00:00+00:00,0.04307894
2018-04-19 00:00:00+00:00,0.00356394
2018-04-20 00:00:00+00:00,0.00000000
2018-04-23 00:00:00+00:00,-0.00146229
2018-04-24 00:00:00+00:00,0.00481172
2018-04-25 00:00:00+00:00,-0.01415782
2018-04-26 00:00:00+00:00,0.00274551
2018-04-27 00:00:00+00:00,-0.00042123
2018-04-30 00:00:00+00:00,-0.01179941
2018-05-02 00:00:00+00:00,0.01449893
2018-05-03 00:00:00+00:00,-0.00378310
2018-05-04 00:00:00+00:00,0.01350211
2018-05-07 00:00:00+00:00,0.00457952
2018-05-08 00:00:00+00:00,-0.00207211
2018-05-09 00:00:00+00:00,0.01910299
2018-05-10 00:00:00+00:00,0.00651997
2018-05-11 00:00:00+00:00,0.01295547
2018-05-14 00:00:00+00:00,0.00239808
2018-05-15 00:00:00+00:00,-0.00378788
2018-05-16 00:00:00+00:00,0.03261957
2018-05-17 00:00:00+00:00,0.00271318
2018-05-18 00:00:00+00:00,-0.01391573
2018-05-21 00:00:00+00:00,0.00921207
2018-05-22 00:00:00+00:00,0.00796271
2018-05-23 00:00:00+00:00,-0.02504817
2018-05-24 00:00:00+00:00,-0.01047431
2018-05-25 00:00:00+00:00,-0.00758937
2018-05-28 00:00:00+00:00,-0.00181123
2018-05-29 00:00:00+00:00,-0.01008065
2018-05-30 00:00:00+00:00,0.01120163
2018-05-31 00:00:00+00:00,0.00060423
2018-06-01 00:00:00+00:00,0.01650564
2018-06-04 00:00:00+00:00,-0.00019802
2018-06-05 00:00:00+00:00,0.00769230
2018-06-06 00:00:00+00:00,0.04308479
2018-06-07 00:00:00+00:00,-0.01557692
2018-06-08 00:00:00+00:00,-0.02445705
2018-06-11 00:00:00+00:00,-0.01100196
2018-06-12 00:00:00+00:00,-0.01820701
2018-06-13 00:00:00+00:00,0.00987704
2018-06-14 00:00:00+00:00,0.00618762
2018-06-15 00:00:00+00:00,-0.03292997
2018-06-18 00:00:00+00:00,-0.00369231
