Date,DAX
2000-09-22 00:00:00+00:00,0.00786467
2000-09-25 00:00:00+00:00,0.00780330
2000-09-26 00:00:00+00:00,-0.00299489
2000-09-27 00:00:00+00:00,0.00402960
2000-09-28 00:00:00+00:00,0.00890251
2000-09-29 00:00:00+00:00,-0.00564154
2000-10-02 00:00:00+00:00,0.01032878
2000-10-04 00:00:00+00:00,-0.00871130
2000-10-05 00:00:00+00:00,0.00813421
2000-10-06 00:00:00+00:00,-0.02118003
2000-10-09 00:00:00+00:00,-0.00721278
2000-10-10 00:00:00+00:00,-0.00066721
2000-10-11 00:00:00+00:00,-0.01743323
2000-10-12 00:00:00+00:00,-0.01834655
2000-10-13 00:00:00+00:00,0.02861098
2000-10-16 00:00:00+00:00,-0.00134590
2000-10-17 00:00:00+00:00,-0.01332734
2000-10-18 00:00:00+00:00,-0.00827136
2000-10-19 00:00:00+00:00,0.01614508
2000-10-20 00:00:00+00:00,0.00361446
2000-10-23 00:00:00+00:00,0.00277611
2000-10-24 00:00:00+00:00,0.02753461
2000-10-25 00:00:00+00:00,-0.00917498
2000-10-26 00:00:00+00:00,-0.00293966
2000-10-27 00:00:00+00:00,0.02764060
2000-10-30 00:00:00+00:00,0.00315593
2000-10-31 00:00:00+00:00,0.01873302
2000-11-01 00:00:00+00:00,-0.00266704
2000-11-02 00:00:00+00:00,0.00323716
2000-11-03 00:00:00+00:00,0.00638328
2000-11-06 00:00:00+00:00,0.00048791
2000-11-07 00:00:00+00:00,-0.00829037
2000-11-08 00:00:00+00:00,-0.00885142
2000-11-09 00:00:00+00:00,-0.01219080
2000-11-10 00:00:00+00:00,-0.01442204
2000-11-13 00:00:00+00:00,-0.01324985
2000-11-14 00:00:00+00:00,0.03069205
2000-11-15 00:00:00+00:00,-0.00186113
2000-11-16 00:00:00+00:00,-0.01921974
2000-11-17 00:00:00+00:00,-0.01140684
2000-11-20 00:00:00+00:00,-0.02048817
2000-11-21 00:00:00+00:00,0.01034509
2000-11-22 00:00:00+00:00,-0.02376682
2000-11-23 00:00:00+00:00,0.01393355
2000-11-24 00:00:00+00:00,0.01026880
2000-11-27 00:00:00+00:00,0.00269058
2000-11-28 00:00:00+00:00,-0.00939177
2000-11-29 00:00:00+00:00,-0.00466516
2000-11-30 00:00:00+00:00,-0.03235561
2000-12-01 00:00:00+00:00,0.01875000
2000-12-04 00:00:00+00:00,-0.02492331
2000-12-05 00:00:00+00:00,0.06032142
2000-12-06 00:00:00+00:00,-0.00452284
2000-12-07 00:00:00+00:00,-0.01322152
2000-12-08 00:00:00+00:00,0.03300380
2000-12-11 00:00:00+00:00,0.03225082
2000-12-12 00:00:00+00:00,0.00434462
2000-12-13 00:00:00+00:00,-0.01891634
2000-12-14 00:00:00+00:00,-0.02085046
2000-12-15 00:00:00+00:00,-0.01931003
2000-12-18 00:00:00+00:00,0.00155654
2000-12-19 00:00:00+00:00,0.02105836
2000-12-20 00:00:00+00:00,-0.03805175
2000-12-21 00:00:00+00:00,-0.00664557
2000-12-22 00:00:00+00:00,0.00892004
2000-12-26 00:00:00+00:00,0.02699716
2000-12-27 00:00:00+00:00,-0.01537279
2000-12-28 00:00:00+00:00,-0.00156128
2000-12-29 00:00:00+00:00,0.01641908
2001-01-02 00:00:00+00:00,-0.02461538
2001-01-03 00:00:00+00:00,0.02350158
2001-01-04 00:00:00+00:00,-0.00832178
2001-01-05 00:00:00+00:00,-0.00147630
2001-01-08 00:00:00+00:00,0.00000000
2001-01-09 00:00:00+00:00,0.00070033
2001-01-10 00:00:00+00:00,-0.00489891
2001-01-11 00:00:00+00:00,0.02016098
2001-01-12 00:00:00+00:00,0.00252777
2001-01-15 00:00:00+00:00,0.00504279
2001-01-16 00:00:00+00:00,-0.00243272
2001-01-17 00:00:00+00:00,0.01920439
2001-01-18 00:00:00+00:00,0.00052340
2001-01-19 00:00:00+00:00,0.00209252
2001-01-22 00:00:00+00:00,-0.00074577
2001-01-23 00:00:00+00:00,0.00679155
2001-01-24 00:00:00+00:00,-0.00111193
2001-01-25 00:00:00+00:00,0.00660482
2001-01-26 00:00:00+00:00,-0.00722501
2001-01-29 00:00:00+00:00,0.00742611
2001-01-30 00:00:00+00:00,-0.00250627
2001-01-31 00:00:00+00:00,0.00539462
2001-02-01 00:00:00+00:00,-0.00698273
2001-02-02 00:00:00+00:00,-0.01265729
2001-02-05 00:00:00+00:00,-0.00067471
2001-02-06 00:00:00+00:00,0.00645161
2001-02-07 00:00:00+00:00,-0.01311866
2001-02-08 00:00:00+00:00,0.00574018
2001-02-09 00:00:00+00:00,-0.01945029
2001-02-12 00:00:00+00:00,0.00965000
2001-02-13 00:00:00+00:00,0.00030342
2001-02-14 00:00:00+00:00,-0.01205733
2001-02-15 00:00:00+00:00,0.01166718
2001-02-16 00:00:00+00:00,-0.01745068
2001-02-19 00:00:00+00:00,0.00247104
2001-02-20 00:00:00+00:00,-0.00400555
2001-02-21 00:00:00+00:00,-0.01500387
2001-02-22 00:00:00+00:00,-0.01334799
2001-02-23 00:00:00+00:00,-0.03199109
2001-02-26 00:00:00+00:00,0.01857941
2001-02-27 00:00:00+00:00,0.00225989
2001-02-28 00:00:00+00:00,0.00088581
2001-03-01 00:00:00+00:00,-0.01657414
2001-03-02 00:00:00+00:00,0.00965393
2001-03-05 00:00:00+00:00,0.00567215
2001-03-06 00:00:00+00:00,0.03516915
2001-03-07 00:00:00+00:00,0.00531156
2001-03-08 00:00:00+00:00,-0.01873666
2001-03-09 00:00:00+00:00,-0.01540057
2001-03-12 00:00:00+00:00,-0.05556449
2001-03-13 00:00:00+00:00,-0.00744232
2001-03-14 00:00:00+00:00,-0.03007581
2001-03-15 00:00:00+00:00,0.01056519
2001-03-16 00:00:00+00:00,-0.01912452
2001-03-19 00:00:00+00:00,-0.01265165
2001-03-20 00:00:00+00:00,0.01930841
2001-03-21 00:00:00+00:00,-0.02703634
2001-03-22 00:00:00+00:00,-0.04336283
2001-03-23 00:00:00+00:00,0.03126735
2001-03-26 00:00:00+00:00,0.03579117
2001-03-27 00:00:00+00:00,0.02727981
2001-03-28 00:00:00+00:00,-0.01922104
2001-03-29 00:00:00+00:00,0.01254942
2001-03-30 00:00:00+00:00,-0.01095076
2001-04-02 00:00:00+00:00,-0.01656510
2001-04-03 00:00:00+00:00,-0.03115727
2001-04-04 00:00:00+00:00,0.00990902
2001-04-05 00:00:00+00:00,0.03300330
2001-04-06 00:00:00+00:00,-0.01467922
2001-04-09 00:00:00+00:00,0.01603716
2001-04-10 00:00:00+00:00,0.01785406
2001-04-11 00:00:00+00:00,0.00974494
2001-04-12 00:00:00+00:00,0.01292380
2001-04-17 00:00:00+00:00,-0.01532726
