Date,CAD5
2009-11-23 00:00:00+00:00,0.00248205
2009-11-24 00:00:00+00:00,0.00442674
2009-11-25 00:00:00+00:00,0.00370971
2009-11-26 00:00:00+00:00,0.00405823
2009-11-27 00:00:00+00:00,-0.00105652
2009-11-30 00:00:00+00:00,0.00140944
2009-12-01 00:00:00+00:00,-0.00035211
2009-12-02 00:00:00+00:00,0.00695545
2009-12-03 00:00:00+00:00,0.00087436
2009-12-04 00:00:00+00:00,-0.00873973
2009-12-07 00:00:00+00:00,0.00017556
2009-12-08 00:00:00+00:00,0.00333538
2009-12-09 00:00:00+00:00,0.00140203
2009-12-10 00:00:00+00:00,0.00017513
2009-12-11 00:00:00+00:00,0.00017512
2009-12-14 00:00:00+00:00,0.00070040
2009-12-15 00:00:00+00:00,0.00035008
2009-12-16 00:00:00+00:00,0.00017501
2009-12-17 00:00:00+00:00,-0.00909966
2009-12-18 00:00:00+00:00,-0.00228531
2009-12-21 00:00:00+00:00,0.00105597
2009-12-22 00:00:00+00:00,-0.01266491
2009-12-23 00:00:00+00:00,0.00318640
2009-12-24 00:00:00+00:00,-0.00176741
2009-12-29 00:00:00+00:00,-0.00283036
2009-12-30 00:00:00+00:00,0.00301151
2009-12-31 00:00:00+00:00,-0.00159193
2010-01-04 00:00:00+00:00,0.00194725
2010-01-05 00:00:00+00:00,0.00459811
2010-01-06 00:00:00+00:00,-0.00211734
2010-01-07 00:00:00+00:00,0.00035326
2010-01-08 00:00:00+00:00,0.00370861
2010-01-11 00:00:00+00:00,0.00105764
2010-01-12 00:00:00+00:00,0.00352361
2010-01-13 00:00:00+00:00,-0.00439676
2010-01-14 00:00:00+00:00,0.00141006
2010-01-15 00:00:00+00:00,0.00440335
2010-01-18 00:00:00+00:00,0.00035149
2010-01-19 00:00:00+00:00,0.00105430
2010-01-20 00:00:00+00:00,0.00579557
2010-01-21 00:00:00+00:00,0.00262674
2010-01-22 00:00:00+00:00,0.00332284
2010-01-25 00:00:00+00:00,-0.00087298
2010-01-26 00:00:00+00:00,0.00384279
2010-01-27 00:00:00+00:00,-0.00034868
2010-01-28 00:00:00+00:00,-0.00017437
2010-01-29 00:00:00+00:00,0.00034877
2010-02-01 00:00:00+00:00,-0.00122047
2010-02-02 00:00:00+00:00,0.00157013
2010-02-03 00:00:00+00:00,-0.00575264
2010-02-04 00:00:00+00:00,0.00454545
2010-02-05 00:00:00+00:00,0.00156986
2010-02-08 00:00:00+00:00,0.00017429
2010-02-09 00:00:00+00:00,-0.00261415
2010-02-10 00:00:00+00:00,-0.00523515
2010-02-11 00:00:00+00:00,-0.00192459
2010-02-12 00:00:00+00:00,0.00210158
2010-02-16 00:00:00+00:00,0.00192442
2010-02-17 00:00:00+00:00,-0.00314603
2010-02-18 00:00:00+00:00,-0.00175055
2010-02-19 00:00:00+00:00,-0.00192729
2010-02-22 00:00:00+00:00,0.00087689
2010-02-23 00:00:00+00:00,0.00490787
2010-02-24 00:00:00+00:00,-0.00209845
2010-02-25 00:00:00+00:00,0.00437637
2010-02-26 00:00:00+00:00,0.00192140
2010-03-01 00:00:00+00:00,-0.00314109
2010-03-02 00:00:00+00:00,-0.01293367
2010-03-03 00:00:00+00:00,-0.00619743
2010-03-04 00:00:00+00:00,0.00071048
2010-03-05 00:00:00+00:00,-0.00301847
2010-03-08 00:00:00+00:00,-0.00213390
2010-03-09 00:00:00+00:00,0.00053405
2010-03-10 00:00:00+00:00,-0.00160171
