Date,CNH-onshore
2016-06-01 00:00:00+00:00,-0.00172076
2016-06-02 00:00:00+00:00,0.00394707
2016-06-03 00:00:00+00:00,-0.00132389
2016-06-06 00:00:00+00:00,0.00657573
2016-06-07 00:00:00+00:00,-0.00125454
2016-06-08 00:00:00+00:00,0.00123973
2016-06-09 00:00:00+00:00,0.00104200
2016-06-10 00:00:00+00:00,-0.00263065
2016-06-13 00:00:00+00:00,-0.00630364
2016-06-14 00:00:00+00:00,0.00032240
2016-06-15 00:00:00+00:00,-0.00264659
2016-06-16 00:00:00+00:00,0.00527766
2016-06-17 00:00:00+00:00,-0.00264303
2016-06-20 00:00:00+00:00,0.00269756
2016-06-21 00:00:00+00:00,0.00130996
2016-06-22 00:00:00+00:00,-0.00395849
2016-06-23 00:00:00+00:00,0.00395038
2016-06-24 00:00:00+00:00,-0.01515180
2016-06-27 00:00:00+00:00,-0.00577751
2016-06-28 00:00:00+00:00,-0.00333422
2016-06-29 00:00:00+00:00,0.00212451
2016-06-30 00:00:00+00:00,0.00119078
2016-07-01 00:00:00+00:00,-0.00233594
2016-07-04 00:00:00+00:00,-0.00267038
2016-07-05 00:00:00+00:00,-0.00200713
2016-07-06 00:00:00+00:00,-0.00534805
2016-07-07 00:00:00+00:00,0.00186620
2016-07-08 00:00:00+00:00,-0.00121141
2016-07-11 00:00:00+00:00,-0.00067700
2016-07-12 00:00:00+00:00,-0.00228435
2016-07-13 00:00:00+00:00,0.00173560
2016-07-14 00:00:00+00:00,-0.00061222
2016-07-15 00:00:00+00:00,0.00247135
2016-07-18 00:00:00+00:00,-0.00469701
2016-07-19 00:00:00+00:00,-0.00000910
2016-07-20 00:00:00+00:00,0.00267554
2016-07-21 00:00:00+00:00,0.00736369
2016-07-22 00:00:00+00:00,-0.00134488
2016-07-25 00:00:00+00:00,-0.00395259
2016-07-26 00:00:00+00:00,0.00394117
2016-07-27 00:00:00+00:00,0.00065926
2016-07-28 00:00:00+00:00,0.00333333
2016-07-29 00:00:00+00:00,0.00266118
2016-08-01 00:00:00+00:00,0.00732132
2016-08-02 00:00:00+00:00,-0.00398952
2016-08-03 00:00:00+00:00,0.00464635
2016-08-04 00:00:00+00:00,-0.00133455
2016-08-05 00:00:00+00:00,-0.00332760
2016-08-08 00:00:00+00:00,-0.00399691
2016-08-09 00:00:00+00:00,0.00132385
2016-08-10 00:00:00+00:00,0.00332085
2016-08-11 00:00:00+00:00,0.00065665
2016-08-12 00:00:00+00:00,-0.00133769
2016-08-15 00:00:00+00:00,0.00025820
2016-08-16 00:00:00+00:00,0.00371990
2016-08-17 00:00:00+00:00,-0.00000846
2016-08-18 00:00:00+00:00,0.00198497
2016-08-19 00:00:00+00:00,-0.00332871
2016-08-22 00:00:00+00:00,-0.00732215
2016-08-23 00:00:00+00:00,0.00533163
2016-08-24 00:00:00+00:00,-0.00333772
2016-08-25 00:00:00+00:00,-0.00000910
2016-08-26 00:00:00+00:00,-0.00267575
2016-08-29 00:00:00+00:00,-0.00401436
2016-08-30 00:00:00+00:00,0.00132828
2016-08-31 00:00:00+00:00,-0.00134614
2016-09-01 00:00:00+00:00,0.00132842
2016-09-02 00:00:00+00:00,-0.00134591
2016-09-05 00:00:00+00:00,0.00132878
2016-09-06 00:00:00+00:00,-0.00134586
2016-09-07 00:00:00+00:00,0.00634500
2016-09-08 00:00:00+00:00,-0.00167654
2016-09-09 00:00:00+00:00,-0.00534682
2016-09-12 00:00:00+00:00,-0.00255216
2016-09-13 00:00:00+00:00,-0.00121570
2016-09-14 00:00:00+00:00,0.00092962
2016-09-15 00:00:00+00:00,0.00267309
2016-09-16 00:00:00+00:00,0.00166548
2016-09-19 00:00:00+00:00,-0.00268313
2016-09-20 00:00:00+00:00,0.00072792
2016-09-21 00:00:00+00:00,-0.00000663
2016-09-22 00:00:00+00:00,0.00334172
2016-09-23 00:00:00+00:00,-0.00201056
2016-09-26 00:00:00+00:00,0.00066355
2016-09-27 00:00:00+00:00,0.00306932
2016-09-28 00:00:00+00:00,-0.00000791
2016-09-29 00:00:00+00:00,0.00119487
2016-09-30 00:00:00+00:00,-0.00027491
2016-10-03 00:00:00+00:00,0.00199414
2016-10-04 00:00:00+00:00,-0.00247755
2016-10-05 00:00:00+00:00,-0.00388279
2016-10-06 00:00:00+00:00,-0.00067828
2016-10-07 00:00:00+00:00,-0.00543259
2016-10-10 00:00:00+00:00,0.00133277
2016-10-11 00:00:00+00:00,-0.00376429
2016-10-12 00:00:00+00:00,-0.00457745
2016-10-13 00:00:00+00:00,-0.00135769
2016-10-14 00:00:00+00:00,0.00134192
2016-10-17 00:00:00+00:00,-0.00135818
2016-10-18 00:00:00+00:00,-0.00095505
2016-10-19 00:00:00+00:00,0.00134137
2016-10-20 00:00:00+00:00,-0.00000929
2016-10-21 00:00:00+00:00,-0.00608784
2016-10-24 00:00:00+00:00,-0.00278580
2016-10-25 00:00:00+00:00,-0.00136605
2016-10-26 00:00:00+00:00,0.00107661
2016-10-27 00:00:00+00:00,-0.00272088
2016-10-28 00:00:00+00:00,-0.00136633
2016-10-31 00:00:00+00:00,0.00406882
2016-11-01 00:00:00+00:00,-0.00136646
2016-11-02 00:00:00+00:00,0.00290815
2016-11-03 00:00:00+00:00,0.00310694
2016-11-04 00:00:00+00:00,-0.00034861
2016-11-07 00:00:00+00:00,-0.00434100
2016-11-08 00:00:00+00:00,-0.00028341
2016-11-09 00:00:00+00:00,0.00161609
2016-11-10 00:00:00+00:00,-0.00537065
2016-11-11 00:00:00+00:00,-0.00659802
2016-11-14 00:00:00+00:00,-0.00757171
2016-11-15 00:00:00+00:00,-0.00461031
2016-11-16 00:00:00+00:00,-0.00345236
2016-11-17 00:00:00+00:00,-0.00138978
2016-11-18 00:00:00+00:00,-0.00897270
