Date,US-STAPLES
2011-06-14 00:00:00+00:00,0.01736566
2011-06-15 00:00:00+00:00,-0.01771337
2011-06-16 00:00:00+00:00,0.00950820
2011-06-17 00:00:00+00:00,0.00649562
2011-06-20 00:00:00+00:00,0.01097128
2011-06-21 00:00:00+00:00,-0.00064185
2011-06-22 00:00:00+00:00,-0.01123956
2011-06-23 00:00:00+00:00,-0.02230123
2011-06-24 00:00:00+00:00,-0.01243863
2011-06-27 00:00:00+00:00,0.00788955
2011-06-28 00:00:00+00:00,0.00556101
2011-06-29 00:00:00+00:00,0.01240614
2011-06-30 00:00:00+00:00,0.01396104
2011-07-01 00:00:00+00:00,0.01675258
2011-07-05 00:00:00+00:00,-0.00255591
2011-07-06 00:00:00+00:00,0.01087652
2011-07-07 00:00:00+00:00,0.01399936
2011-07-08 00:00:00+00:00,-0.00442338
2011-07-11 00:00:00+00:00,-0.01836605
2011-07-12 00:00:00+00:00,-0.00447427
2011-07-13 00:00:00+00:00,0.00384369
2011-07-14 00:00:00+00:00,-0.01214834
2011-07-15 00:00:00+00:00,0.00450306
2011-07-18 00:00:00+00:00,-0.01251605
2011-07-19 00:00:00+00:00,0.02776881
2011-07-20 00:00:00+00:00,-0.00382166
2011-07-21 00:00:00+00:00,0.01723038
2011-07-22 00:00:00+00:00,-0.00316356
2011-07-25 00:00:00+00:00,-0.01901141
2011-07-26 00:00:00+00:00,-0.00447857
2011-07-27 00:00:00+00:00,-0.02372555
2011-07-28 00:00:00+00:00,0.00000000
2011-07-29 00:00:00+00:00,-0.01232966
2011-08-01 00:00:00+00:00,-0.00783546
2011-08-02 00:00:00+00:00,-0.02392658
2011-08-03 00:00:00+00:00,0.00398010
2011-08-04 00:00:00+00:00,-0.05925190
2011-08-05 00:00:00+00:00,0.01978847
2011-08-08 00:00:00+00:00,-0.06824324
2011-08-09 00:00:00+00:00,0.05246590
2011-08-10 00:00:00+00:00,-0.08313458
2011-08-11 00:00:00+00:00,0.06363313
2011-08-12 00:00:00+00:00,0.02067540
2011-08-15 00:00:00+00:00,0.02319236
2011-08-16 00:00:00+00:00,0.00876601
2011-08-17 00:00:00+00:00,0.01074186
2011-08-18 00:00:00+00:00,-0.02640374
2011-08-19 00:00:00+00:00,-0.01252539
2011-08-22 00:00:00+00:00,0.00136240
2011-08-23 00:00:00+00:00,0.04084411
2011-08-24 00:00:00+00:00,0.01200801
2011-08-25 00:00:00+00:00,-0.03116711
2011-08-26 00:00:00+00:00,0.01818794
2011-08-29 00:00:00+00:00,0.03805073
2011-08-30 00:00:00+00:00,0.00262037
2011-08-31 00:00:00+00:00,0.00785083
2011-09-01 00:00:00+00:00,-0.00912349
2011-09-02 00:00:00+00:00,-0.02749591
2011-09-06 00:00:00+00:00,0.00000000
2011-09-07 00:00:00+00:00,0.02456024
2011-09-08 00:00:00+00:00,0.00360656
2011-09-09 00:00:00+00:00,-0.03598299
2011-09-12 00:00:00+00:00,-0.01332445
2011-09-13 00:00:00+00:00,-0.00704225
2011-09-14 00:00:00+00:00,0.01452212
2011-09-15 00:00:00+00:00,0.01298269
2011-09-16 00:00:00+00:00,0.03384818
2011-09-19 00:00:00+00:00,-0.01696574
2011-09-20 00:00:00+00:00,0.00000000
2011-09-21 00:00:00+00:00,-0.03455084
2011-09-22 00:00:00+00:00,-0.04017409
2011-09-23 00:00:00+00:00,-0.00068329
2011-09-26 00:00:00+00:00,0.03964457
2011-09-27 00:00:00+00:00,0.01340483
2011-09-28 00:00:00+00:00,-0.03728362
2011-09-29 00:00:00+00:00,0.02035278
2011-09-30 00:00:00+00:00,-0.02149093
2011-10-03 00:00:00+00:00,-0.02783435
2011-10-04 00:00:00+00:00,0.01445783
2011-10-05 00:00:00+00:00,0.00478469
2011-10-06 00:00:00+00:00,0.02318445
2011-10-07 00:00:00+00:00,0.01415571
2011-10-10 00:00:00+00:00,0.02945114
2011-10-11 00:00:00+00:00,-0.00131926
2011-10-12 00:00:00+00:00,0.01452145
2011-10-13 00:00:00+00:00,-0.00458716
2011-10-14 00:00:00+00:00,0.01510673
2011-10-17 00:00:00+00:00,-0.01629726
2011-10-18 00:00:00+00:00,0.01511666
2011-10-19 00:00:00+00:00,-0.00260926
2011-10-20 00:00:00+00:00,0.00979752
2011-10-21 00:00:00+00:00,0.03054924
2011-10-24 00:00:00+00:00,-0.00960307
2011-10-25 00:00:00+00:00,-0.02251528
2011-10-26 00:00:00+00:00,0.01561483
2011-10-27 00:00:00+00:00,0.02453196
2011-10-28 00:00:00+00:00,-0.00637755
2011-10-31 00:00:00+00:00,-0.02367242
2011-11-01 00:00:00+00:00,-0.03690515
2011-11-02 00:00:00+00:00,0.01846966
2011-11-03 00:00:00+00:00,0.02222222
2011-11-04 00:00:00+00:00,-0.00840336
2011-11-07 00:00:00+00:00,0.01363194
2011-11-08 00:00:00+00:00,0.02192134
2011-11-09 00:00:00+00:00,-0.04464286
2011-11-10 00:00:00+00:00,0.01565558
2011-11-11 00:00:00+00:00,0.02330097
2011-11-14 00:00:00+00:00,-0.01407550
2011-11-15 00:00:00+00:00,0.00708763
2011-11-16 00:00:00+00:00,-0.01412520
2011-11-17 00:00:00+00:00,-0.01357905
2011-11-18 00:00:00+00:00,0.01106771
2011-11-21 00:00:00+00:00,-0.03107802
2011-11-22 00:00:00+00:00,0.00131536
2011-11-23 00:00:00+00:00,-0.02366086
2011-11-25 00:00:00+00:00,0.00598603
2011-11-28 00:00:00+00:00,0.03249337
2011-11-29 00:00:00+00:00,0.02022838
2011-11-30 00:00:00+00:00,0.05038760
2011-12-01 00:00:00+00:00,-0.00378072
