Date,GASOIL
2000-06-26 00:00:00+00:00,0.01321804
2000-06-27 00:00:00+00:00,-0.02268841
2000-06-28 00:00:00+00:00,0.05148295
2000-06-29 00:00:00+00:00,0.01290769
2000-06-30 00:00:00+00:00,0.02988851
2000-07-03 00:00:00+00:00,0.02255455
2000-07-04 00:00:00+00:00,-0.05778991
2000-07-05 00:00:00+00:00,-0.03642844
2000-07-06 00:00:00+00:00,-0.01143446
2000-07-07 00:00:00+00:00,-0.04549016
2000-07-10 00:00:00+00:00,0.00509737
2000-07-11 00:00:00+00:00,0.00192533
2000-07-12 00:00:00+00:00,0.04075701
2000-07-13 00:00:00+00:00,0.03998511
2000-07-14 00:00:00+00:00,0.01601494
2000-07-17 00:00:00+00:00,-0.02324832
2000-07-18 00:00:00+00:00,0.02858132
2000-07-19 00:00:00+00:00,0.01299156
2000-07-20 00:00:00+00:00,0.00786862
2000-07-21 00:00:00+00:00,-0.04234695
2000-07-24 00:00:00+00:00,-0.02267400
2000-07-25 00:00:00+00:00,-0.01155561
2000-07-26 00:00:00+00:00,0.01023700
2000-07-27 00:00:00+00:00,-0.00848815
2000-07-28 00:00:00+00:00,-0.00018022
2000-07-31 00:00:00+00:00,-0.04293337
2000-08-01 00:00:00+00:00,0.00620137
2000-08-02 00:00:00+00:00,0.04865066
2000-08-03 00:00:00+00:00,0.00292775
2000-08-04 00:00:00+00:00,0.05049113
2000-08-07 00:00:00+00:00,0.00284897
2000-08-08 00:00:00+00:00,-0.01328673
2000-08-09 00:00:00+00:00,0.06168452
2000-08-10 00:00:00+00:00,0.04115697
2000-08-11 00:00:00+00:00,0.05972066
2000-08-14 00:00:00+00:00,-0.00768686
2000-08-15 00:00:00+00:00,-0.00206568
2000-08-16 00:00:00+00:00,-0.01432011
2000-08-17 00:00:00+00:00,0.05780263
2000-08-18 00:00:00+00:00,0.01831922
2000-08-21 00:00:00+00:00,0.04477196
2000-08-22 00:00:00+00:00,-0.00737023
2000-08-23 00:00:00+00:00,0.07105263
2000-08-24 00:00:00+00:00,0.00068988
2000-08-25 00:00:00+00:00,0.00593260
2000-08-29 00:00:00+00:00,0.06095209
2000-08-30 00:00:00+00:00,-0.02389228
2000-08-31 00:00:00+00:00,0.03315005
2000-09-01 00:00:00+00:00,-0.01952615
2000-09-04 00:00:00+00:00,0.04812292
2000-09-05 00:00:00+00:00,-0.02011517
2000-09-06 00:00:00+00:00,0.02910820
2000-09-07 00:00:00+00:00,0.04354915
2000-09-08 00:00:00+00:00,-0.01794943
2000-09-11 00:00:00+00:00,0.09517624
2000-09-12 00:00:00+00:00,0.00060137
2000-09-13 00:00:00+00:00,-0.06637682
2000-09-14 00:00:00+00:00,-0.04599877
2000-09-15 00:00:00+00:00,0.01624153
2000-09-18 00:00:00+00:00,0.02810557
2000-09-19 00:00:00+00:00,-0.04639453
2000-09-20 00:00:00+00:00,0.01855053
2000-09-21 00:00:00+00:00,-0.04292105
2000-09-22 00:00:00+00:00,-0.01915629
2000-09-25 00:00:00+00:00,-0.08684605
2000-09-26 00:00:00+00:00,-0.04705467
2000-09-27 00:00:00+00:00,0.03084815
2000-09-28 00:00:00+00:00,-0.05437741
2000-09-29 00:00:00+00:00,0.00071581
2000-10-02 00:00:00+00:00,0.07805691
2000-10-03 00:00:00+00:00,-0.00710774
2000-10-04 00:00:00+00:00,-0.00884684
2000-10-05 00:00:00+00:00,-0.06028614
2000-10-06 00:00:00+00:00,0.01415558
2000-10-09 00:00:00+00:00,0.03896457
2000-10-10 00:00:00+00:00,0.09239537
2000-10-11 00:00:00+00:00,0.02908316
2000-10-12 00:00:00+00:00,0.14326605
2000-10-13 00:00:00+00:00,-0.05701586
2000-10-16 00:00:00+00:00,-0.05723363
2000-10-17 00:00:00+00:00,-0.09428765
2000-10-18 00:00:00+00:00,0.02182404
2000-10-19 00:00:00+00:00,0.00851210
2000-10-20 00:00:00+00:00,-0.04264428
2000-10-23 00:00:00+00:00,0.01754639
2000-10-24 00:00:00+00:00,0.04199487
2000-10-25 00:00:00+00:00,-0.03891155
2000-10-26 00:00:00+00:00,-0.00895660
2000-10-27 00:00:00+00:00,-0.01516236
2000-10-30 00:00:00+00:00,-0.02496370
2000-10-31 00:00:00+00:00,-0.05489346
2000-11-01 00:00:00+00:00,0.06346847
2000-11-02 00:00:00+00:00,-0.04050753
2000-11-03 00:00:00+00:00,-0.03492014
2000-11-06 00:00:00+00:00,-0.01319749
2000-11-07 00:00:00+00:00,0.06429993
2000-11-08 00:00:00+00:00,0.00434321
2000-11-09 00:00:00+00:00,0.07388858
2000-11-10 00:00:00+00:00,0.03571698
2000-11-13 00:00:00+00:00,-0.01136293
2000-11-14 00:00:00+00:00,0.02747307
2000-11-15 00:00:00+00:00,-0.00789042
2000-11-16 00:00:00+00:00,0.00069142
2000-11-17 00:00:00+00:00,-0.01223258
2000-11-20 00:00:00+00:00,0.08134179
2000-11-21 00:00:00+00:00,-0.02522640
2000-11-22 00:00:00+00:00,0.00573249
2000-11-23 00:00:00+00:00,-0.00354884
2000-11-24 00:00:00+00:00,-0.00777320
2000-11-27 00:00:00+00:00,-0.02902155
2000-11-28 00:00:00+00:00,-0.08687744
2000-11-29 00:00:00+00:00,-0.00552837
2000-11-30 00:00:00+00:00,0.04454222
2000-12-01 00:00:00+00:00,-0.05022454
2000-12-04 00:00:00+00:00,-0.01728096
2000-12-05 00:00:00+00:00,-0.06563143
2000-12-06 00:00:00+00:00,-0.06959583
2000-12-07 00:00:00+00:00,0.01049139
2000-12-08 00:00:00+00:00,-0.07621182
2000-12-11 00:00:00+00:00,0.01782283
2000-12-12 00:00:00+00:00,-0.04180254
2000-12-13 00:00:00+00:00,0.02905754
2000-12-14 00:00:00+00:00,-0.16053490
2000-12-15 00:00:00+00:00,0.02676332
2000-12-18 00:00:00+00:00,0.01049880
2000-12-19 00:00:00+00:00,-0.04239837
2000-12-20 00:00:00+00:00,-0.05189547
2000-12-21 00:00:00+00:00,-0.02778592
2000-12-22 00:00:00+00:00,-0.03262947
2000-12-27 00:00:00+00:00,0.09479559
2000-12-28 00:00:00+00:00,-0.02309654
2000-12-29 00:00:00+00:00,0.02634731
2001-01-02 00:00:00+00:00,-0.02637137
2001-01-03 00:00:00+00:00,-0.04292893
2001-01-04 00:00:00+00:00,0.01992573
2001-01-05 00:00:00+00:00,0.03414015
2001-01-08 00:00:00+00:00,-0.05570744
2001-01-09 00:00:00+00:00,-0.07810567
2001-01-10 00:00:00+00:00,0.05771459
2001-01-11 00:00:00+00:00,0.02580345
2001-01-12 00:00:00+00:00,-0.01797371
2001-01-15 00:00:00+00:00,-0.01024602
2001-01-16 00:00:00+00:00,0.00551863
2001-01-17 00:00:00+00:00,-0.07821216
2001-01-18 00:00:00+00:00,0.02216923
2001-01-19 00:00:00+00:00,0.04978782
2001-01-22 00:00:00+00:00,0.03049233
2001-01-23 00:00:00+00:00,-0.03140411
2001-01-24 00:00:00+00:00,-0.02626220
2001-01-25 00:00:00+00:00,-0.00360774
2001-01-26 00:00:00+00:00,0.04587442
2001-01-29 00:00:00+00:00,-0.04073786
2001-01-30 00:00:00+00:00,-0.03918595
2001-01-31 00:00:00+00:00,-0.02117520
2001-02-01 00:00:00+00:00,0.01989889
2001-02-02 00:00:00+00:00,0.08746688
2001-02-05 00:00:00+00:00,0.00544206
2001-02-06 00:00:00+00:00,0.02775170
2001-02-07 00:00:00+00:00,0.01857266
2001-02-08 00:00:00+00:00,0.05771004
2001-02-09 00:00:00+00:00,-0.01501166
2001-02-12 00:00:00+00:00,-0.03865234
2001-02-13 00:00:00+00:00,-0.01866763
2001-02-14 00:00:00+00:00,0.02317049
2001-02-15 00:00:00+00:00,-0.08028236
2001-02-16 00:00:00+00:00,0.01469302
2001-02-19 00:00:00+00:00,0.03163490
2001-02-20 00:00:00+00:00,-0.01579185
2001-02-21 00:00:00+00:00,-0.03739488
2001-02-22 00:00:00+00:00,-0.01277688
2001-02-23 00:00:00+00:00,0.03106851
2001-02-26 00:00:00+00:00,-0.01384232
2001-02-27 00:00:00+00:00,-0.03339835
2001-02-28 00:00:00+00:00,0.01032073
2001-03-01 00:00:00+00:00,-0.01750453
2001-03-02 00:00:00+00:00,0.04303017
2001-03-05 00:00:00+00:00,0.04333457
2001-03-06 00:00:00+00:00,-0.04493500
2001-03-07 00:00:00+00:00,0.02386006
2001-03-08 00:00:00+00:00,0.02015346
2001-03-09 00:00:00+00:00,-0.03254190
2001-03-12 00:00:00+00:00,-0.02284114
2001-03-13 00:00:00+00:00,-0.03110200
2001-03-14 00:00:00+00:00,-0.00712078
2001-03-15 00:00:00+00:00,-0.01765789
2001-03-16 00:00:00+00:00,0.03317092
2001-03-19 00:00:00+00:00,-0.05289076
2001-03-20 00:00:00+00:00,0.00587523
2001-03-21 00:00:00+00:00,0.00466511
2001-03-22 00:00:00+00:00,-0.00611192
2001-03-23 00:00:00+00:00,0.03953240
2001-03-26 00:00:00+00:00,0.00813341
2001-03-27 00:00:00+00:00,0.04227427
2001-03-28 00:00:00+00:00,-0.02199471
2001-03-29 00:00:00+00:00,-0.04658783
2001-03-30 00:00:00+00:00,-0.01083066
2001-04-02 00:00:00+00:00,-0.04303734
2001-04-03 00:00:00+00:00,0.00597206
2001-04-04 00:00:00+00:00,0.08138301
2001-04-05 00:00:00+00:00,0.04320225
2001-04-06 00:00:00+00:00,-0.04035316
2001-04-09 00:00:00+00:00,0.03032169
2001-04-10 00:00:00+00:00,0.09906934
2001-04-11 00:00:00+00:00,0.01422565
2001-04-12 00:00:00+00:00,0.02175884
2001-04-17 00:00:00+00:00,0.00095758
2001-04-18 00:00:00+00:00,-0.04767368
2001-04-19 00:00:00+00:00,0.00981647
2001-04-20 00:00:00+00:00,-0.01772046
2001-04-23 00:00:00+00:00,-0.00899286
2001-04-24 00:00:00+00:00,0.00545836
2001-04-25 00:00:00+00:00,-0.01900550
2001-04-26 00:00:00+00:00,0.04370347
2001-04-27 00:00:00+00:00,0.00098122
2001-04-30 00:00:00+00:00,0.02185933
2001-05-01 00:00:00+00:00,-0.01533595
2001-05-02 00:00:00+00:00,-0.02418802
2001-05-03 00:00:00+00:00,0.03638781
2001-05-04 00:00:00+00:00,0.02056081
2001-05-08 00:00:00+00:00,-0.02161852
2001-05-09 00:00:00+00:00,0.00423469
2001-05-10 00:00:00+00:00,0.02703057
2001-05-11 00:00:00+00:00,-0.03540795
2001-05-14 00:00:00+00:00,-0.03598340
2001-05-15 00:00:00+00:00,0.02092784
2001-05-16 00:00:00+00:00,0.00857998
2001-05-17 00:00:00+00:00,0.03556545
2001-05-18 00:00:00+00:00,0.04345989
2001-05-21 00:00:00+00:00,0.03110559
2001-05-22 00:00:00+00:00,-0.00830008
2001-05-23 00:00:00+00:00,0.00297122
2001-05-24 00:00:00+00:00,-0.02780434
2001-05-25 00:00:00+00:00,-0.02506005
2001-05-29 00:00:00+00:00,0.01462440
2001-05-30 00:00:00+00:00,-0.01368238
2001-05-31 00:00:00+00:00,-0.04637842
2001-06-01 00:00:00+00:00,0.02249292
2001-06-04 00:00:00+00:00,0.01371720
2001-06-05 00:00:00+00:00,0.00516808
2001-06-06 00:00:00+00:00,-0.02958474
2001-06-07 00:00:00+00:00,0.02339294
2001-06-08 00:00:00+00:00,0.00622419
2001-06-11 00:00:00+00:00,0.06620488
2001-06-12 00:00:00+00:00,0.01419078
2001-06-13 00:00:00+00:00,0.00191915
2001-06-14 00:00:00+00:00,0.01407556
2001-06-15 00:00:00+00:00,0.00089822
2001-06-18 00:00:00+00:00,-0.04436143
2001-06-19 00:00:00+00:00,-0.01655199
2001-06-20 00:00:00+00:00,-0.05503028
2001-06-21 00:00:00+00:00,-0.00756218
2001-06-22 00:00:00+00:00,-0.02898389
2001-06-25 00:00:00+00:00,0.01073924
2001-06-26 00:00:00+00:00,0.00528713
2001-06-27 00:00:00+00:00,-0.07868739
2001-06-28 00:00:00+00:00,-0.00346593
2001-06-29 00:00:00+00:00,0.05252136
2001-07-02 00:00:00+00:00,-0.03512269
2001-07-03 00:00:00+00:00,-0.01455675
