Date,NIKKEI
2011-12-05 00:00:00+00:00,0.00519207
2011-12-06 00:00:00+00:00,-0.02304568
2011-12-07 00:00:00+00:00,0.02505415
2011-12-08 00:00:00+00:00,-0.00230832
2011-12-09 00:00:00+00:00,-0.01786127
2011-12-12 00:00:00+00:00,0.02346013
2011-12-13 00:00:00+00:00,-0.01624557
2011-12-14 00:00:00+00:00,-0.00877082
2011-12-15 00:00:00+00:00,-0.03347439
2011-12-16 00:00:00+00:00,0.00776178
2011-12-19 00:00:00+00:00,-0.02379956
2011-12-20 00:00:00+00:00,0.00481212
2011-12-21 00:00:00+00:00,0.03002565
2011-12-22 00:00:00+00:00,-0.01716406
2011-12-26 00:00:00+00:00,0.01849233
2011-12-27 00:00:00+00:00,0.00058667
2011-12-28 00:00:00+00:00,-0.00768343
2011-12-29 00:00:00+00:00,-0.00713019
2011-12-30 00:00:00+00:00,0.01428962
2012-01-04 00:00:00+00:00,0.01951060
2012-01-05 00:00:00+00:00,-0.00937213
2012-01-06 00:00:00+00:00,-0.02412205
2012-01-10 00:00:00+00:00,0.00654709
2012-01-11 00:00:00+00:00,0.00237068
2012-01-12 00:00:00+00:00,-0.01303395
2012-01-13 00:00:00+00:00,0.02863481
2012-01-16 00:00:00+00:00,-0.02824013
2012-01-17 00:00:00+00:00,0.02147487
2012-01-18 00:00:00+00:00,0.01947568
2012-01-19 00:00:00+00:00,0.02278854
2012-01-20 00:00:00+00:00,0.02427221
2012-01-23 00:00:00+00:00,0.00399037
2012-01-24 00:00:00+00:00,0.00398359
2012-01-25 00:00:00+00:00,0.01933515
2012-01-26 00:00:00+00:00,-0.00563591
2012-01-27 00:00:00+00:00,-0.00339528
2012-01-30 00:00:00+00:00,-0.00848956
2012-01-31 00:00:00+00:00,0.00283713
2012-02-01 00:00:00+00:00,-0.00341078
2012-02-02 00:00:00+00:00,0.01760745
2012-02-03 00:00:00+00:00,-0.00676662
2012-02-06 00:00:00+00:00,0.01412605
2012-02-07 00:00:00+00:00,-0.00000611
2012-02-08 00:00:00+00:00,0.02076093
2012-02-09 00:00:00+00:00,0.00332512
2012-02-10 00:00:00+00:00,-0.00488700
2012-02-13 00:00:00+00:00,-0.00122734
2012-02-14 00:00:00+00:00,0.01333008
2012-02-15 00:00:00+00:00,0.04524698
2012-02-16 00:00:00+00:00,-0.00809726
2012-02-17 00:00:00+00:00,0.03845561
2012-02-20 00:00:00+00:00,0.01382398
2012-02-21 00:00:00+00:00,0.00368972
2012-02-22 00:00:00+00:00,0.01632699
2012-02-23 00:00:00+00:00,0.00156120
2012-02-24 00:00:00+00:00,0.01357781
2012-02-27 00:00:00+00:00,-0.00415618
2012-02-28 00:00:00+00:00,0.02909954
2012-02-29 00:00:00+00:00,-0.00973940
2012-03-01 00:00:00+00:00,0.00050940
2012-03-02 00:00:00+00:00,0.01029332
2012-03-05 00:00:00+00:00,-0.01588691
2012-03-06 00:00:00+00:00,-0.00723701
2012-03-07 00:00:00+00:00,-0.01451355
2012-03-08 00:00:00+00:00,0.03861635
2012-03-09 00:00:00+00:00,0.03442028
2012-03-12 00:00:00+00:00,-0.01367972
2012-03-13 00:00:00+00:00,0.00509444
2012-03-14 00:00:00+00:00,0.03710649
2012-03-15 00:00:00+00:00,0.00698380
2012-03-16 00:00:00+00:00,0.00148674
2012-03-19 00:00:00+00:00,0.00397205
2012-03-21 00:00:00+00:00,-0.01340543
2012-03-22 00:00:00+00:00,0.00549176
2012-03-23 00:00:00+00:00,-0.01942783
2012-03-26 00:00:00+00:00,0.00250761
2012-03-27 00:00:00+00:00,0.04419307
2012-03-28 00:00:00+00:00,0.00048597
2012-03-29 00:00:00+00:00,-0.01277811
2012-03-30 00:00:00+00:00,-0.00495092
2012-04-02 00:00:00+00:00,0.00346495
2012-04-03 00:00:00+00:00,-0.00990662
