Date,ROBUSTA
2009-05-26 00:00:00+00:00,-0.00661360
2009-05-27 00:00:00+00:00,0.03044654
2009-05-28 00:00:00+00:00,-0.01762914
2009-05-29 00:00:00+00:00,0.01114598
2009-06-01 00:00:00+00:00,0.01882842
2009-06-02 00:00:00+00:00,-0.01338804
2009-06-03 00:00:00+00:00,-0.01541026
2009-06-04 00:00:00+00:00,0.00967407
2009-06-05 00:00:00+00:00,0.00641332
2009-06-08 00:00:00+00:00,-0.01411978
2009-06-09 00:00:00+00:00,0.00966640
2009-06-10 00:00:00+00:00,-0.01029338
2009-06-11 00:00:00+00:00,-0.00324295
2009-06-12 00:00:00+00:00,-0.01035963
2009-06-15 00:00:00+00:00,-0.09476046
2009-06-16 00:00:00+00:00,0.03191216
2009-06-17 00:00:00+00:00,-0.03881367
2009-06-18 00:00:00+00:00,-0.00342829
2009-06-19 00:00:00+00:00,-0.12834561
2009-06-22 00:00:00+00:00,0.01020065
2009-06-23 00:00:00+00:00,-0.06600941
2009-06-24 00:00:00+00:00,-0.01125523
2009-06-25 00:00:00+00:00,-0.01586807
2009-06-26 00:00:00+00:00,-0.02819930
2009-06-29 00:00:00+00:00,0.04171151
2009-06-30 00:00:00+00:00,0.01206455
2009-07-01 00:00:00+00:00,-0.00825883
2009-07-02 00:00:00+00:00,0.02265701
2009-07-03 00:00:00+00:00,0.00597814
2009-07-06 00:00:00+00:00,0.01119202
2009-07-07 00:00:00+00:00,0.00741552
2009-07-08 00:00:00+00:00,-0.00889501
2009-07-09 00:00:00+00:00,0.01263909
2009-07-10 00:00:00+00:00,0.01551345
2009-07-13 00:00:00+00:00,0.00512036
2009-07-14 00:00:00+00:00,0.03221540
2009-07-15 00:00:00+00:00,0.03314610
2009-07-16 00:00:00+00:00,0.00352762
2009-07-17 00:00:00+00:00,0.05659887
2009-07-20 00:00:00+00:00,0.08102573
2009-07-21 00:00:00+00:00,-0.01588080
2009-07-22 00:00:00+00:00,-0.02533424
2009-07-23 00:00:00+00:00,0.02764744
2009-07-24 00:00:00+00:00,-0.04511088
2009-07-27 00:00:00+00:00,0.00201732
2009-07-28 00:00:00+00:00,0.00201551
2009-07-29 00:00:00+00:00,0.01286284
2009-07-30 00:00:00+00:00,0.00672052
2009-07-31 00:00:00+00:00,0.00937803
2009-08-03 00:00:00+00:00,0.02260102
2009-08-04 00:00:00+00:00,0.00649681
2009-08-05 00:00:00+00:00,-0.02658905
2009-08-06 00:00:00+00:00,-0.00789636
2009-08-07 00:00:00+00:00,-0.00397520
2009-08-10 00:00:00+00:00,-0.03702973
2009-08-11 00:00:00+00:00,-0.01348579
2009-08-12 00:00:00+00:00,-0.02102059
2009-08-13 00:00:00+00:00,-0.03152458
2009-08-14 00:00:00+00:00,-0.03135492
2009-08-17 00:00:00+00:00,-0.04035788
2009-08-18 00:00:00+00:00,-0.00723880
2009-08-19 00:00:00+00:00,0.00578295
2009-08-20 00:00:00+00:00,-0.02604873
2009-08-21 00:00:00+00:00,-0.01318590
2009-08-24 00:00:00+00:00,-0.02652797
2009-08-25 00:00:00+00:00,0.02608135
2009-08-26 00:00:00+00:00,0.09578103
2009-08-27 00:00:00+00:00,-0.03164142
2009-08-28 00:00:00+00:00,0.00497563
2009-09-01 00:00:00+00:00,-0.00072621
2009-09-02 00:00:00+00:00,0.03830778
2009-09-03 00:00:00+00:00,-0.00843244
2009-09-04 00:00:00+00:00,0.02885611
2009-09-07 00:00:00+00:00,0.07042480
2009-09-08 00:00:00+00:00,0.00266053
2009-09-09 00:00:00+00:00,0.00132189
2009-09-10 00:00:00+00:00,-0.02209032
2009-09-11 00:00:00+00:00,0.01419174
2009-09-14 00:00:00+00:00,0.02283280
2009-09-15 00:00:00+00:00,-0.00400320
2009-09-16 00:00:00+00:00,0.01329970
2009-09-17 00:00:00+00:00,0.01585762
2009-09-18 00:00:00+00:00,-0.01445065
2009-09-21 00:00:00+00:00,-0.04495890
2009-09-22 00:00:00+00:00,0.00268900
2009-09-23 00:00:00+00:00,-0.00337435
2009-09-24 00:00:00+00:00,-0.10428088
2009-09-25 00:00:00+00:00,0.00069862
2009-09-28 00:00:00+00:00,0.00355511
2009-09-29 00:00:00+00:00,-0.02135584
2009-09-30 00:00:00+00:00,-0.00289475
2009-10-01 00:00:00+00:00,0.00432620
2009-10-02 00:00:00+00:00,0.02729610
2009-10-05 00:00:00+00:00,-0.00852695
2009-10-06 00:00:00+00:00,0.06048264
2009-10-07 00:00:00+00:00,0.02486315
2009-10-08 00:00:00+00:00,0.05732292
2009-10-09 00:00:00+00:00,-0.02659301
2009-10-12 00:00:00+00:00,0.01480022
2009-10-13 00:00:00+00:00,-0.05408672
2009-10-14 00:00:00+00:00,0.02532725
2009-10-15 00:00:00+00:00,-0.00271929
2009-10-16 00:00:00+00:00,0.02435905
2009-10-19 00:00:00+00:00,0.00065370
2009-10-20 00:00:00+00:00,-0.01940006
2009-10-21 00:00:00+00:00,0.00673297
2009-10-22 00:00:00+00:00,-0.01479924
2009-10-23 00:00:00+00:00,-0.09737755
2009-10-26 00:00:00+00:00,0.00282449
2009-10-27 00:00:00+00:00,0.03967257
2009-10-28 00:00:00+00:00,-0.00071085
2009-10-29 00:00:00+00:00,0.02084748
2009-10-30 00:00:00+00:00,-0.03025518
2009-11-02 00:00:00+00:00,0.06357742
2009-11-03 00:00:00+00:00,-0.02845071
2009-11-04 00:00:00+00:00,-0.00759004
2009-11-05 00:00:00+00:00,-0.00277856
2009-11-06 00:00:00+00:00,-0.00693510
2009-11-09 00:00:00+00:00,-0.03893048
2009-11-10 00:00:00+00:00,-0.13429065
2009-11-11 00:00:00+00:00,0.04165141
2009-11-12 00:00:00+00:00,-0.03292564
2009-11-13 00:00:00+00:00,-0.01144012
2009-11-16 00:00:00+00:00,0.05051982
2009-11-17 00:00:00+00:00,-0.01569964
2009-11-18 00:00:00+00:00,0.03914160
2009-11-19 00:00:00+00:00,-0.03694249
2009-11-20 00:00:00+00:00,0.02259280
2009-11-23 00:00:00+00:00,0.01040165
2009-11-24 00:00:00+00:00,-0.02968906
2009-11-25 00:00:00+00:00,0.01805692
2009-11-26 00:00:00+00:00,-0.01344842
2009-11-27 00:00:00+00:00,0.00148767
2009-11-30 00:00:00+00:00,0.01650069
2009-12-01 00:00:00+00:00,0.02289357
2009-12-02 00:00:00+00:00,-0.01660778
2009-12-03 00:00:00+00:00,0.01455159
2009-12-04 00:00:00+00:00,-0.03833780
2009-12-07 00:00:00+00:00,0.08110657
2009-12-08 00:00:00+00:00,-0.03053280
2009-12-09 00:00:00+00:00,0.02592220
2009-12-10 00:00:00+00:00,0.01136533
2009-12-11 00:00:00+00:00,-0.02478420
2009-12-14 00:00:00+00:00,0.00931146
2009-12-15 00:00:00+00:00,0.00283810
2009-12-16 00:00:00+00:00,0.00140981
2009-12-17 00:00:00+00:00,-0.03200689
2009-12-18 00:00:00+00:00,-0.03248232
2009-12-21 00:00:00+00:00,-0.02934069
2009-12-22 00:00:00+00:00,-0.02382557
2009-12-23 00:00:00+00:00,0.00977319
2009-12-24 00:00:00+00:00,-0.01200066
2009-12-29 00:00:00+00:00,-0.03995675
2009-12-30 00:00:00+00:00,0.02611823
2009-12-31 00:00:00+00:00,0.02350419
2010-01-04 00:00:00+00:00,0.04427819
2010-01-05 00:00:00+00:00,-0.00954694
2010-01-06 00:00:00+00:00,0.03535666
2010-01-07 00:00:00+00:00,0.01157039
2010-01-08 00:00:00+00:00,0.01727589
2010-01-11 00:00:00+00:00,-0.02072881
2010-01-12 00:00:00+00:00,0.01586957
2010-01-13 00:00:00+00:00,0.00285006
2010-01-14 00:00:00+00:00,-0.00287631
2010-01-15 00:00:00+00:00,-0.03010125
2010-01-18 00:00:00+00:00,-0.00292440
2010-01-19 00:00:00+00:00,-0.00437570
2010-01-20 00:00:00+00:00,-0.03716022
2010-01-21 00:00:00+00:00,-0.02306358
2010-01-22 00:00:00+00:00,0.04972070
2010-01-25 00:00:00+00:00,0.00586662
2010-01-26 00:00:00+00:00,-0.02494255
2010-01-27 00:00:00+00:00,-0.02080297
2010-01-28 00:00:00+00:00,-0.00451743
2010-01-29 00:00:00+00:00,-0.00452764
2010-02-01 00:00:00+00:00,0.02341137
2010-02-02 00:00:00+00:00,0.02508950
2010-02-03 00:00:00+00:00,-0.02188272
2010-02-04 00:00:00+00:00,-0.01991329
2010-02-05 00:00:00+00:00,-0.02159399
2010-02-08 00:00:00+00:00,0.00073499
2010-02-09 00:00:00+00:00,0.00374209
2010-02-10 00:00:00+00:00,-0.00828172
2010-02-11 00:00:00+00:00,0.00828481
2010-02-12 00:00:00+00:00,-0.00377358
2010-02-15 00:00:00+00:00,-0.01657074
2010-02-16 00:00:00+00:00,-0.00153436
2010-02-17 00:00:00+00:00,-0.01140093
2010-02-18 00:00:00+00:00,-0.00688764
2010-02-19 00:00:00+00:00,-0.00461166
2010-02-22 00:00:00+00:00,-0.06371631
2010-02-23 00:00:00+00:00,0.00077393
2010-02-24 00:00:00+00:00,0.01107270
2010-02-25 00:00:00+00:00,-0.02283510
2010-02-26 00:00:00+00:00,0.03731288
2010-03-01 00:00:00+00:00,0.03191284
2010-03-02 00:00:00+00:00,-0.02474798
2010-03-03 00:00:00+00:00,0.00545440
2010-03-04 00:00:00+00:00,-0.06154528
2010-03-05 00:00:00+00:00,-0.02163631
2010-03-08 00:00:00+00:00,-0.01625320
2010-03-09 00:00:00+00:00,0.04253341
2010-03-10 00:00:00+00:00,-0.01849367
2010-03-11 00:00:00+00:00,-0.00083051
2010-03-12 00:00:00+00:00,-0.00810365
2010-03-15 00:00:00+00:00,-0.00326421
2010-03-16 00:00:00+00:00,0.00895961
2010-03-17 00:00:00+00:00,0.02760001
2010-03-18 00:00:00+00:00,0.03042898
2010-03-19 00:00:00+00:00,-0.01975124
2010-03-22 00:00:00+00:00,0.02382844
2010-03-23 00:00:00+00:00,0.02197638
2010-03-24 00:00:00+00:00,-0.00001887
2010-03-25 00:00:00+00:00,0.08546628
2010-03-26 00:00:00+00:00,-0.00448959
2010-03-29 00:00:00+00:00,0.04777904
2010-03-30 00:00:00+00:00,-0.02190033
2010-03-31 00:00:00+00:00,-0.00001822
2010-04-01 00:00:00+00:00,0.02433178
2010-04-06 00:00:00+00:00,0.01079436
2010-04-07 00:00:00+00:00,-0.02507200
2010-04-08 00:00:00+00:00,-0.00943839
2010-04-09 00:00:00+00:00,0.00289308
2010-04-12 00:00:00+00:00,0.01815083
2010-04-13 00:00:00+00:00,-0.00866370
2010-04-14 00:00:00+00:00,0.00359720
2010-04-15 00:00:00+00:00,-0.00001818
2010-04-16 00:00:00+00:00,-0.00505487
2010-04-19 00:00:00+00:00,-0.04343327
2010-04-20 00:00:00+00:00,-0.02440821
2010-04-21 00:00:00+00:00,-0.02022793
2010-04-22 00:00:00+00:00,0.01207514
2010-04-23 00:00:00+00:00,0.00749443
2010-04-26 00:00:00+00:00,-0.01199468
2010-04-27 00:00:00+00:00,-0.06628350
2010-04-28 00:00:00+00:00,0.03500065
2010-04-29 00:00:00+00:00,0.02291635
2010-04-30 00:00:00+00:00,0.01737877
2010-05-04 00:00:00+00:00,0.06889477
2010-05-05 00:00:00+00:00,-0.01017819
2010-05-06 00:00:00+00:00,-0.02921404
2010-05-07 00:00:00+00:00,0.02734947
2010-05-10 00:00:00+00:00,0.01456962
2010-05-11 00:00:00+00:00,0.01947637
2010-05-12 00:00:00+00:00,0.01929522
2010-05-13 00:00:00+00:00,-0.01422264
2010-05-14 00:00:00+00:00,-0.03710759
2010-05-17 00:00:00+00:00,-0.03272140
2010-05-18 00:00:00+00:00,0.02512934
2010-05-19 00:00:00+00:00,-0.04822915
2010-05-20 00:00:00+00:00,-0.00301239
2010-05-21 00:00:00+00:00,-0.00001872
2010-05-24 00:00:00+00:00,-0.00825024
2010-05-25 00:00:00+00:00,0.00073300
2010-05-26 00:00:00+00:00,0.00825175
2010-05-27 00:00:00+00:00,0.00972620
2010-05-28 00:00:00+00:00,0.00147826
2010-06-01 00:00:00+00:00,0.03512283
2010-06-02 00:00:00+00:00,-0.01661072
2010-06-03 00:00:00+00:00,0.01236390
2010-06-04 00:00:00+00:00,-0.01448920
2010-06-07 00:00:00+00:00,0.00216959
2010-06-08 00:00:00+00:00,0.00362451
2010-06-09 00:00:00+00:00,0.05380159
2010-06-10 00:00:00+00:00,0.11085791
2010-06-11 00:00:00+00:00,0.09367066
2010-06-14 00:00:00+00:00,0.02754446
2010-06-15 00:00:00+00:00,-0.00322418
2010-06-16 00:00:00+00:00,0.00508068
2010-06-17 00:00:00+00:00,-0.02428041
2010-06-18 00:00:00+00:00,0.01481420
2010-06-21 00:00:00+00:00,-0.00192503
