Date,FTSE250
2000-06-23 00:00:00+00:00,-0.01630435
2000-06-26 00:00:00+00:00,0.01613394
2000-06-27 00:00:00+00:00,0.00150989
2000-06-28 00:00:00+00:00,0.00060350
2000-06-29 00:00:00+00:00,-0.01206637
2000-07-03 00:00:00+00:00,0.02154780
2000-07-04 00:00:00+00:00,-0.00015013
2000-07-05 00:00:00+00:00,-0.00345293
2000-07-06 00:00:00+00:00,0.00015040
2000-07-07 00:00:00+00:00,0.00556391
2000-07-10 00:00:00+00:00,0.00704753
2000-07-11 00:00:00+00:00,0.00164400
2000-07-12 00:00:00+00:00,0.00880991
2000-07-13 00:00:00+00:00,-0.00267618
2000-07-14 00:00:00+00:00,0.02009826
2000-07-17 00:00:00+00:00,0.01385613
2000-07-18 00:00:00+00:00,-0.01303075
2000-07-19 00:00:00+00:00,0.01164162
2000-07-20 00:00:00+00:00,0.00981685
2000-07-21 00:00:00+00:00,-0.00510278
2000-07-24 00:00:00+00:00,0.00511546
2000-07-25 00:00:00+00:00,-0.00568679
2000-07-26 00:00:00+00:00,-0.00716374
2000-07-27 00:00:00+00:00,-0.00278797
2000-07-28 00:00:00+00:00,-0.00837619
2000-07-31 00:00:00+00:00,-0.00442674
2000-08-01 00:00:00+00:00,0.00517675
2000-08-02 00:00:00+00:00,-0.00044254
2000-08-03 00:00:00+00:00,-0.02213369
2000-08-04 00:00:00+00:00,0.01536625
2000-08-07 00:00:00+00:00,0.00074041
2000-08-08 00:00:00+00:00,0.00562380
2000-08-09 00:00:00+00:00,0.01298893
2000-08-10 00:00:00+00:00,0.00769908
2000-08-11 00:00:00+00:00,0.00452852
2000-08-14 00:00:00+00:00,0.00065583
2000-08-15 00:00:00+00:00,0.01544514
2000-08-16 00:00:00+00:00,0.00028918
2000-08-17 00:00:00+00:00,-0.00318057
2000-08-18 00:00:00+00:00,0.00506806
2000-08-21 00:00:00+00:00,-0.00130001
2000-08-22 00:00:00+00:00,-0.00216794
2000-08-23 00:00:00+00:00,-0.00202546
2000-08-24 00:00:00+00:00,0.00767560
2000-08-25 00:00:00+00:00,0.00028852
2000-08-29 00:00:00+00:00,0.01031448
2000-08-30 00:00:00+00:00,0.01198507
2000-08-31 00:00:00+00:00,0.01626480
2000-09-01 00:00:00+00:00,0.01415228
2000-09-04 00:00:00+00:00,0.01096121
2000-09-05 00:00:00+00:00,-0.02895226
2000-09-06 00:00:00+00:00,-0.00950355
2000-09-07 00:00:00+00:00,-0.00491663
