Date,SGX
2000-12-29 00:00:00+00:00,0.01363398
2001-01-02 00:00:00+00:00,-0.03334120
2001-01-03 00:00:00+00:00,-0.03707627
2001-01-04 00:00:00+00:00,0.06260119
2001-01-05 00:00:00+00:00,0.06802721
2001-01-08 00:00:00+00:00,-0.00910931
2001-01-09 00:00:00+00:00,0.01225741
2001-01-10 00:00:00+00:00,-0.00406091
2001-01-11 00:00:00+00:00,-0.05798576
2001-01-12 00:00:00+00:00,0.01990571
2001-01-15 00:00:00+00:00,0.00726141
2001-01-16 00:00:00+00:00,-0.00930233
2001-01-17 00:00:00+00:00,-0.02076843
2001-01-18 00:00:00+00:00,-0.03567681
2001-01-19 00:00:00+00:00,0.04594017
2001-01-22 00:00:00+00:00,-0.00626632
2001-01-23 00:00:00+00:00,0.00628601
2001-01-26 00:00:00+00:00,-0.00208877
2001-01-29 00:00:00+00:00,0.03345531
2001-01-30 00:00:00+00:00,0.01336761
2001-01-31 00:00:00+00:00,0.02144275
2001-02-01 00:00:00+00:00,-0.00606367
2001-02-02 00:00:00+00:00,0.00101368
2001-02-05 00:00:00+00:00,-0.01722391
2001-02-06 00:00:00+00:00,-0.00408789
2001-02-07 00:00:00+00:00,-0.00512033
2001-02-08 00:00:00+00:00,0.03808543
2001-02-09 00:00:00+00:00,-0.00707071
2001-02-12 00:00:00+00:00,0.01723264
2001-02-13 00:00:00+00:00,0.00000000
2001-02-14 00:00:00+00:00,-0.02010050
2001-02-15 00:00:00+00:00,0.00812183
2001-02-16 00:00:00+00:00,-0.00606673
2001-02-19 00:00:00+00:00,-0.01724138
2001-02-20 00:00:00+00:00,0.02148338
2001-02-21 00:00:00+00:00,-0.00404858
2001-02-22 00:00:00+00:00,-0.01419878
2001-02-23 00:00:00+00:00,-0.00408580
2001-02-26 00:00:00+00:00,0.00511771
2001-02-27 00:00:00+00:00,-0.01532161
2001-02-28 00:00:00+00:00,0.00102881
2001-03-01 00:00:00+00:00,-0.02982005
2001-03-02 00:00:00+00:00,0.00104384
2001-03-05 00:00:00+00:00,-0.00104330
2001-03-07 00:00:00+00:00,0.00365344
2001-03-08 00:00:00+00:00,0.00000000
2001-03-09 00:00:00+00:00,-0.01872075
2001-03-12 00:00:00+00:00,-0.04934383
2001-03-13 00:00:00+00:00,-0.04198062
2001-03-14 00:00:00+00:00,-0.03628367
2001-03-15 00:00:00+00:00,0.01567749
2001-03-16 00:00:00+00:00,-0.03222222
2001-03-19 00:00:00+00:00,-0.04968944
2001-03-20 00:00:00+00:00,0.00347423
2001-03-21 00:00:00+00:00,0.00346821
2001-03-22 00:00:00+00:00,-0.06116561
2001-03-23 00:00:00+00:00,0.04642857
2001-03-26 00:00:00+00:00,0.00988947
2001-03-27 00:00:00+00:00,-0.04753623
2001-03-28 00:00:00+00:00,-0.04156770
2001-03-29 00:00:00+00:00,-0.03274712
2001-03-30 00:00:00+00:00,0.05918619
2001-04-02 00:00:00+00:00,-0.02875176
2001-04-03 00:00:00+00:00,0.00607533
2001-04-04 00:00:00+00:00,-0.03149606
2001-04-05 00:00:00+00:00,0.05538462
2001-04-06 00:00:00+00:00,-0.00119760
2001-04-09 00:00:00+00:00,-0.04254044
2001-04-10 00:00:00+00:00,0.00876095
2001-04-11 00:00:00+00:00,0.01246106
2001-04-12 00:00:00+00:00,-0.03715170
2001-04-16 00:00:00+00:00,0.00126183
2001-04-17 00:00:00+00:00,-0.04413619
2001-04-18 00:00:00+00:00,0.06318504
2001-04-19 00:00:00+00:00,0.04500000
2001-04-20 00:00:00+00:00,0.01833741
2001-04-23 00:00:00+00:00,0.02301635
2001-04-24 00:00:00+00:00,-0.00838323
2001-04-25 00:00:00+00:00,-0.01443175
2001-04-26 00:00:00+00:00,0.01938219
2001-04-27 00:00:00+00:00,0.01319736
2001-04-30 00:00:00+00:00,0.03217217
2001-05-02 00:00:00+00:00,0.03167155
2001-05-03 00:00:00+00:00,-0.00923788
2001-05-04 00:00:00+00:00,-0.03016241
2001-05-08 00:00:00+00:00,-0.00471143
2001-05-09 00:00:00+00:00,-0.01065089
2001-05-10 00:00:00+00:00,0.00832838
2001-05-11 00:00:00+00:00,0.01184834
2001-05-14 00:00:00+00:00,-0.03651355
2001-05-15 00:00:00+00:00,0.02039592
2001-05-16 00:00:00+00:00,-0.04156770
2001-05-17 00:00:00+00:00,0.04002426
2001-05-18 00:00:00+00:00,-0.01902497
2001-05-21 00:00:00+00:00,0.00000000
2001-05-22 00:00:00+00:00,0.01320528
