Date,COCOA_LDN
2000-06-23 00:00:00+00:00,-0.06697489
2000-06-26 00:00:00+00:00,-0.07241928
2000-06-27 00:00:00+00:00,0.01770757
2000-06-28 00:00:00+00:00,0.00624255
2000-06-29 00:00:00+00:00,-0.00985569
2000-06-30 00:00:00+00:00,-0.03736676
2000-07-03 00:00:00+00:00,-0.01503844
2000-07-04 00:00:00+00:00,0.04622205
2000-07-05 00:00:00+00:00,-0.00183286
2000-07-06 00:00:00+00:00,-0.01474921
2000-07-07 00:00:00+00:00,0.03730547
2000-07-10 00:00:00+00:00,-0.01781609
2000-07-11 00:00:00+00:00,0.02563222
2000-07-12 00:00:00+00:00,-0.02088581
2000-07-13 00:00:00+00:00,0.01101841
2000-07-14 00:00:00+00:00,-0.02095141
2000-07-17 00:00:00+00:00,0.06891468
2000-07-18 00:00:00+00:00,0.00735269
2000-07-19 00:00:00+00:00,0.00578221
2000-07-20 00:00:00+00:00,0.05359702
2000-07-21 00:00:00+00:00,-0.00021311
2000-07-24 00:00:00+00:00,-0.07742558
2000-07-25 00:00:00+00:00,-0.00627448
2000-07-26 00:00:00+00:00,0.00586388
2000-07-27 00:00:00+00:00,-0.01536793
2000-07-28 00:00:00+00:00,0.02115834
2000-07-31 00:00:00+00:00,-0.01834324
2000-08-01 00:00:00+00:00,-0.01088768
2000-08-02 00:00:00+00:00,0.00743958
2000-08-03 00:00:00+00:00,-0.07502622
2000-08-04 00:00:00+00:00,-0.03032785
2000-08-07 00:00:00+00:00,-0.04047669
2000-08-08 00:00:00+00:00,0.01948402
2000-08-09 00:00:00+00:00,-0.02786343
2000-08-10 00:00:00+00:00,0.03113249
2000-08-11 00:00:00+00:00,-0.00510058
2000-08-14 00:00:00+00:00,0.00304144
2000-08-15 00:00:00+00:00,-0.00510764
2000-08-16 00:00:00+00:00,-0.00839122
2000-08-17 00:00:00+00:00,-0.00514756
2000-08-18 00:00:00+00:00,0.00307318
2000-08-21 00:00:00+00:00,0.01129127
2000-08-22 00:00:00+00:00,-0.00348472
2000-08-23 00:00:00+00:00,-0.04760754
2000-08-24 00:00:00+00:00,0.04172430
2000-08-25 00:00:00+00:00,-0.01996081
2000-08-29 00:00:00+00:00,-0.00686743
2000-08-30 00:00:00+00:00,0.02982637
2000-08-31 00:00:00+00:00,0.03596051
2000-09-01 00:00:00+00:00,-0.00991485
2000-09-04 00:00:00+00:00,0.02899992
2000-09-05 00:00:00+00:00,-0.00662056
2000-09-06 00:00:00+00:00,0.00941212
2000-09-07 00:00:00+00:00,-0.02577769
2000-09-08 00:00:00+00:00,0.04509049
2000-09-11 00:00:00+00:00,0.02193484
2000-09-12 00:00:00+00:00,0.02169416
2000-09-13 00:00:00+00:00,-0.00021452
2000-09-14 00:00:00+00:00,0.01529012
2000-09-15 00:00:00+00:00,0.02286163
2000-09-18 00:00:00+00:00,0.00885672
2000-09-19 00:00:00+00:00,-0.01518457
2000-09-20 00:00:00+00:00,-0.01678028
2000-09-21 00:00:00+00:00,-0.02601097
2000-09-22 00:00:00+00:00,-0.02483033
2000-09-25 00:00:00+00:00,-0.01890721
2000-09-26 00:00:00+00:00,-0.00965047
2000-09-27 00:00:00+00:00,-0.01601532
2000-09-28 00:00:00+00:00,-0.01455037
2000-09-29 00:00:00+00:00,0.02546317
2000-10-02 00:00:00+00:00,-0.01448194
2000-10-03 00:00:00+00:00,0.01732481
2000-10-04 00:00:00+00:00,0.01876797
2000-10-05 00:00:00+00:00,0.06404408
2000-10-06 00:00:00+00:00,-0.02149509
2000-10-09 00:00:00+00:00,-0.00943356
2000-10-10 00:00:00+00:00,0.03064699
2000-10-11 00:00:00+00:00,-0.02449665
2000-10-12 00:00:00+00:00,-0.03247357
2000-10-13 00:00:00+00:00,0.00914400
2000-10-16 00:00:00+00:00,0.00288733
2000-10-17 00:00:00+00:00,0.00908264
2000-10-18 00:00:00+00:00,-0.00330603
2000-10-19 00:00:00+00:00,-0.00331113
2000-10-20 00:00:00+00:00,-0.04201540
2000-10-23 00:00:00+00:00,-0.01920799
2000-10-24 00:00:00+00:00,0.03811664
2000-10-25 00:00:00+00:00,-0.02843651
2000-10-26 00:00:00+00:00,0.01249678
2000-10-27 00:00:00+00:00,-0.06657297
2000-10-30 00:00:00+00:00,-0.02963426
2000-10-31 00:00:00+00:00,0.01304277
2000-11-01 00:00:00+00:00,-0.01340431
2000-11-02 00:00:00+00:00,0.02299258
2000-11-03 00:00:00+00:00,-0.00022529
2000-11-06 00:00:00+00:00,-0.02312415
2000-11-07 00:00:00+00:00,0.00309123
2000-11-08 00:00:00+00:00,-0.00685934
2000-11-09 00:00:00+00:00,0.00310222
2000-11-10 00:00:00+00:00,-0.02348100
2000-11-13 00:00:00+00:00,-0.05064527
2000-11-14 00:00:00+00:00,-0.00539786
2000-11-15 00:00:00+00:00,0.00150299
2000-11-16 00:00:00+00:00,-0.00715916
2000-11-17 00:00:00+00:00,-0.00022685
2000-11-20 00:00:00+00:00,-0.01582384
2000-11-21 00:00:00+00:00,-0.01248651
2000-11-22 00:00:00+00:00,-0.00022771
2000-11-23 00:00:00+00:00,-0.01774636
2000-11-24 00:00:00+00:00,-0.01618535
2000-11-27 00:00:00+00:00,-0.00201620
2000-11-28 00:00:00+00:00,-0.00022641
2000-11-29 00:00:00+00:00,0.01414349
2000-11-30 00:00:00+00:00,0.05137668
2000-12-01 00:00:00+00:00,-0.03147458
2000-12-04 00:00:00+00:00,0.00683287
2000-12-05 00:00:00+00:00,0.00858249
2000-12-06 00:00:00+00:00,-0.01250148
2000-12-07 00:00:00+00:00,0.01214649
2000-12-08 00:00:00+00:00,-0.01779540
2000-12-11 00:00:00+00:00,-0.04269828
2000-12-12 00:00:00+00:00,-0.01103161
2000-12-13 00:00:00+00:00,0.02871210
2000-12-14 00:00:00+00:00,-0.00016333
2000-12-15 00:00:00+00:00,0.00686654
2000-12-18 00:00:00+00:00,-0.00547995
2000-12-19 00:00:00+00:00,-0.00373080
2000-12-20 00:00:00+00:00,0.02982403
2000-12-21 00:00:00+00:00,0.06599704
2000-12-22 00:00:00+00:00,-0.01547755
2000-12-27 00:00:00+00:00,0.00150092
2000-12-28 00:00:00+00:00,-0.01041419
2000-12-29 00:00:00+00:00,-0.01054075
2001-01-02 00:00:00+00:00,0.01705858
2001-01-03 00:00:00+00:00,-0.02931763
2001-01-04 00:00:00+00:00,0.01547409
2001-01-05 00:00:00+00:00,0.08616115
2001-01-08 00:00:00+00:00,0.03498172
2001-01-09 00:00:00+00:00,-0.00347396
2001-01-10 00:00:00+00:00,-0.01330999
2001-01-11 00:00:00+00:00,0.05737041
2001-01-12 00:00:00+00:00,0.06700403
2001-01-15 00:00:00+00:00,0.08886797
2001-01-16 00:00:00+00:00,0.01327917
2001-01-17 00:00:00+00:00,0.06805649
2001-01-18 00:00:00+00:00,0.14184538
2001-01-19 00:00:00+00:00,-0.09402080
2001-01-22 00:00:00+00:00,0.06582668
2001-01-23 00:00:00+00:00,-0.01379150
2001-01-24 00:00:00+00:00,0.04520598
2001-01-25 00:00:00+00:00,0.04024475
2001-01-26 00:00:00+00:00,0.05397554
2001-01-29 00:00:00+00:00,0.05788363
2001-01-30 00:00:00+00:00,-0.02284868
2001-01-31 00:00:00+00:00,-0.05869864
2001-02-01 00:00:00+00:00,0.02469312
2001-02-02 00:00:00+00:00,0.01661704
2001-02-05 00:00:00+00:00,-0.00909632
2001-02-06 00:00:00+00:00,0.05084256
2001-02-07 00:00:00+00:00,-0.02889173
2001-02-08 00:00:00+00:00,-0.01794367
2001-02-09 00:00:00+00:00,-0.00784991
2001-02-12 00:00:00+00:00,0.03571985
2001-02-13 00:00:00+00:00,0.05285317
2001-02-14 00:00:00+00:00,0.01090640
2001-02-15 00:00:00+00:00,-0.01610842
2001-02-16 00:00:00+00:00,0.08748094
2001-02-19 00:00:00+00:00,0.06262253
2001-02-20 00:00:00+00:00,0.01938841
2001-02-21 00:00:00+00:00,0.02039877
2001-02-22 00:00:00+00:00,0.00210143
2001-02-23 00:00:00+00:00,-0.01495826
2001-02-26 00:00:00+00:00,-0.07902424
2001-02-27 00:00:00+00:00,0.00336437
2001-02-28 00:00:00+00:00,0.05848526
2001-03-01 00:00:00+00:00,-0.02076290
2001-03-02 00:00:00+00:00,-0.03617195
2001-03-05 00:00:00+00:00,0.04120330
2001-03-06 00:00:00+00:00,-0.08947369
2001-03-07 00:00:00+00:00,0.00231070
2001-03-08 00:00:00+00:00,-0.03210730
2001-03-09 00:00:00+00:00,0.02979657
