Date,MUMMY
2018-11-29 00:00:00+00:00,0.01506024
2018-11-30 00:00:00+00:00,0.00000000
2018-12-03 00:00:00+00:00,0.03857567
2018-12-04 00:00:00+00:00,-0.02911977
2018-12-05 00:00:00+00:00,-0.00983284
2018-12-06 00:00:00+00:00,-0.06126482
2018-12-07 00:00:00+00:00,-0.00101937
2018-12-10 00:00:00+00:00,-0.06727829
2018-12-11 00:00:00+00:00,-0.02742616
2018-12-12 00:00:00+00:00,0.03796095
2018-12-13 00:00:00+00:00,0.00313480
2018-12-14 00:00:00+00:00,-0.01875000
2018-12-17 00:00:00+00:00,-0.03290870
2018-12-18 00:00:00+00:00,-0.03951701
2018-12-19 00:00:00+00:00,0.01257143
2018-12-20 00:00:00+00:00,-0.05417607
2018-12-21 00:00:00+00:00,-0.03221957
2018-12-25 00:00:00+00:00,-0.06658446
2018-12-26 00:00:00+00:00,0.02509908
2018-12-27 00:00:00+00:00,0.06572165
2018-12-28 00:00:00+00:00,-0.01813785
2019-01-04 00:00:00+00:00,0.01847291
2019-01-07 00:00:00+00:00,0.03869407
2019-01-08 00:00:00+00:00,0.03259604
2019-01-09 00:00:00+00:00,0.01014656
2019-01-10 00:00:00+00:00,-0.01116071
2019-01-11 00:00:00+00:00,0.00451467
2019-01-15 00:00:00+00:00,0.02696629
2019-01-16 00:00:00+00:00,0.00765864
2019-01-17 00:00:00+00:00,0.01845820
2019-01-18 00:00:00+00:00,0.01385928
2019-01-21 00:00:00+00:00,-0.01261830
2019-01-22 00:00:00+00:00,-0.00851970
2019-01-23 00:00:00+00:00,0.01074114
2019-01-24 00:00:00+00:00,0.01062699
2019-01-25 00:00:00+00:00,0.01787592
2019-01-28 00:00:00+00:00,-0.01859504
2019-01-29 00:00:00+00:00,0.01157895
2019-01-30 00:00:00+00:00,-0.08116545
2019-01-31 00:00:00+00:00,0.01698754
2019-02-01 00:00:00+00:00,-0.01224944
2019-02-04 00:00:00+00:00,-0.00901917
2019-02-05 00:00:00+00:00,-0.01137656
2019-02-06 00:00:00+00:00,0.00690449
2019-02-07 00:00:00+00:00,-0.00571429
2019-02-08 00:00:00+00:00,-0.01954023
2019-02-12 00:00:00+00:00,0.01055100
2019-02-13 00:00:00+00:00,0.01508121
2019-02-14 00:00:00+00:00,-0.00228571
2019-02-15 00:00:00+00:00,-0.01260023
2019-02-18 00:00:00+00:00,0.01508121
2019-02-19 00:00:00+00:00,0.00914286
2019-02-20 00:00:00+00:00,0.00906002
2019-02-21 00:00:00+00:00,0.01459035
2019-02-22 00:00:00+00:00,0.01438053
2019-02-25 00:00:00+00:00,0.01635769
2019-02-26 00:00:00+00:00,0.00107296
2019-02-27 00:00:00+00:00,0.00643087
2019-02-28 00:00:00+00:00,-0.02236422
2019-03-01 00:00:00+00:00,0.01193257
2019-03-04 00:00:00+00:00,-0.00107643
2019-03-05 00:00:00+00:00,0.01279318
2019-03-06 00:00:00+00:00,0.00529661
2019-03-07 00:00:00+00:00,-0.03801478
2019-03-08 00:00:00+00:00,-0.03229279
2019-03-11 00:00:00+00:00,0.01223582
2019-03-12 00:00:00+00:00,0.02197802
2019-03-13 00:00:00+00:00,0.00860215
2019-03-14 00:00:00+00:00,-0.00746269
2019-03-15 00:00:00+00:00,-0.00859291
2019-03-18 00:00:00+00:00,0.01841820
2019-03-19 00:00:00+00:00,-0.00425532
2019-03-20 00:00:00+00:00,0.00534188
2019-03-22 00:00:00+00:00,-0.00318810
2019-03-25 00:00:00+00:00,-0.01385928
2019-03-26 00:00:00+00:00,0.01513514
2019-03-27 00:00:00+00:00,0.02342918
2019-03-28 00:00:00+00:00,-0.00520291
2019-03-29 00:00:00+00:00,0.00000000
2019-04-01 00:00:00+00:00,-0.01359833
