Date,VNKI
2021-06-08 00:00:00+00:00,-0.03248260
2021-06-09 00:00:00+00:00,0.10311751
2021-06-10 00:00:00+00:00,-0.02826087
2021-06-11 00:00:00+00:00,-0.05739514
2021-06-14 00:00:00+00:00,-0.05580357
2021-06-15 00:00:00+00:00,-0.00913242
2021-06-16 00:00:00+00:00,-0.01822323
2021-06-17 00:00:00+00:00,-0.00232558
2021-06-18 00:00:00+00:00,-0.00000000
2021-06-21 00:00:00+00:00,0.16509434
2021-06-22 00:00:00+00:00,-0.11111111
2021-06-23 00:00:00+00:00,-0.04872390
2021-06-24 00:00:00+00:00,0.03720930
2021-06-25 00:00:00+00:00,-0.03348214
2021-06-28 00:00:00+00:00,-0.06136364
2021-06-29 00:00:00+00:00,-0.00710900
2021-06-30 00:00:00+00:00,0.00236967
2021-07-01 00:00:00+00:00,0.02905569
2021-07-02 00:00:00+00:00,-0.08173077
2021-07-05 00:00:00+00:00,-0.00000000
2021-07-06 00:00:00+00:00,-0.01717386
2021-07-07 00:00:00+00:00,0.09429280
2021-07-08 00:00:00+00:00,0.13126492
2021-07-09 00:00:00+00:00,-0.09756098
2021-07-12 00:00:00+00:00,-0.05854801
2021-07-13 00:00:00+00:00,0.00000000
2021-07-14 00:00:00+00:00,0.01463415
2021-07-15 00:00:00+00:00,0.03864734
2021-07-16 00:00:00+00:00,0.04929577
2021-07-19 00:00:00+00:00,0.01348315
2021-07-20 00:00:00+00:00,0.06222222
2021-07-21 00:00:00+00:00,-0.02643172
2021-07-26 00:00:00+00:00,-0.04666667
2021-07-27 00:00:00+00:00,-0.00451467
2021-07-28 00:00:00+00:00,0.04566210
2021-07-29 00:00:00+00:00,-0.02466368
2021-07-30 00:00:00+00:00,0.09662921
2021-08-02 00:00:00+00:00,-0.03655914
2021-08-03 00:00:00+00:00,-0.02882483
2021-08-04 00:00:00+00:00,-0.02272727
2021-08-05 00:00:00+00:00,-0.05657809
2021-08-06 00:00:00+00:00,-0.02088167
2021-08-10 00:00:00+00:00,-0.03791469
2021-08-11 00:00:00+00:00,-0.03140097
2021-08-12 00:00:00+00:00,0.11221945
2021-08-13 00:00:00+00:00,-0.03363229
2021-08-14 00:00:00+00:00,-0.03619910
2021-08-16 00:00:00+00:00,0.10798122
2021-08-17 00:00:00+00:00,0.01525054
2021-08-18 00:00:00+00:00,-0.04282655
2021-08-19 00:00:00+00:00,0.06986900
2021-08-20 00:00:00+00:00,0.04506438
2021-08-23 00:00:00+00:00,-0.10208333
2021-08-24 00:00:00+00:00,-0.04772234
2021-08-25 00:00:00+00:00,0.01327434
2021-08-26 00:00:00+00:00,-0.00218818
2021-08-27 00:00:00+00:00,0.00218818
2021-08-28 00:00:00+00:00,0.00218818
2021-08-30 00:00:00+00:00,-0.06550218
2021-08-31 00:00:00+00:00,-0.09589041
2021-09-01 00:00:00+00:00,-0.04470588
2021-09-02 00:00:00+00:00,0.05739927
2021-09-03 00:00:00+00:00,-0.02386635
2021-09-06 00:00:00+00:00,0.09466019
2021-09-07 00:00:00+00:00,0.05392157
2021-09-08 00:00:00+00:00,0.00724638
2021-09-09 00:00:00+00:00,0.12949640
2021-09-10 00:00:00+00:00,-0.03184713
2021-09-11 00:00:00+00:00,0.01301518
2021-09-13 00:00:00+00:00,-0.03470716
2021-09-14 00:00:00+00:00,0.02173913
2021-09-15 00:00:00+00:00,-0.01931330
2021-09-16 00:00:00+00:00,-0.00214592
2021-09-17 00:00:00+00:00,0.01061571
2021-09-21 00:00:00+00:00,0.10660981
2021-09-22 00:00:00+00:00,0.01016260
2021-09-24 00:00:00+00:00,-0.09859155
2021-09-27 00:00:00+00:00,-0.01483051
2021-09-28 00:00:00+00:00,0.00000000
2021-09-29 00:00:00+00:00,0.02777778
2021-09-30 00:00:00+00:00,-0.02350427
2021-10-01 00:00:00+00:00,0.07692308
2021-10-04 00:00:00+00:00,0.02631579
2021-10-05 00:00:00+00:00,0.06048387
2021-10-06 00:00:00+00:00,0.03732809
2021-10-07 00:00:00+00:00,-0.09037328
2021-10-08 00:00:00+00:00,-0.01574803
2021-10-11 00:00:00+00:00,-0.04330709
2021-10-12 00:00:00+00:00,0.02165354
2021-10-13 00:00:00+00:00,-0.05708661
2021-10-14 00:00:00+00:00,-0.08884298
2021-10-15 00:00:00+00:00,-0.05708245
2021-10-18 00:00:00+00:00,0.00000000
2021-10-19 00:00:00+00:00,-0.08932462
2021-10-20 00:00:00+00:00,0.01818182
2021-10-21 00:00:00+00:00,0.05393258
2021-10-22 00:00:00+00:00,-0.03973510
2021-10-25 00:00:00+00:00,0.03118040
2021-10-26 00:00:00+00:00,-0.05676856
2021-10-27 00:00:00+00:00,0.05191874
2021-10-28 00:00:00+00:00,-0.06535948
2021-10-29 00:00:00+00:00,0.00677201
2021-11-01 00:00:00+00:00,-0.08390023
2021-11-02 00:00:00+00:00,0.01418440
2021-11-04 00:00:00+00:00,-0.04513064
2021-11-05 00:00:00+00:00,0.02689487
2021-11-08 00:00:00+00:00,0.00490196
2021-11-09 00:00:00+00:00,0.00985222
2021-11-10 00:00:00+00:00,0.01488834
2021-11-11 00:00:00+00:00,-0.00244499
2021-11-12 00:00:00+00:00,-0.05637255
2021-11-15 00:00:00+00:00,-0.01558442
