Date,BITCOIN
2018-05-21 00:00:00+00:00,-0.04084014
2018-05-22 00:00:00+00:00,-0.10727056
2018-05-23 00:00:00+00:00,-0.09622642
2018-05-24 00:00:00+00:00,-0.00661376
2018-05-25 00:00:00+00:00,-0.00463883
2018-05-28 00:00:00+00:00,-0.02330226
2018-05-29 00:00:00+00:00,0.01772324
2018-05-30 00:00:00+00:00,-0.01674481
2018-05-31 00:00:00+00:00,0.03814714
2018-06-01 00:00:00+00:00,-0.01843318
2018-06-03 00:00:00+00:00,0.04024145
2018-06-04 00:00:00+00:00,-0.03803997
2018-06-05 00:00:00+00:00,0.03326680
2018-06-06 00:00:00+00:00,-0.00130804
2018-06-07 00:00:00+00:00,0.00916830
2018-06-08 00:00:00+00:00,-0.00324465
2018-06-10 00:00:00+00:00,-0.12434896
2018-06-11 00:00:00+00:00,0.00297398
2018-06-12 00:00:00+00:00,-0.02742772
2018-06-13 00:00:00+00:00,-0.04573171
2018-06-14 00:00:00+00:00,0.06709265
2018-06-15 00:00:00+00:00,-0.02095808
2018-06-18 00:00:00+00:00,0.02981651
2018-06-19 00:00:00+00:00,0.00146490
2018-06-20 00:00:00+00:00,-0.00444774
2018-06-21 00:00:00+00:00,0.00223380
2018-06-22 00:00:00+00:00,-0.10549777
2018-06-24 00:00:00+00:00,0.01411960
2018-06-25 00:00:00+00:00,-0.21867322
2018-06-26 00:00:00+00:00,-0.03891978
2018-06-27 00:00:00+00:00,-0.01618123
2018-06-28 00:00:00+00:00,-0.03752039
2018-06-29 00:00:00+00:00,-0.03833605
2018-07-02 00:00:00+00:00,0.25170068
2018-07-03 00:00:00+00:00,-0.02569917
2018-07-04 00:00:00+00:00,0.04681504
2018-07-05 00:00:00+00:00,-0.06711409
2018-07-06 00:00:00+00:00,0.01780186
2018-07-09 00:00:00+00:00,0.04562738
2018-07-10 00:00:00+00:00,-0.09602401
2018-07-11 00:00:00+00:00,-0.01965409
2018-07-12 00:00:00+00:00,-0.04825949
2018-07-13 00:00:00+00:00,-0.00897227
2018-07-16 00:00:00+00:00,0.18040816
2018-07-17 00:00:00+00:00,0.19204801
2018-07-18 00:00:00+00:00,0.00339580
2018-07-19 00:00:00+00:00,0.04309166
2018-07-20 00:00:00+00:00,-0.03938585
2018-07-22 00:00:00+00:00,0.01092150
2018-07-23 00:00:00+00:00,0.09993248
2018-07-24 00:00:00+00:00,0.07498384
2018-07-25 00:00:00+00:00,-0.00479904
2018-07-26 00:00:00+00:00,-0.04581073
2018-07-27 00:00:00+00:00,0.03600758
2018-07-29 00:00:00+00:00,-0.00243902
2018-07-30 00:00:00+00:00,-0.00366748
2018-07-31 00:00:00+00:00,-0.05521472
2018-08-01 00:00:00+00:00,-0.01818182
2018-08-02 00:00:00+00:00,-0.00462963
2018-08-03 00:00:00+00:00,-0.01993355
2018-08-05 00:00:00+00:00,-0.14440678
2018-08-06 00:00:00+00:00,-0.03627312
2018-08-07 00:00:00+00:00,0.00000000
2018-08-08 00:00:00+00:00,-0.15178571
2018-08-09 00:00:00+00:00,0.01895735
2018-08-10 00:00:00+00:00,-0.02948022
2018-08-12 00:00:00+00:00,-0.00239808
2018-08-13 00:00:00+00:00,-0.01181102
2018-08-14 00:00:00+00:00,-0.05737052
2018-08-15 00:00:00+00:00,0.11616572
2018-08-16 00:00:00+00:00,-0.02801556
2018-08-17 00:00:00+00:00,0.01176471
2018-08-19 00:00:00+00:00,0.01160751
2018-08-20 00:00:00+00:00,-0.03245750
2018-08-21 00:00:00+00:00,0.02156550
2018-08-22 00:00:00+00:00,-0.05120248
2018-08-23 00:00:00+00:00,0.05515588
2018-08-24 00:00:00+00:00,0.04304381
2018-08-26 00:00:00+00:00,0.01368821
2018-08-27 00:00:00+00:00,0.00900225
2018-08-28 00:00:00+00:00,0.05353160
2018-08-29 00:00:00+00:00,-0.01058574
2018-08-30 00:00:00+00:00,-0.02282454
2018-08-31 00:00:00+00:00,0.02627737
2018-09-03 00:00:00+00:00,0.02631579
2018-09-04 00:00:00+00:00,0.01940402
2018-09-05 00:00:00+00:00,-0.05846363
2018-09-06 00:00:00+00:00,-0.07364621
2018-09-07 00:00:00+00:00,-0.00077942
2018-09-10 00:00:00+00:00,-0.02964119
2018-09-11 00:00:00+00:00,0.00160772
2018-09-12 00:00:00+00:00,0.00882825
2018-09-13 00:00:00+00:00,0.01909308
2018-09-14 00:00:00+00:00,-0.00702576
2018-09-17 00:00:00+00:00,-0.05484655
2018-09-18 00:00:00+00:00,-0.00728155
2018-09-19 00:00:00+00:00,0.02388535
2018-09-20 00:00:00+00:00,0.04806935
2018-09-21 00:00:00+00:00,0.03618168
2018-09-24 00:00:00+00:00,-0.02019447
2018-09-25 00:00:00+00:00,-0.03440539
2018-09-26 00:00:00+00:00,-0.00673149
2018-09-27 00:00:00+00:00,0.05692308
2018-09-28 00:00:00+00:00,-0.01795064
2018-09-30 00:00:00+00:00,-0.01058201
2018-10-01 00:00:00+00:00,-0.01436130
2018-10-02 00:00:00+00:00,-0.01297710
2018-10-03 00:00:00+00:00,-0.02690238
2018-10-04 00:00:00+00:00,0.04368175
2018-10-05 00:00:00+00:00,-0.00687023
2018-10-07 00:00:00+00:00,-0.00383142
2018-10-08 00:00:00+00:00,0.03220859
2018-10-09 00:00:00+00:00,-0.01432881
2018-10-10 00:00:00+00:00,-0.01749049
2018-10-11 00:00:00+00:00,-0.10268199
2018-10-12 00:00:00+00:00,0.00000000
2018-10-15 00:00:00+00:00,0.06957929
2018-10-16 00:00:00+00:00,0.00235294
2018-10-17 00:00:00+00:00,0.00546022
2018-10-18 00:00:00+00:00,-0.01324985
2018-10-19 00:00:00+00:00,0.00078431
2018-10-21 00:00:00+00:00,0.00390930
2018-10-22 00:00:00+00:00,-0.00233645
2018-10-23 00:00:00+00:00,-0.00078247
2018-10-24 00:00:00+00:00,0.00939702
2018-10-25 00:00:00+00:00,-0.00311769
2018-10-26 00:00:00+00:00,0.00000000
2018-10-28 00:00:00+00:00,-0.00234558
2018-10-29 00:00:00+00:00,-0.01959248
2018-10-30 00:00:00+00:00,0.00079936
2018-10-31 00:00:00+00:00,0.00479233
2018-11-01 00:00:00+00:00,0.00635930
2018-11-02 00:00:00+00:00,0.00157978
2018-11-05 00:00:00+00:00,0.00630915
2018-11-06 00:00:00+00:00,0.00470219
2018-11-07 00:00:00+00:00,0.01167315
2018-11-08 00:00:00+00:00,-0.01384615
2018-11-09 00:00:00+00:00,-0.02262090
2018-11-11 00:00:00+00:00,0.00632911
2018-11-12 00:00:00+00:00,-0.01100629
2018-11-13 00:00:00+00:00,-0.01112878
2018-11-14 00:00:00+00:00,-0.28731045
2018-11-15 00:00:00+00:00,0.02833638
2018-11-16 00:00:00+00:00,-0.01637853
2018-11-19 00:00:00+00:00,-0.25142031
2018-11-20 00:00:00+00:00,-0.16190476
2018-11-21 00:00:00+00:00,0.06995413
2018-11-22 00:00:00+00:00,-0.11738649
2018-11-23 00:00:00+00:00,-0.03301887
2018-11-25 00:00:00+00:00,-0.05952381
2018-11-26 00:00:00+00:00,-0.08227848
2018-11-27 00:00:00+00:00,0.02344828
2018-11-28 00:00:00+00:00,0.11994609
2018-11-29 00:00:00+00:00,0.01323706
2018-11-30 00:00:00+00:00,-0.06294537
2018-12-02 00:00:00+00:00,0.04182510
2018-12-03 00:00:00+00:00,-0.07420925
2018-12-04 00:00:00+00:00,0.01576873
2018-12-05 00:00:00+00:00,-0.04139715
2018-12-06 00:00:00+00:00,-0.24291498
2018-12-07 00:00:00+00:00,-0.07248521
2018-12-09 00:00:00+00:00,0.05614568
2018-12-10 00:00:00+00:00,-0.02873563
2018-12-11 00:00:00+00:00,-0.05029586
2018-12-12 00:00:00+00:00,0.04023845
2018-12-13 00:00:00+00:00,-0.07385524
2018-12-14 00:00:00+00:00,-0.08791209
2018-12-17 00:00:00+00:00,0.24919614
2018-12-18 00:00:00+00:00,0.04411774
2018-12-19 00:00:00+00:00,0.03419973
2018-12-20 00:00:00+00:00,0.18181818
