Date,HIGHYIELD
2000-09-01 00:00:00+00:00,-0.00967606
2000-09-05 00:00:00+00:00,-0.00014160
2000-09-06 00:00:00+00:00,-0.00509843
2000-09-07 00:00:00+00:00,-0.01178475
2000-09-08 00:00:00+00:00,0.01942580
2000-09-11 00:00:00+00:00,-0.00339463
2000-09-12 00:00:00+00:00,0.01133466
2000-09-13 00:00:00+00:00,-0.01127078
2000-09-14 00:00:00+00:00,0.01133466
2000-09-15 00:00:00+00:00,0.00436681
2000-09-18 00:00:00+00:00,-0.00771388
2000-09-19 00:00:00+00:00,0.00564414
2000-09-20 00:00:00+00:00,-0.00548832
2000-09-21 00:00:00+00:00,-0.00169348
2000-09-22 00:00:00+00:00,0.02359090
2000-09-25 00:00:00+00:00,-0.00251291
2000-09-26 00:00:00+00:00,-0.00307520
2000-09-27 00:00:00+00:00,-0.01749965
2000-09-28 00:00:00+00:00,0.00028245
2000-09-29 00:00:00+00:00,0.00550770
2000-10-02 00:00:00+00:00,0.00887199
2000-10-03 00:00:00+00:00,0.00420521
2000-10-04 00:00:00+00:00,0.02168439
2000-10-05 00:00:00+00:00,-0.00166090
2000-10-06 00:00:00+00:00,-0.01538888
2000-10-09 00:00:00+00:00,0.00530430
2000-10-10 00:00:00+00:00,-0.02199638
2000-10-11 00:00:00+00:00,-0.00633446
2000-10-12 00:00:00+00:00,-0.01045050
2000-10-13 00:00:00+00:00,0.01036490
2000-10-16 00:00:00+00:00,-0.00988701
2000-10-17 00:00:00+00:00,-0.00241306
2000-10-18 00:00:00+00:00,0.00184738
2000-10-19 00:00:00+00:00,0.01519239
2000-10-20 00:00:00+00:00,0.01042694
2000-10-23 00:00:00+00:00,-0.00308382
2000-10-24 00:00:00+00:00,-0.01167042
2000-10-25 00:00:00+00:00,-0.00367180
2000-10-26 00:00:00+00:00,-0.00466893
2000-10-27 00:00:00+00:00,-0.00014182
2000-10-30 00:00:00+00:00,0.00397107
2000-10-31 00:00:00+00:00,0.01217096
2000-11-01 00:00:00+00:00,-0.02489802
2000-11-02 00:00:00+00:00,-0.00085470
2000-11-06 00:00:00+00:00,-0.01168591
2000-11-07 00:00:00+00:00,-0.00931766
2000-11-08 00:00:00+00:00,-0.00763359
2000-11-09 00:00:00+00:00,-0.00766228
2000-11-10 00:00:00+00:00,0.01451379
2000-11-13 00:00:00+00:00,-0.00086443
2000-11-14 00:00:00+00:00,0.00691942
2000-11-15 00:00:00+00:00,0.00402241
2000-11-16 00:00:00+00:00,0.00071685
2000-11-17 00:00:00+00:00,-0.00315322
2000-11-20 00:00:00+00:00,0.01409058
2000-11-21 00:00:00+00:00,0.00726910
2000-11-22 00:00:00+00:00,0.01491054
2000-11-24 00:00:00+00:00,0.03382771
2000-11-27 00:00:00+00:00,-0.01219512
2000-11-28 00:00:00+00:00,-0.00362571
2000-11-29 00:00:00+00:00,0.00881735
2000-11-30 00:00:00+00:00,-0.01571190
2000-12-01 00:00:00+00:00,0.00098884
2000-12-04 00:00:00+00:00,0.00197684
2000-12-05 00:00:00+00:00,0.00324446
2000-12-06 00:00:00+00:00,0.00563380
2000-12-07 00:00:00+00:00,0.00533708
2000-12-08 00:00:00+00:00,0.01064575
2000-12-11 00:00:00+00:00,-0.00378204
2000-12-12 00:00:00+00:00,0.00809717
2000-12-13 00:00:00+00:00,0.02836091
2000-12-14 00:00:00+00:00,0.00342654
2000-12-15 00:00:00+00:00,-0.00205283
2000-12-18 00:00:00+00:00,-0.01369300
2000-12-19 00:00:00+00:00,0.01475659
2000-12-20 00:00:00+00:00,0.00547645
2000-12-21 00:00:00+00:00,-0.01065137
2000-12-22 00:00:00+00:00,0.01729581
2000-12-26 00:00:00+00:00,0.02422758
2000-12-27 00:00:00+00:00,0.01129336
2000-12-28 00:00:00+00:00,0.01377005
2000-12-29 00:00:00+00:00,0.00743494
2001-01-02 00:00:00+00:00,0.00859788
