Date,OJ
2000-01-04 00:00:00+00:00,-0.02201071
2000-01-05 00:00:00+00:00,0.04332130
2000-01-06 00:00:00+00:00,-0.02467685
2000-01-07 00:00:00+00:00,0.00059559
2000-01-10 00:00:00+00:00,0.00476190
2000-01-11 00:00:00+00:00,-0.04640095
2000-01-12 00:00:00+00:00,0.01399027
2000-01-13 00:00:00+00:00,0.04106280
2000-01-14 00:00:00+00:00,-0.02128918
2000-01-18 00:00:00+00:00,0.02093301
2000-01-19 00:00:00+00:00,-0.02310427
2000-01-20 00:00:00+00:00,-0.00480192
2000-01-21 00:00:00+00:00,0.01442308
2000-01-24 00:00:00+00:00,-0.02742993
2000-01-25 00:00:00+00:00,0.00113765
2000-01-26 00:00:00+00:00,0.02418380
2000-01-27 00:00:00+00:00,-0.04062127
2000-01-28 00:00:00+00:00,-0.02506112
2000-01-31 00:00:00+00:00,-0.03399258
2000-02-01 00:00:00+00:00,0.00817610
2000-02-02 00:00:00+00:00,0.01809108
2000-02-03 00:00:00+00:00,0.00925355
2000-02-04 00:00:00+00:00,-0.02519975
2000-02-07 00:00:00+00:00,0.01492537
2000-02-08 00:00:00+00:00,0.05980271
2000-02-09 00:00:00+00:00,-0.00839832
2000-02-10 00:00:00+00:00,0.00783133
2000-02-11 00:00:00+00:00,0.06242497
2000-02-14 00:00:00+00:00,-0.01279070
2000-02-15 00:00:00+00:00,-0.02514620
2000-02-16 00:00:00+00:00,-0.01479290
2000-02-17 00:00:00+00:00,0.00119048
2000-02-18 00:00:00+00:00,-0.03747769
2000-02-22 00:00:00+00:00,0.02671524
2000-02-23 00:00:00+00:00,0.00179748
2000-02-24 00:00:00+00:00,0.01796407
2000-02-25 00:00:00+00:00,0.05450237
2000-02-28 00:00:00+00:00,-0.02186421
2000-02-29 00:00:00+00:00,-0.06810244
2000-03-01 00:00:00+00:00,0.02422774
2000-03-02 00:00:00+00:00,0.02268657
2000-03-03 00:00:00+00:00,-0.02477876
2000-03-06 00:00:00+00:00,-0.02570233
2000-03-07 00:00:00+00:00,-0.01634383
2000-03-08 00:00:00+00:00,0.01405868
2000-03-09 00:00:00+00:00,0.01637356
2000-03-10 00:00:00+00:00,-0.01381381
2000-03-13 00:00:00+00:00,0.00785973
2000-03-14 00:00:00+00:00,0.02352232
2000-03-15 00:00:00+00:00,0.03809524
2000-03-16 00:00:00+00:00,0.00467563
2000-03-17 00:00:00+00:00,0.00465658
2000-03-20 00:00:00+00:00,-0.03712297
2000-03-21 00:00:00+00:00,-0.01537552
2000-03-22 00:00:00+00:00,0.00238521
2000-03-23 00:00:00+00:00,0.00417163
2000-03-24 00:00:00+00:00,-0.03267974
2000-03-27 00:00:00+00:00,-0.00067869
2000-03-28 00:00:00+00:00,-0.00000000
2000-03-29 00:00:00+00:00,-0.00242277
2000-03-30 00:00:00+00:00,-0.00729040
2000-03-31 00:00:00+00:00,-0.00487211
2000-04-03 00:00:00+00:00,0.01343922
2000-04-04 00:00:00+00:00,-0.02411091
2000-04-05 00:00:00+00:00,-0.01343101
2000-04-06 00:00:00+00:00,-0.01107011
2000-04-07 00:00:00+00:00,0.00928218
2000-04-10 00:00:00+00:00,0.01602959
2000-04-11 00:00:00+00:00,0.00428922
2000-04-12 00:00:00+00:00,0.02560976
2000-04-13 00:00:00+00:00,0.01683704
2000-04-14 00:00:00+00:00,-0.03816339
2000-04-17 00:00:00+00:00,0.05792683
2000-04-18 00:00:00+00:00,0.00236407
2000-04-19 00:00:00+00:00,-0.02656434
2000-04-20 00:00:00+00:00,-0.01793186
2000-04-24 00:00:00+00:00,-0.00602410
2000-04-25 00:00:00+00:00,-0.02969697
2000-04-26 00:00:00+00:00,0.01046154
2000-04-27 00:00:00+00:00,-0.03608563
2000-04-28 00:00:00+00:00,-0.01123596
2000-05-01 00:00:00+00:00,0.09216301
2000-05-02 00:00:00+00:00,0.01856287
2000-05-03 00:00:00+00:00,-0.06753555
2000-05-04 00:00:00+00:00,-0.00676091
2000-05-05 00:00:00+00:00,0.01790123
2000-05-08 00:00:00+00:00,-0.01530925
2000-05-09 00:00:00+00:00,0.05120296
2000-05-10 00:00:00+00:00,0.00720721
2000-05-11 00:00:00+00:00,-0.00418660
2000-05-12 00:00:00+00:00,-0.02754491
2000-05-15 00:00:00+00:00,0.00791236
2000-05-16 00:00:00+00:00,0.01150818
2000-05-17 00:00:00+00:00,-0.01985560
2000-05-18 00:00:00+00:00,-0.01278150
2000-05-19 00:00:00+00:00,-0.02939375
2000-05-22 00:00:00+00:00,0.01489758
2000-05-23 00:00:00+00:00,-0.00431300
2000-05-24 00:00:00+00:00,0.05620754
2000-05-25 00:00:00+00:00,-0.03366628
2000-05-26 00:00:00+00:00,-0.00183038
2000-05-30 00:00:00+00:00,0.00794136
2000-05-31 00:00:00+00:00,-0.01885645
2000-06-01 00:00:00+00:00,-0.00245851
2000-06-02 00:00:00+00:00,0.02156500
2000-06-05 00:00:00+00:00,-0.00243754
2000-06-06 00:00:00+00:00,-0.00183150
2000-06-07 00:00:00+00:00,0.03111653
2000-06-08 00:00:00+00:00,-0.01141141
2000-06-09 00:00:00+00:00,-0.01147343
2000-06-12 00:00:00+00:00,-0.00425791
2000-06-13 00:00:00+00:00,0.00912409
2000-06-14 00:00:00+00:00,0.00848485
2000-06-15 00:00:00+00:00,0.00964436
2000-06-16 00:00:00+00:00,0.03361345
2000-06-19 00:00:00+00:00,0.05847608
2000-06-20 00:00:00+00:00,0.00516055
2000-06-21 00:00:00+00:00,0.00000000
2000-06-22 00:00:00+00:00,-0.00399543
2000-06-23 00:00:00+00:00,-0.03896848
2000-06-26 00:00:00+00:00,0.01168907
2000-06-27 00:00:00+00:00,0.03884058
2000-06-28 00:00:00+00:00,-0.08920455
2000-06-29 00:00:00+00:00,0.02918404
2000-06-30 00:00:00+00:00,-0.01825677
2000-07-05 00:00:00+00:00,-0.06350148
2000-07-06 00:00:00+00:00,-0.01472393
2000-07-07 00:00:00+00:00,0.02101360
2000-07-10 00:00:00+00:00,-0.01769372
2000-07-11 00:00:00+00:00,-0.00555213
2000-07-12 00:00:00+00:00,0.00123609
2000-07-13 00:00:00+00:00,-0.00927070
2000-07-14 00:00:00+00:00,-0.05648665
2000-07-17 00:00:00+00:00,-0.02560819
2000-07-18 00:00:00+00:00,0.04542505
2000-07-19 00:00:00+00:00,0.01080051
2000-07-20 00:00:00+00:00,0.01325758
2000-07-21 00:00:00+00:00,-0.02948557
2000-07-24 00:00:00+00:00,-0.01526718
2000-07-25 00:00:00+00:00,-0.00256410
2000-07-26 00:00:00+00:00,0.00891288
2000-07-27 00:00:00+00:00,-0.02624840
2000-07-28 00:00:00+00:00,0.00713359
2000-07-31 00:00:00+00:00,-0.03878474
2000-08-01 00:00:00+00:00,-0.00528053
2000-08-02 00:00:00+00:00,0.00132450
2000-08-03 00:00:00+00:00,-0.01984127
2000-08-04 00:00:00+00:00,0.00937709
2000-08-07 00:00:00+00:00,0.02596538
2000-08-08 00:00:00+00:00,-0.01181878
2000-08-09 00:00:00+00:00,-0.01783355
2000-08-10 00:00:00+00:00,0.01266667
2000-08-11 00:00:00+00:00,0.01259112
2000-08-14 00:00:00+00:00,-0.02105263
2000-08-15 00:00:00+00:00,-0.00333111
2000-08-16 00:00:00+00:00,0.01668892
2000-08-17 00:00:00+00:00,-0.00793126
2000-08-18 00:00:00+00:00,-0.01129568
2000-08-21 00:00:00+00:00,0.00334448
2000-08-22 00:00:00+00:00,0.02000000
2000-08-23 00:00:00+00:00,-0.04752475
2000-08-24 00:00:00+00:00,-0.02028398
2000-08-25 00:00:00+00:00,0.00409556
2000-08-28 00:00:00+00:00,0.00476839
2000-08-29 00:00:00+00:00,-0.00678426
2000-08-30 00:00:00+00:00,0.00613497
2000-08-31 00:00:00+00:00,-0.01428571
2000-09-01 00:00:00+00:00,0.02263374
2000-09-05 00:00:00+00:00,-0.00949796
2000-09-06 00:00:00+00:00,-0.04229195
2000-09-07 00:00:00+00:00,-0.01114206
2000-09-08 00:00:00+00:00,-0.01963534
2000-09-11 00:00:00+00:00,0.02551382
2000-09-12 00:00:00+00:00,0.01612903
2000-09-13 00:00:00+00:00,-0.00000000
2000-09-14 00:00:00+00:00,-0.01250869
2000-09-15 00:00:00+00:00,-0.01399580
2000-09-18 00:00:00+00:00,-0.00703730
2000-09-19 00:00:00+00:00,0.01411433
2000-09-20 00:00:00+00:00,0.03503854
2000-09-21 00:00:00+00:00,0.03028217
2000-09-22 00:00:00+00:00,-0.06779661
2000-09-25 00:00:00+00:00,-0.03651685
2000-09-26 00:00:00+00:00,0.00996284
2000-09-27 00:00:00+00:00,-0.00570613
2000-09-28 00:00:00+00:00,0.02217454
2000-09-29 00:00:00+00:00,0.01906780
2000-10-02 00:00:00+00:00,-0.01819454
2000-10-03 00:00:00+00:00,0.03462898
2000-10-04 00:00:00+00:00,0.01434426
2000-10-05 00:00:00+00:00,-0.00951734
2000-10-06 00:00:00+00:00,-0.00410397
2000-10-09 00:00:00+00:00,0.01641587
2000-10-10 00:00:00+00:00,0.01355932
2000-10-11 00:00:00+00:00,-0.00605653
2000-10-12 00:00:00+00:00,-0.02700878
2000-10-13 00:00:00+00:00,0.00960219
2000-10-16 00:00:00+00:00,0.01775956
2000-10-17 00:00:00+00:00,-0.01150982
2000-10-18 00:00:00+00:00,-0.00272480
2000-10-19 00:00:00+00:00,-0.01227831
