Date,R1000
2016-06-02 00:00:00+00:00,0.06626925
2016-06-03 00:00:00+00:00,-0.00756997
2016-06-06 00:00:00+00:00,0.01372452
2016-06-07 00:00:00+00:00,0.00533386
2016-06-08 00:00:00+00:00,0.00709290
2016-06-09 00:00:00+00:00,-0.00696967
2016-06-10 00:00:00+00:00,-0.01476523
2016-06-13 00:00:00+00:00,-0.00879209
2016-06-14 00:00:00+00:00,-0.00393106
2016-06-15 00:00:00+00:00,-0.00091075
2016-06-16 00:00:00+00:00,0.00384888
2016-06-17 00:00:00+00:00,-0.00171527
2016-06-20 00:00:00+00:00,0.00869214
2016-06-21 00:00:00+00:00,0.00280561
2016-06-22 00:00:00+00:00,-0.00219824
2016-06-23 00:00:00+00:00,0.01632285
2016-06-24 00:00:00+00:00,-0.03852596
2016-06-27 00:00:00+00:00,-0.02152080
2016-06-28 00:00:00+00:00,0.01853791
2016-06-29 00:00:00+00:00,0.01789203
2016-06-30 00:00:00+00:00,0.01575917
2016-07-01 00:00:00+00:00,0.00188961
2016-07-05 00:00:00+00:00,-0.00962875
2016-07-06 00:00:00+00:00,0.00551268
2016-07-07 00:00:00+00:00,-0.00179426
2016-07-08 00:00:00+00:00,0.01557819
2016-07-11 00:00:00+00:00,0.00314651
2016-07-12 00:00:00+00:00,0.00940992
2016-07-13 00:00:00+00:00,0.00067974
2016-07-14 00:00:00+00:00,0.00582242
2016-07-15 00:00:00+00:00,-0.00048239
2016-07-18 00:00:00+00:00,0.00183398
2016-07-19 00:00:00+00:00,-0.00211966
2016-07-20 00:00:00+00:00,0.00202761
2016-07-21 00:00:00+00:00,-0.00317980
2016-07-22 00:00:00+00:00,0.00502658
2016-07-25 00:00:00+00:00,-0.00452053
2016-07-26 00:00:00+00:00,0.00222222
2016-07-27 00:00:00+00:00,-0.00356695
2016-07-28 00:00:00+00:00,0.00077399
2016-07-29 00:00:00+00:00,0.00116009
2016-08-01 00:00:00+00:00,-0.00550406
2016-08-02 00:00:00+00:00,-0.00631129
2016-08-03 00:00:00+00:00,0.00361540
2016-08-04 00:00:00+00:00,-0.00029208
2016-08-05 00:00:00+00:00,0.01207635
2016-08-08 00:00:00+00:00,0.00125096
2016-08-09 00:00:00+00:00,-0.00009611
2016-08-10 00:00:00+00:00,-0.00442138
2016-08-11 00:00:00+00:00,0.00569608
2016-08-12 00:00:00+00:00,-0.00067198
2016-08-15 00:00:00+00:00,0.00345821
2016-08-16 00:00:00+00:00,-0.00449933
2016-08-17 00:00:00+00:00,0.00211559
2016-08-18 00:00:00+00:00,0.00460608
2016-08-19 00:00:00+00:00,-0.00267456
2016-08-22 00:00:00+00:00,-0.00143664
2016-08-23 00:00:00+00:00,0.00287742
2016-08-24 00:00:00+00:00,-0.00487758
2016-08-25 00:00:00+00:00,-0.00019222
2016-08-26 00:00:00+00:00,-0.00192252
