Date,CRUDE_ICE
2006-02-21 00:00:00+00:00,-0.00127449
2006-02-22 00:00:00+00:00,-0.05116353
2006-02-23 00:00:00+00:00,-0.01114571
2006-02-24 00:00:00+00:00,0.07383548
2006-02-27 00:00:00+00:00,-0.05881418
2006-02-28 00:00:00+00:00,0.01754098
2006-03-01 00:00:00+00:00,0.01905227
2006-03-02 00:00:00+00:00,0.04582863
2006-03-03 00:00:00+00:00,0.00946970
2006-03-06 00:00:00+00:00,-0.04036438
2006-03-07 00:00:00+00:00,-0.02499599
2006-03-08 00:00:00+00:00,-0.05017863
2006-03-09 00:00:00+00:00,0.01799400
2006-03-10 00:00:00+00:00,-0.01802547
2006-03-13 00:00:00+00:00,0.06070714
2006-03-14 00:00:00+00:00,0.04451899
2006-03-15 00:00:00+00:00,-0.03454834
2006-03-16 00:00:00+00:00,0.04294676
2006-03-17 00:00:00+00:00,-0.02689525
2006-03-20 00:00:00+00:00,-0.07312410
2006-03-21 00:00:00+00:00,0.03177756
2006-03-22 00:00:00+00:00,-0.01892846
2006-03-23 00:00:00+00:00,0.06524203
2006-03-24 00:00:00+00:00,0.01032702
2006-03-27 00:00:00+00:00,-0.00233427
2006-03-28 00:00:00+00:00,0.05735661
2006-03-29 00:00:00+00:00,0.01407598
2006-03-30 00:00:00+00:00,0.02347630
2006-03-31 00:00:00+00:00,-0.01370067
2006-04-03 00:00:00+00:00,0.00330182
2006-04-04 00:00:00+00:00,-0.01333533
2006-04-05 00:00:00+00:00,0.02325230
2006-04-06 00:00:00+00:00,0.02340838
2006-04-07 00:00:00+00:00,-0.01427730
2006-04-10 00:00:00+00:00,0.04184597
2006-04-11 00:00:00+00:00,0.00741926
2006-04-12 00:00:00+00:00,-0.00942302
2006-04-13 00:00:00+00:00,0.02083841
2006-04-17 00:00:00+00:00,0.03231391
2006-04-18 00:00:00+00:00,0.02926136
2006-04-19 00:00:00+00:00,0.02592852
2006-04-20 00:00:00+00:00,0.02106138
2006-04-21 00:00:00+00:00,0.04003257
2006-04-24 00:00:00+00:00,-0.04456565
2006-04-25 00:00:00+00:00,-0.00722760
2006-04-26 00:00:00+00:00,-0.02675631
2006-04-27 00:00:00+00:00,-0.02738774
2006-04-28 00:00:00+00:00,0.02733549
2006-05-01 00:00:00+00:00,0.04924875
2006-05-02 00:00:00+00:00,0.02374491
2006-05-03 00:00:00+00:00,-0.06004557
2006-05-04 00:00:00+00:00,-0.04911455
2006-05-05 00:00:00+00:00,-0.01177305
2006-05-08 00:00:00+00:00,-0.01042113
2006-05-09 00:00:00+00:00,0.02622904
2006-05-10 00:00:00+00:00,0.03946810
2006-05-11 00:00:00+00:00,0.03188687
2006-05-12 00:00:00+00:00,-0.03655210
2006-05-15 00:00:00+00:00,-0.07551460
2006-05-16 00:00:00+00:00,-0.00043221
2006-05-17 00:00:00+00:00,-0.02502517
2006-05-18 00:00:00+00:00,0.02154608
2006-05-19 00:00:00+00:00,-0.02548596
2006-05-22 00:00:00+00:00,0.02188822
2006-05-23 00:00:00+00:00,0.03212909
2006-05-24 00:00:00+00:00,-0.03737530
2006-05-25 00:00:00+00:00,0.04551961
2006-05-26 00:00:00+00:00,-0.00167926
2006-05-30 00:00:00+00:00,0.01919574
2006-05-31 00:00:00+00:00,-0.01527141
2006-06-01 00:00:00+00:00,-0.03121938
2006-06-02 00:00:00+00:00,0.05388115
2006-06-05 00:00:00+00:00,0.00414766
2006-06-06 00:00:00+00:00,0.00096792
2006-06-07 00:00:00+00:00,-0.04698911
2006-06-08 00:00:00+00:00,-0.01186106
2006-06-09 00:00:00+00:00,0.03496802
2006-06-12 00:00:00+00:00,-0.04299874
2006-06-13 00:00:00+00:00,-0.04909476
2006-06-14 00:00:00+00:00,0.01960211
2006-06-15 00:00:00+00:00,0.00969048
2006-06-16 00:00:00+00:00,0.01107914
2006-06-19 00:00:00+00:00,-0.02389811
