Date,SMI-MID
2006-06-07 00:00:00+00:00,-0.00818064
2006-06-08 00:00:00+00:00,-0.00099801
2006-06-09 00:00:00+00:00,-0.02340684
2006-06-12 00:00:00+00:00,-0.02292478
2006-06-13 00:00:00+00:00,-0.04664427
2006-06-14 00:00:00+00:00,0.01084553
2006-06-15 00:00:00+00:00,0.07587798
2006-06-16 00:00:00+00:00,0.01771476
2006-06-19 00:00:00+00:00,-0.01472631
2006-06-20 00:00:00+00:00,-0.00751578
2006-06-21 00:00:00+00:00,-0.00427777
2006-06-22 00:00:00+00:00,0.02106035
2006-06-23 00:00:00+00:00,0.00303571
2006-06-26 00:00:00+00:00,0.00706967
2006-06-27 00:00:00+00:00,0.00462480
2006-06-28 00:00:00+00:00,-0.00902883
2006-06-29 00:00:00+00:00,0.03205778
2006-06-30 00:00:00+00:00,0.02757718
2006-07-03 00:00:00+00:00,0.01311233
2006-07-04 00:00:00+00:00,-0.00331210
2006-07-05 00:00:00+00:00,-0.02046429
2006-07-06 00:00:00+00:00,0.01003725
2006-07-07 00:00:00+00:00,-0.01037931
2006-07-10 00:00:00+00:00,0.01160261
2006-07-11 00:00:00+00:00,-0.00959021
2006-07-12 00:00:00+00:00,0.00687459
2006-07-13 00:00:00+00:00,-0.03781804
2006-07-14 00:00:00+00:00,-0.02096734
2006-07-17 00:00:00+00:00,-0.02925789
2006-07-18 00:00:00+00:00,-0.02313629
2006-07-19 00:00:00+00:00,0.03956349
2006-07-20 00:00:00+00:00,0.03878753
2006-07-21 00:00:00+00:00,-0.01613956
2006-07-24 00:00:00+00:00,0.01425579
2006-07-25 00:00:00+00:00,0.00378315
2006-07-26 00:00:00+00:00,0.01809461
2006-07-27 00:00:00+00:00,0.02818867
2006-07-28 00:00:00+00:00,-0.00253294
2006-07-31 00:00:00+00:00,0.01769853
2006-08-02 00:00:00+00:00,0.00442882
2006-08-03 00:00:00+00:00,-0.01558559
2006-08-04 00:00:00+00:00,0.00988553
2006-08-07 00:00:00+00:00,-0.01871927
2006-08-08 00:00:00+00:00,0.00525088
2006-08-09 00:00:00+00:00,0.01532792
2006-08-10 00:00:00+00:00,-0.02485301
2006-08-11 00:00:00+00:00,0.00213991
2006-08-14 00:00:00+00:00,0.00759327
2006-08-15 00:00:00+00:00,0.00523373
2006-08-16 00:00:00+00:00,0.02224585
2006-08-17 00:00:00+00:00,0.00745677
2006-08-18 00:00:00+00:00,-0.00096258
2006-08-21 00:00:00+00:00,-0.00706441
2006-08-22 00:00:00+00:00,0.01281700
2006-08-23 00:00:00+00:00,-0.00476240
2006-08-24 00:00:00+00:00,-0.00782133
2006-08-25 00:00:00+00:00,0.00362576
2006-08-28 00:00:00+00:00,0.00209221
2006-08-29 00:00:00+00:00,0.01810726
2006-08-30 00:00:00+00:00,0.02022515
2006-08-31 00:00:00+00:00,0.00055085
2006-09-01 00:00:00+00:00,0.01932594
2006-09-04 00:00:00+00:00,-0.00093651
2006-09-05 00:00:00+00:00,0.00208873
2006-09-06 00:00:00+00:00,-0.00167611
2006-09-07 00:00:00+00:00,-0.02612037
2006-09-08 00:00:00+00:00,0.01482126
2006-09-11 00:00:00+00:00,-0.01883736
2006-09-12 00:00:00+00:00,0.00733127
2006-09-13 00:00:00+00:00,0.02376607
2006-09-14 00:00:00+00:00,0.00866198
2006-09-15 00:00:00+00:00,0.00421162
2006-09-18 00:00:00+00:00,0.01079565
2006-09-19 00:00:00+00:00,0.00636668
2006-09-20 00:00:00+00:00,0.00780154
2006-09-21 00:00:00+00:00,0.01283282
2006-09-22 00:00:00+00:00,-0.01600804
