Date,EUR
2000-06-22 00:00:00+00:00,-0.01547043
2000-06-23 00:00:00+00:00,-0.00381801
2000-06-26 00:00:00+00:00,0.00403783
2000-06-27 00:00:00+00:00,0.01781548
2000-06-28 00:00:00+00:00,-0.00735758
2000-06-29 00:00:00+00:00,0.01856736
2000-06-30 00:00:00+00:00,0.00292673
2000-07-03 00:00:00+00:00,-0.00605365
2000-07-05 00:00:00+00:00,0.00544389
2000-07-06 00:00:00+00:00,-0.00647249
2000-07-07 00:00:00+00:00,-0.00795978
2000-07-10 00:00:00+00:00,0.01577287
2000-07-11 00:00:00+00:00,-0.00552947
2000-07-12 00:00:00+00:00,-0.02123653
2000-07-13 00:00:00+00:00,-0.01237048
2000-07-14 00:00:00+00:00,0.00276596
2000-07-17 00:00:00+00:00,-0.00467439
2000-07-18 00:00:00+00:00,-0.01959323
2000-07-19 00:00:00+00:00,-0.00742015
2000-07-20 00:00:00+00:00,0.02050729
2000-07-21 00:00:00+00:00,0.00865385
2000-07-24 00:00:00+00:00,-0.00936071
2000-07-25 00:00:00+00:00,0.01132842
2000-07-26 00:00:00+00:00,0.00765143
2000-07-27 00:00:00+00:00,-0.02011433
2000-07-28 00:00:00+00:00,-0.01924928
2000-07-31 00:00:00+00:00,0.00755858
2000-08-01 00:00:00+00:00,-0.01419966
2000-08-02 00:00:00+00:00,-0.01830986
2000-08-03 00:00:00+00:00,-0.01158977
2000-08-04 00:00:00+00:00,0.00186957
2000-08-07 00:00:00+00:00,0.00087893
2000-08-08 00:00:00+00:00,-0.01449594
2000-08-09 00:00:00+00:00,-0.00741150
2000-08-10 00:00:00+00:00,0.01998446
2000-08-11 00:00:00+00:00,-0.01000330
2000-08-14 00:00:00+00:00,0.00397702
2000-08-15 00:00:00+00:00,0.01742007
2000-08-16 00:00:00+00:00,0.00502787
2000-08-17 00:00:00+00:00,0.00327047
2000-08-18 00:00:00+00:00,-0.02307357
2000-08-21 00:00:00+00:00,-0.01101079
2000-08-22 00:00:00+00:00,-0.00996457
2000-08-23 00:00:00+00:00,0.00600868
2000-08-24 00:00:00+00:00,0.00443754
2000-08-25 00:00:00+00:00,0.00055346
2000-08-28 00:00:00+00:00,-0.00597543
2000-08-29 00:00:00+00:00,-0.01698113
2000-08-30 00:00:00+00:00,0.00044778
2000-08-31 00:00:00+00:00,-0.01119194
2000-09-01 00:00:00+00:00,0.02689927
2000-09-05 00:00:00+00:00,-0.02443359
2000-09-06 00:00:00+00:00,-0.04182595
2000-09-07 00:00:00+00:00,0.00723390
2000-09-08 00:00:00+00:00,-0.00949657
2000-09-11 00:00:00+00:00,-0.02529027
2000-09-12 00:00:00+00:00,0.00943067
2000-09-13 00:00:00+00:00,-0.00324487
2000-09-14 00:00:00+00:00,0.00754498
2000-09-15 00:00:00+00:00,-0.00589800
2000-09-18 00:00:00+00:00,-0.00418799
2000-09-19 00:00:00+00:00,-0.00582886
2000-09-20 00:00:00+00:00,-0.00865193
2000-09-21 00:00:00+00:00,0.02418976
2000-09-22 00:00:00+00:00,0.04814944
2000-09-25 00:00:00+00:00,-0.01427600
2000-09-26 00:00:00+00:00,0.02145384
2000-09-27 00:00:00+00:00,0.00270972
2000-09-28 00:00:00+00:00,-0.00405908
2000-09-29 00:00:00+00:00,0.00067789
2000-10-02 00:00:00+00:00,-0.00835780
2000-10-03 00:00:00+00:00,-0.00998072
2000-10-04 00:00:00+00:00,0.00113986
2000-10-05 00:00:00+00:00,-0.01298701
2000-10-06 00:00:00+00:00,-0.00286664
2000-10-10 00:00:00+00:00,0.00780801
2000-10-11 00:00:00+00:00,-0.00617637
2000-10-12 00:00:00+00:00,-0.01399725
2000-10-13 00:00:00+00:00,-0.02114385
2000-10-16 00:00:00+00:00,-0.01015880
2000-10-17 00:00:00+00:00,0.01361343
2000-10-18 00:00:00+00:00,-0.04044760
2000-10-19 00:00:00+00:00,0.01213419
2000-10-20 00:00:00+00:00,-0.00378385
2000-10-23 00:00:00+00:00,-0.01551949
2000-10-24 00:00:00+00:00,0.00358166
2000-10-25 00:00:00+00:00,-0.02276248
2000-10-26 00:00:00+00:00,0.00313404
2000-10-27 00:00:00+00:00,0.02599591
2000-10-30 00:00:00+00:00,0.00617797
2000-10-31 00:00:00+00:00,0.01551581
2000-11-01 00:00:00+00:00,0.02797367
2000-11-02 00:00:00+00:00,-0.00139098
2000-11-03 00:00:00+00:00,0.01113560
2000-11-06 00:00:00+00:00,-0.01072788
2000-11-07 00:00:00+00:00,0.00185572
2000-11-08 00:00:00+00:00,-0.01506373
2000-11-09 00:00:00+00:00,0.02498541
2000-11-10 00:00:00+00:00,-0.01014760
2000-11-13 00:00:00+00:00,-0.00208623
2000-11-14 00:00:00+00:00,-0.00835364
2000-11-15 00:00:00+00:00,0.00198066
2000-11-16 00:00:00+00:00,-0.01350250
2000-11-17 00:00:00+00:00,-0.01078167
2000-11-20 00:00:00+00:00,0.00400613
2000-11-21 00:00:00+00:00,-0.01434619
2000-11-22 00:00:00+00:00,0.00307947
2000-11-24 00:00:00+00:00,-0.01087985
2000-11-27 00:00:00+00:00,0.02794293
2000-11-28 00:00:00+00:00,0.01078926
2000-11-29 00:00:00+00:00,0.00373265
2000-11-30 00:00:00+00:00,0.03225055
